adID,adText,adSpend,adLP,adImpress,adClicks,adCreation,groups,adLocation_cleaned,adStates,adDate,State
487,Join our rally atFree the patriots stand for liberty and our rights,4364.22,,3335.0,171.0,04/12/16 01 :59:17 AM PDT,Veterans Day or Patriotism,Atlanta Georgia,Georgia,2016-04-12,Georgia
515,Join our rally atFree the patriots stand for liberty and our rights,837.8,,636.0,41.0,04/14/16 04:15:55 AM PDT,Veterans Day or Patriotism,Atlanta Georgia,Georgia,2016-04-14,Georgia
532,Join our rally atFree the patriots stand for liberty and our rights,0.0,,,0.0,04/14/16 04:15:52 AM PDT,Veterans Day or Patriotism,Atlanta Georgia,Georgia,2016-04-14,Georgia
113,,196.27,https://www.facebook.com/blackmattersus/,1468.0,144.0,07/14/15 06:14:06 AM PDT,Black Matters  s                                      Black Matters,Baltimore Maryland Missouri Cleveland Ohio,Maryland Missouri Ohio,2015-07-14,Maryland
113,,196.27,https://www.facebook.com/blackmattersus/,1468.0,144.0,07/14/15 06:14:06 AM PDT,Black Matters  s                                      Black Matters,Baltimore Maryland Missouri Cleveland Ohio,Maryland Missouri Ohio,2015-07-14,Missouri
113,,196.27,https://www.facebook.com/blackmattersus/,1468.0,144.0,07/14/15 06:14:06 AM PDT,Black Matters  s                                      Black Matters,Baltimore Maryland Missouri Cleveland Ohio,Maryland Missouri Ohio,2015-07-14,Ohio
311,,5.47,https://www.facebook.com/blackmattersus/,8.0,1.0,02/12/16 07:00:28 AM PST,Black Matters  s                                      Black Matters,New York,New York,2016-02-12,New York
318,,253.53,https://www.facebook.com/Black-Matters-1579673598947501/,1331.0,90.0,07/16/15 02:22:53 AM PDT,Black Matters  s                                      Black Matters,Baltimore Maryland Missouri Cleveland Ohio,Maryland Missouri Ohio,2015-07-16,Maryland
318,,253.53,https://www.facebook.com/Black-Matters-1579673598947501/,1331.0,90.0,07/16/15 02:22:53 AM PDT,Black Matters  s                                      Black Matters,Baltimore Maryland Missouri Cleveland Ohio,Maryland Missouri Ohio,2015-07-16,Missouri
318,,253.53,https://www.facebook.com/Black-Matters-1579673598947501/,1331.0,90.0,07/16/15 02:22:53 AM PDT,Black Matters  s                                      Black Matters,Baltimore Maryland Missouri Cleveland Ohio,Maryland Missouri Ohio,2015-07-16,Ohio
486,Join our rally atFree the patriots stand for liberty and our rights,821.33,,560.0,39.0,04/14/16 04:15:57 AM PDT,Veterans Day or Patriotism,Atlanta Georgia,Georgia,2016-04-14,Georgia
496,Stand for the people not the government Join our rally at Georgia,173.93,,132.0,7.0,04/13/16 03:24:00 AM PDT,Independence or Patriotism,Atlanta Georgia,Georgia,2016-04-13,Georgia
1239,,5000.0,https://www.facebook.com/blacktivists/,9778.0,1179.0,02/18/16 05:33:23 AM PST,BlackNewscom or HuffPost Black Voices                                        African American US,New York,New York,2016-02-18,New York
1678,,2500.0,https://www.facebook.com/MuslimAmerica/,4869.0,330.0,03/11/16 07:26:06 AM PST,Islamism Glossary of Islam Sharia or Hijra Islam,New York,New York,2016-03-11,New York
1238,"Be a blactivist Join the We all know that black communities and Natives have always been plagued
by an array of issues that we have to deal on a daily basis Watching
Americas reaction to racism is very telling Last year police brutality and
racism have made it t the forefront Hundreds of unarmed black men and
women died at the hands of police officers
We are tired to feel neglected and ignored We all have had enough And now
we need to come together be honest and get the governments attention
We do not expect you to solve generations of inequality and oppression
overnight We do however expect you to come and to address the issues
and put forward a plan to make change",0.0,https://www.facebook.com/blacktivists/,0.0,0.0,02/18/16 05:30:07 AM PST,Black Tea Patriots Black Knowledge BlackNewscom BEING                                   BLACK or HuffPost Black Voices,New York,New York,2016-02-18,New York
3362,Dont miss the opportunity to train with our coach You will enjoy it for sure Its free Organized on a donation basis Free Selfdefense classes in Tampa FL,0.0,,0.0,0.0,03/21 /17 08:20: 13 AM PDT,Mixed martial arts Martial arts The Womens                                   Self Defense Institute PERSOL  HOME DEFENSE Selfdefense Self                                   defense United States Personal Defense Right of selfdefense Self                                   Defense Family or Active Self Protection                                       Martin Luther King Jr PanAfricanism                                   Black Power African American Black history Black Panther Party African                                   American culture AfricanAmerican Civil Rights Movement  Black                                   History Month AfricanAmerican history Angela Davis Malcolm X or Black                                   Color,New York,New York,,New York
