,adID,adText,adSpend,adLP,adImpress,adClicks,adCreation,adLocation_cleaned,adStates,adDate
1,487,Join our rally atFree the patriots stand for liberty and our rights,4364.22,,3335.0,171.0,04/12/16 01 :59:17 AM PDT,Atlanta Georgia,Georgia,2016-04-12
2,515,Join our rally atFree the patriots stand for liberty and our rights,837.8,,636.0,41.0,04/14/16 04:15:55 AM PDT,Atlanta Georgia,Georgia,2016-04-14
3,532,Join our rally atFree the patriots stand for liberty and our rights,0.0,,,0.0,04/14/16 04:15:52 AM PDT,Atlanta Georgia,Georgia,2016-04-14
4,1863,"When ur credit card gets declined and u
pretending to sort it out with your bank
but u know u really just broke AF",10.08,https://www.facebook.com/Memopolis-450474615151098/,117.0,16.0,05/12/16 06:07:04 AM PDT,,,2016-05-12
6,3307,"Photo by Isadora Kosofskypart of an ongoing series
documenting bonding visits between children and their incarcerated parents
at eight mens and womens prisons in Florida",0.0,https://www.facebook.com/Hell_and_Back-1806743482876111/,0.0,0.0,02/13/17 07:32:39 AM PST,,,2017-02-13
7,1298,"Eric Driester I welcomed the great John Pilger back to CounterPunch Radio this week
to discuss the monstrosity known as HillaryClinton and the dangers of a
Clinton presidency",2000.0,https://www.facebook.com/EricDraitserl/posts/950925828350122,3749.0,91.0,07/06/16 06:56:45 AM PDT,,,2016-07-06
15,486,Join our rally atFree the patriots stand for liberty and our rights,821.33,,560.0,39.0,04/14/16 04:15:57 AM PDT,Atlanta Georgia,Georgia,2016-04-14
16,496,Stand for the people not the government Join our rally at Georgia,173.93,,132.0,7.0,04/13/16 03:24:00 AM PDT,Atlanta Georgia,Georgia,2016-04-13
22,1734,"Never piss off a woman
They remember stuff that hasnt even
happened yet",100.0,https://www.facebook.com/Memopolis-450474615151098/,1203.0,205.0,05/12/16 06:08:29 AM PDT,,,2016-05-12
23,1736,"When youre in the toilet and someone
starts banging on the door so you finish
your business and just sit there like",100.0,https://www.facebook.com/Memopolis-450474615151098/,977.0,196.0,05/12/16 06:06:22 AM PDT,,,2016-05-12
24,1767,"When you double text and they still
dont reply",100.0,https://www.facebook.com/Memopolis-450474615151098/,1077.0,228.0,05/12/16 06:06:52 AM PDT,,,2016-05-12
25,1834,"Kanye looks like Blades little brother Butter
Knife",300.0,https://www.facebook.com/Memopolis-450474615151098/,2757.0,494.0,05/12/16 06-08-06 AM PDT,,,2016-05-12
26,1835,"me making new Netflix accounts to get
freemonth trials",17.76,https://www.facebook.com/Memopolis-450474615151098/,56.0,9.0,04/22/16 12:01:33 AM PDT,,,2016-04-22
30,2411,"Being prochoice
doesnt mean that youd
have an abortion
It just means you think the
choice is yours
not the governments",500.0,https://www.facebook.com/Bom-Liberal-522628564598423/,2261.0,309.0,07/21/16 09:37:16 AM PDT,,,2016-07-21
32,2773,"I WAS BANNED FROM TELEVISION FOR BEING TOO VIOLENT

LIKE S SHARE IF YOU GREW UP WATCHING ME
ON TELEVISION HAVE A GUN AND HAVENT
SHOT OR KILLED ANYONE GOD BLESS THE SOUTH",74.18,https://www.facebook.com/godblessthesouth/,1628.0,327.0,03/10/17 06:53:30 AM PST,,,2017-03-10
36,3293,Hanged for dream to live,200.0,https://www.facebook.com/Native-Americans-United-386046198404902/,2162.0,648.0,02/01/17 11:33:53 PM PST,,,2017-02-01
37,3504,"We the people New petition Disavow support for the Clinton political dynasty Disqualify
and remove Hillary Clinton fromPresidential Ballot",550.8,https://www.facebook.com/wethepeoplepetitions/posts/501304456731720,1011.0,169.0,08/05/16 01:24:42 AM PDT,,,2016-08-05
38,1238,"Be a blactivist Join the We all know that black communities and Natives have always been plagued
by an array of issues that we have to deal on a daily basis Watching
Americas reaction to racism is very telling Last year police brutality and
racism have made it t the forefront Hundreds of unarmed black men and
women died at the hands of police officers
We are tired to feel neglected and ignored We all have had enough And now
we need to come together be honest and get the governments attention
We do not expect you to solve generations of inequality and oppression
overnight We do however expect you to come and to address the issues
and put forward a plan to make change",0.0,https://www.facebook.com/blacktivists/,0.0,0.0,02/18/16 05:30:07 AM PST,New York,New York,2016-02-18
39,3362,Dont miss the opportunity to train with our coach You will enjoy it for sure Its free Organized on a donation basis Free Selfdefense classes in Tampa FL,0.0,,0.0,0.0,03/21 /17 08:20: 13 AM PDT,New York,New York,
40,435,Rochester Police Officers tased black man for dancing OnlylnPoliceState,282.74,https://www.facebook.com/blackmattersus.mvmnt/,15063.0,2276.0,11/02/16 08:04 10 AM PDT,,,2016-11-02
41,458,Your mom knows what to do,200.0,https://www.facebook.com/brownunitedfront/,23655.0,3468.0,03/23/17 09:11:00 AM PDT,,,2017-03-23
42,471,Mexicas have solution to everything,400.0,https://www.facebook.com/brownunitedfront/,28035.0,3620.0,03/25/17 12:30:00 PM PDT,,,2017-03-25
43,473,Everyone likes gossips,381.03,https://www.facebook.com/brownunitedfront/,27113.0,3119.0,03/29/17 11:23:00 AM PDT,,,2017-03-29
44,475,Verde Blanco rojol,0.0,https://www.facebook.com/brownunitedfront/,0.0,0.0,04/25/17 07:50:00 AM PDT,,,2017-04-25
45,478,Cowboys stole everything from charros,400.0,https://www.facebook.com/brownunitedfront/,19980.0,2624.0,04/14/17 10:40:00 AM PDT,,,2017-04-14
46,479,Just because we speak Espanol doesnt make us Hispanic,300.0,https://www.facebook.com/brownunitedfront/,12168.0,1884.0,04/22/17 09:35:01 AM PDT,,,2017-04-22
47,483,My every Saturdays morning,400.0,https://www.facebook.com/brownunitedfront/,10406.0,1435.0,05/11/17 06:02:00 AM PDT,,,2017-05-11
48,486,My grandma was exactly like this,359.66,https://www.facebook.com/brownunitedfront/,17821.0,2243.0,03/29/17 12:23:00 PM PDT,,,2017-03-29
