ad_creative_body,ad_delivery_start_time,funding_entity,spend/lower_bound,spend/upper_bound,impressions/lower_bound,impressions/upper_bound,region_distribution/0/percentage,region_distribution/0/region,region_distribution/1/percentage,region_distribution/1/region,region_distribution/2/percentage,region_distribution/2/region,region_distribution/3/percentage,region_distribution/3/region,region_distribution/4/percentage,region_distribution/4/region,region_distribution/5/percentage,region_distribution/5/region,region_distribution/6/percentage,region_distribution/6/region,region_distribution/7/percentage,region_distribution/7/region,region_distribution/8/percentage,region_distribution/8/region,region_distribution/9/percentage,region_distribution/9/region,region_distribution/10/percentage,region_distribution/10/region,region_distribution/11/percentage,region_distribution/11/region,region_distribution/12/percentage,region_distribution/12/region,region_distribution/13/percentage,region_distribution/13/region,region_distribution/14/percentage,region_distribution/14/region,region_distribution/15/percentage,region_distribution/15/region,region_distribution/16/percentage,region_distribution/16/region,region_distribution/17/percentage,region_distribution/17/region,region_distribution/18/percentage,region_distribution/18/region,region_distribution/19/percentage,region_distribution/19/region,region_distribution/20/percentage,region_distribution/20/region,region_distribution/21/percentage,region_distribution/21/region,region_distribution/22/percentage,region_distribution/22/region,region_distribution/23/percentage,region_distribution/23/region,region_distribution/24/percentage,region_distribution/24/region,region_distribution/25/percentage,region_distribution/25/region,region_distribution/26/percentage,region_distribution/26/region,region_distribution/27/percentage,region_distribution/27/region,region_distribution/28/percentage,region_distribution/28/region,region_distribution/29/percentage,region_distribution/29/region,region_distribution/30/percentage,region_distribution/30/region,region_distribution/31/percentage,region_distribution/31/region,region_distribution/32/percentage,region_distribution/32/region,region_distribution/33/percentage,region_distribution/33/region,region_distribution/34/percentage,region_distribution/34/region,region_distribution/35/percentage,region_distribution/35/region,region_distribution/36/percentage,region_distribution/36/region,region_distribution/37/percentage,region_distribution/37/region,region_distribution/38/percentage,region_distribution/38/region,region_distribution/39/percentage,region_distribution/39/region,region_distribution/40/percentage,region_distribution/40/region,region_distribution/41/percentage,region_distribution/41/region,region_distribution/42/percentage,region_distribution/42/region,region_distribution/43/percentage,region_distribution/43/region,region_distribution/44/percentage,region_distribution/44/region,region_distribution/45/percentage,region_distribution/45/region,region_distribution/46/percentage,region_distribution/46/region,region_distribution/47/percentage,region_distribution/47/region,region_distribution/48/percentage,region_distribution/48/region,region_distribution/49/percentage,region_distribution/49/region,region_distribution/50/percentage,region_distribution/50/region,region_distribution/51/percentage,region_distribution/51/region,region_distribution/52/percentage,region_distribution/52/region,region_distribution/53/percentage,region_distribution/53/region,region_distribution/54/percentage,region_distribution/54/region,region_distribution/55/percentage,region_distribution/55/region,region_distribution/56/percentage,region_distribution/56/region,region_distribution/57/percentage,region_distribution/57/region,region_distribution/58/percentage,region_distribution/58/region,region_distribution/59/percentage,region_distribution/59/region,region_distribution/60/percentage,region_distribution/60/region,region_distribution/61/percentage,region_distribution/61/region,region_distribution/62/percentage,region_distribution/62/region,region_distribution/63/percentage,region_distribution/63/region,region_distribution/64/percentage,region_distribution/64/region,region_distribution/65/percentage,region_distribution/65/region,region_distribution/66/percentage,region_distribution/66/region,region_distribution/67/percentage,region_distribution/67/region,region_distribution/68/percentage,region_distribution/68/region,region_distribution/69/percentage,region_distribution/69/region,region_distribution/70/percentage,region_distribution/70/region,region_distribution/71/percentage,region_distribution/71/region,region_distribution/72/percentage,region_distribution/72/region,region_distribution/73/percentage,region_distribution/73/region,region_distribution/74/percentage,region_distribution/74/region,region_distribution/75/percentage,region_distribution/75/region,region_distribution/76/percentage,region_distribution/76/region,region_distribution/77/percentage,region_distribution/77/region,region_distribution/78/percentage,region_distribution/78/region,region_distribution/79/percentage,region_distribution/79/region,region_distribution/80/percentage,region_distribution/80/region,region_distribution/81/percentage,region_distribution/81/region,region_distribution/82/percentage,region_distribution/82/region,region_distribution/83/percentage,region_distribution/83/region,region_distribution/84/percentage,region_distribution/84/region,region_distribution/85/percentage,region_distribution/85/region,region_distribution/86/percentage,region_distribution/86/region,region_distribution/87/percentage,region_distribution/87/region,region_distribution/88/percentage,region_distribution/88/region,region_distribution/89/percentage,region_distribution/89/region,region_distribution/90/percentage,region_distribution/90/region,region_distribution/91/percentage,region_distribution/91/region,region_distribution/92/percentage,region_distribution/92/region,region_distribution/93/percentage,region_distribution/93/region,region_distribution/94/percentage,region_distribution/94/region,region_distribution/95/percentage,region_distribution/95/region,region_distribution/96/percentage,region_distribution/96/region,region_distribution/97/percentage,region_distribution/97/region,region_distribution/98/percentage,region_distribution/98/region,region_distribution/99/percentage,region_distribution/99/region,region_distribution/100/percentage,region_distribution/100/region,region_distribution/101/percentage,region_distribution/101/region,region_distribution/102/percentage,region_distribution/102/region,region_distribution/103/percentage,region_distribution/103/region,region_distribution/104/percentage,region_distribution/104/region,region_distribution/105/percentage,region_distribution/105/region,region_distribution/106/percentage,region_distribution/106/region,region_distribution/107/percentage,region_distribution/107/region,region_distribution/108/percentage,region_distribution/108/region,region_distribution/109/percentage,region_distribution/109/region,region_distribution/110/percentage,region_distribution/110/region,region_distribution/111/percentage,region_distribution/111/region,region_distribution/112/percentage,region_distribution/112/region,region_distribution/113/percentage,region_distribution/113/region,region_distribution/114/percentage,region_distribution/114/region,region_distribution/115/percentage,region_distribution/115/region,region_distribution/116/percentage,region_distribution/116/region,region_distribution/117/percentage,region_distribution/117/region,region_distribution/118/percentage,region_distribution/118/region,region_distribution/119/percentage,region_distribution/119/region,region_distribution/120/percentage,region_distribution/120/region,region_distribution/121/percentage,region_distribution/121/region
You heard it from Joe Biden first: Cory Booker’s our future president. Want to support Cory at the next debate? Chip in right now and you’ll be automatically entered for a chance to win a trip for you and a guest -- your flight and stay in Houston on us.,2019-08-22T17:16:20+0000,Cory 2020,0,99,0,999,0.166667,Iowa,0.166667,Massachusetts,0.166667,Michigan,0.166667,New Hampshire,0.166667,New Jersey,0.166667,Ohio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
You heard it from Joe Biden first: Cory Booker’s our future president. Want to support Cory at the next debate? Chip in right now and you’ll be automatically entered for a chance to win a trip for you and a guest -- your flight and stay in Houston on us.,2019-08-22T17:16:20+0000,Cory 2020,0,99,0,999,0.125,California,0.125,Florida,0.125,Iowa,0.125,Nebraska,0.125,New York,0.25,Pennsylvania,0.125,Wisconsin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Our next president should ensure rights for all. Add your name and demand that Joe Biden tell us where he stands on criminal justice reform, voting rights, and other civil rights issues.",2019-08-22T15:31:52+0000,the American Civil Liberties Union,0,99,5000,9999,0.004193,New Jersey,0.995807,New York,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Our next president should ensure rights for all. Add your name and demand that Joe Biden tell us where he stands on criminal justice reform, voting rights, and other civil rights issues.",2019-08-22T15:31:52+0000,the American Civil Liberties Union,0,99,5000,9999,0.067389,California,0.028118,New Hampshire,0.019321,New Jersey,0.885171,New York,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Our next president should ensure rights for all. Add your name and demand that Joe Biden tell us where he stands on criminal justice reform, voting rights, and other civil rights issues.",2019-08-22T15:31:52+0000,the American Civil Liberties Union,0,99,5000,9999,0.000984,New Jersey,0.999016,New York,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Our next president should ensure rights for all. Add your name and demand that Joe Biden tell us where he stands on criminal justice reform, voting rights, and other civil rights issues.",2019-08-22T15:31:52+0000,the American Civil Liberties Union,0,99,5000,9999,0.848776,Iowa,0.029283,Nebraska,0.121941,New Hampshire,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Our next president should ensure rights for all. Add your name and demand that Joe Biden tell us where he stands on criminal justice reform, voting rights, and other civil rights issues.",2019-08-22T15:31:52+0000,the American Civil Liberties Union,0,99,1000,4999,1,New York,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Our next president should ensure rights for all. Add your name and demand that Joe Biden tell us where he stands on criminal justice reform, voting rights, and other civil rights issues.",2019-08-22T15:31:52+0000,the American Civil Liberties Union,0,99,5000,9999,0.010148,Alabama,0.039142,Pennsylvania,0.004929,Nevada,0.006669,New Hampshire,0.02508,New Jersey,0.009858,New Mexico,0.059148,New York,0.033488,North Carolina,0.00145,North Dakota,0.041026,Ohio,0.008698,Oklahoma,0.039287,Oregon,0.004494,Rhode Island,0.004784,Montana,0.006234,South Carolina,0.002464,South Dakota,0.015657,Tennessee,0.042766,Texas,0.006379,Utah,0.005219,Vermont,0.026964,Virginia,0.039142,Washington,0.009133,West Virginia,0.022325,Wisconsin,0.007393,Nebraska,0.02247,Missouri,0.004494,Alaska,0.005654,Idaho,0.024935,Arizona,0.007104,Arkansas,0.109597,California,0.021745,Colorado,0.012032,Connecticut,0.003334,Delaware,0.002899,"Washington, District of Columbia",0.058858,Florida,0.023485,Georgia,0.003479,Hawaii,0.036532,Illinois,0.005799,Mississippi,0.018556,Indiana,0.007828,Iowa,0.012177,Kansas,0.014642,Kentucky,0.007828,Louisiana,0.007538,Maine,0.020441,Maryland,0.027544,Massachusetts,0.04581,Michigan,0.022035,Minnesota,0.001305,Wyoming,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"When former Vice President Joe Biden announced that he was running for President, again, it was expected that he would go off script. After five decades in public office, Biden has misspoken so many times, it is part of who he is. 

Despite his early lead, a series of recent gaffes have some Democrats concerned that, at 76, Biden may not be able to maintain his position for another 439 days.",2019-08-22T15:03:43+0000,The American Dossier,0,99,0,999,0.022762,Alabama,0.001517,South Dakota,0.003035,New Mexico,0.034901,New York,0.030349,North Carolina,0.004552,North Dakota,0.057663,Ohio,0.021244,Oklahoma,0.01214,Oregon,0.047041,Pennsylvania,0.033384,South Carolina,0.022762,Tennessee,0.00607,New Hampshire,0.07132,Texas,0.003035,Utah,0.025797,Virginia,0.027314,Washington,0.01214,West Virginia,0.021244,Wisconsin,0.001517,Alaska,0.001517,Nevada,0.001517,Rhode Island,0.001517,Vermont,0.016692,New Jersey,0.00607,Nebraska,0.013657,Arizona,0.037936,Indiana,0.013657,Arkansas,0.045524,California,0.013657,Colorado,0.009105,Connecticut,0.00607,Delaware,0.003035,"Washington, District of Columbia",0.024279,Florida,0.019727,Georgia,0.010622,Idaho,0.045524,Illinois,0.024279,Iowa,0.007587,Montana,0.010622,Kansas,0.031866,Kentucky,0.027314,Louisiana,0.003035,Maine,0.015175,Maryland,0.013657,Massachusetts,0.033384,Michigan,0.018209,Minnesota,0.033384,Mississippi,0.050076,Missouri,0.001517,Wyoming,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Team Joe has been growing in New Hampshire - and we’re not done yet! We’re looking to grow our presence in the Granite State this fall, and we need your help to make sure we’re reaching every possible voter across the state. 

Will you sign up to be a volunteer?",2019-08-21T23:05:04+0000,Biden for President,0,99,0,999,1,New Hampshire,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
