ad_creative_body,ad_delivery_start_time,funding_entity,spend/lower_bound,spend/upper_bound,impressions/lower_bound,impressions/upper_bound,region_distribution/0/percentage,region_distribution/0/region,region_distribution/1/percentage,region_distribution/1/region,region_distribution/2/percentage,region_distribution/2/region,region_distribution/3/percentage,region_distribution/3/region,region_distribution/4/percentage,region_distribution/4/region,region_distribution/5/percentage,region_distribution/5/region,region_distribution/6/percentage,region_distribution/6/region,region_distribution/7/percentage,region_distribution/7/region,region_distribution/8/percentage,region_distribution/8/region,region_distribution/9/percentage,region_distribution/9/region,region_distribution/10/percentage,region_distribution/10/region,region_distribution/11/percentage,region_distribution/11/region,region_distribution/12/percentage,region_distribution/12/region,region_distribution/13/percentage,region_distribution/13/region,region_distribution/14/percentage,region_distribution/14/region,region_distribution/15/percentage,region_distribution/15/region,region_distribution/16/percentage,region_distribution/16/region,region_distribution/17/percentage,region_distribution/17/region,region_distribution/18/percentage,region_distribution/18/region,region_distribution/19/percentage,region_distribution/19/region,region_distribution/20/percentage,region_distribution/20/region,region_distribution/21/percentage,region_distribution/21/region,region_distribution/22/percentage,region_distribution/22/region,region_distribution/23/percentage,region_distribution/23/region,region_distribution/24/percentage,region_distribution/24/region,region_distribution/25/percentage,region_distribution/25/region,region_distribution/26/percentage,region_distribution/26/region,region_distribution/27/percentage,region_distribution/27/region,region_distribution/28/percentage,region_distribution/28/region,region_distribution/29/percentage,region_distribution/29/region,region_distribution/30/percentage,region_distribution/30/region,region_distribution/31/percentage,region_distribution/31/region,region_distribution/32/percentage,region_distribution/32/region,region_distribution/33/percentage,region_distribution/33/region,region_distribution/34/percentage,region_distribution/34/region,region_distribution/35/percentage,region_distribution/35/region,region_distribution/36/percentage,region_distribution/36/region,region_distribution/37/percentage,region_distribution/37/region,region_distribution/38/percentage,region_distribution/38/region,region_distribution/39/percentage,region_distribution/39/region,region_distribution/40/percentage,region_distribution/40/region,region_distribution/41/percentage,region_distribution/41/region,region_distribution/42/percentage,region_distribution/42/region,region_distribution/43/percentage,region_distribution/43/region,region_distribution/44/percentage,region_distribution/44/region,region_distribution/45/percentage,region_distribution/45/region,region_distribution/46/percentage,region_distribution/46/region,region_distribution/47/percentage,region_distribution/47/region,region_distribution/48/percentage,region_distribution/48/region,region_distribution/49/percentage,region_distribution/49/region,region_distribution/50/percentage,region_distribution/50/region
"Amy Klobuchar and Andrew Yang just qualified for the fall debates. And Julián Castro and Tulsi Gabbard are on the cusp of getting there as well.

With more and more candidates qualifying every day -- bringing the number of candidates on stage to nine -- we need to make sure this underdog campaign stands out.

Will you chip in to help us amplify our campaign’s message?",2019-08-16T17:39:00+0000,Cory 2020,0,99,0,999,0.022901,Arizona,0.045802,Texas,0.007634,Vermont,0.015267,Wisconsin,0.007634,Utah,0.175573,California,0.045802,Maryland,0.099237,New York,0.045802,Virginia,0.015267,Pennsylvania,0.038168,Washington,0.015267,Colorado,0.038168,Florida,0.045802,Georgia,0.030534,Massachusetts,0.015267,Michigan,0.045802,North Carolina,0.007634,South Dakota,0.022901,Oregon,0.007634,Connecticut,0.007634,Iowa,0.007634,Delaware,0.015267,"Washington, District of Columbia",0.007634,Hawaii,0.007634,Idaho,0.038168,Illinois,0.007634,Indiana,0.015267,Kansas,0.015267,Ohio,0.015267,Kentucky,0.007634,Maine,0.030534,Missouri,0.015267,Nebraska,0.015267,New Hampshire,0.022901,New Jersey,0.007634,New Mexico,0.015267,Tennessee,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Amy Klobuchar and Andrew Yang just qualified for the fall debates. And Julián Castro and Tulsi Gabbard are on the cusp of getting there as well.

With more and more candidates qualifying every day -- bringing the number of candidates on stage to nine -- we need to make sure this underdog campaign stands out.

Will you chip in to help us amplify our campaign’s message?",2019-08-16T17:39:00+0000,Cory 2020,0,99,0,999,0.047619,Louisiana,0.047619,Massachusetts,0.047619,Michigan,0.047619,New Jersey,0.047619,New York,0.238095,Texas,0.142857,Virginia,0.095238,Washington,0.047619,Colorado,0.047619,Idaho,0.190476,Florida,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Amy Klobuchar and Andrew Yang just qualified for the fall debates. And Julián Castro and Tulsi Gabbard are on the cusp of getting there as well.

With more and more candidates qualifying every day -- bringing the number of candidates on stage to nine -- we need to make sure this underdog campaign stands out.

Will you chip in to help us amplify our campaign’s message?",2019-08-16T17:39:00+0000,Cory 2020,0,99,0,999,0.001689,Wyoming,0.005068,Rhode Island,0.006757,New Hampshire,0.040541,New Jersey,0.011824,New Mexico,0.043919,New York,0.021959,North Carolina,0.033784,Ohio,0.018581,Oklahoma,0.028716,Oregon,0.047297,Pennsylvania,0.011824,South Carolina,0.003378,Nebraska,0.001689,South Dakota,0.015203,Tennessee,0.059122,Texas,0.003378,Utah,0.005068,Vermont,0.027027,Virginia,0.059122,Washington,0.021959,Wisconsin,0.001689,Alaska,0.001689,Arkansas,0.005068,Nevada,0.001689,Montana,0.008446,Alabama,0.048986,Illinois,0.028716,Arizona,0.101351,California,0.021959,Colorado,0.025338,Connecticut,0.003378,Delaware,0.005068,"Washington, District of Columbia",0.035473,Florida,0.023649,Georgia,0.008446,Idaho,0.021959,Indiana,0.02027,Missouri,0.016892,Iowa,0.006757,Kansas,0.008446,Kentucky,0.010135,Louisiana,0.010135,Maine,0.025338,Maryland,0.028716,Massachusetts,0.030405,Michigan,0.025338,Minnesota,0.005068,Mississippi,0.001689,North Dakota,,,,
"Amy Klobuchar and Andrew Yang just qualified for the fall debates. And Julián Castro and Tulsi Gabbard are on the cusp of getting there as well.

With more and more candidates qualifying every day -- bringing the number of candidates on stage to nine -- we need to make sure this underdog campaign stands out.

Will you chip in to help us amplify our campaign’s message?",2019-08-16T17:39:00+0000,Cory 2020,0,99,0,999,0.003788,Alabama,0.017045,South Carolina,0.001894,Nebraska,0.043561,New Jersey,0.00947,New Mexico,0.077652,New York,0.037879,North Carolina,0.001894,North Dakota,0.028409,Ohio,0.024621,Oregon,0.043561,Pennsylvania,0.011364,Tennessee,0.013258,Missouri,0.039773,Texas,0.003788,Utah,0.003788,Vermont,0.018939,Virginia,0.051136,Washington,0.022727,Connecticut,0.011364,Kentucky,0.020833,Maryland,0.005682,Nevada,0.003788,South Dakota,0.001894,Montana,0.026515,Minnesota,0.003788,Alaska,0.001894,Idaho,0.005682,Arkansas,0.028409,Colorado,0.003788,Delaware,0.00947,"Washington, District of Columbia",0.003788,Kansas,0.011364,Maine,0.005682,New Hampshire,0.007576,Rhode Island,0.015152,Wisconsin,0.001894,Mississippi,0.030303,Michigan,0.003788,Oklahoma,0.018939,Arizona,0.104167,California,0.056818,Florida,0.015152,Georgia,0.047348,Illinois,0.018939,Indiana,0.022727,Iowa,0.005682,Louisiana,0.049242,Massachusetts,0.003788,Hawaii,,,,
"Amy Klobuchar and Andrew Yang just qualified for the fall debates. And Julián Castro and Tulsi Gabbard are on the cusp of getting there as well.

With more and more candidates qualifying every day -- bringing the number of candidates on stage to nine -- we need to make sure this underdog campaign stands out.

Will you chip in to help us amplify our campaign’s message?",2019-08-16T17:39:00+0000,Cory 2020,0,99,0,999,0.1,Colorado,0.1,Florida,0.1,Kentucky,0.2,Maryland,0.1,Michigan,0.1,New Mexico,0.2,New York,0.1,Washington,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Amy Klobuchar and Andrew Yang just qualified for the fall debates. And Julián Castro and Tulsi Gabbard are on the cusp of getting there as well.

With more and more candidates qualifying every day -- bringing the number of candidates on stage to nine -- we need to make sure this underdog campaign stands out.

Will you chip in to help us amplify our campaign’s message?",2019-08-16T17:39:00+0000,Cory 2020,0,99,0,999,0.166667,California,0.166667,Georgia,0.166667,Massachusetts,0.166667,Oklahoma,0.166667,Washington,0.166667,Ohio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Amy Klobuchar and Andrew Yang just qualified for the fall debates. And Julián Castro and Tulsi Gabbard are on the cusp of getting there as well.

With more and more candidates qualifying every day -- bringing the number of candidates on stage to nine -- we need to make sure this underdog campaign stands out.

Will you chip in to help us amplify our campaign’s message?",2019-08-16T17:39:00+0000,Cory 2020,0,99,0,999,0.25,Nebraska,0.5,Pennsylvania,0.25,Texas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Amy Klobuchar and Andrew Yang just qualified for the fall debates. And Julián Castro and Tulsi Gabbard are on the cusp of getting there as well.

With more and more candidates qualifying every day -- bringing the number of candidates on stage to nine -- we need to make sure this underdog campaign stands out.

Will you chip in to help us amplify our campaign’s message?",2019-08-16T17:39:00+0000,Cory 2020,0,99,0,999,0.013889,Arizona,0.027778,Missouri,0.083333,New Jersey,0.013889,Nevada,0.013889,Wisconsin,0.027778,Washington,0.027778,Virginia,0.013889,Utah,0.013889,Tennessee,0.111111,Pennsylvania,0.013889,Oklahoma,0.027778,Ohio,0.027778,North Carolina,0.027778,New York,0.013889,Minnesota,0.055556,California,0.027778,Michigan,0.027778,Massachusetts,0.027778,Maryland,0.013889,Maine,0.041667,Louisiana,0.013889,Kansas,0.027778,Indiana,0.041667,Illinois,0.027778,Georgia,0.083333,Florida,0.027778,Delaware,0.027778,Connecticut,0.041667,Colorado,0.055556,Texas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Amy Klobuchar and Andrew Yang just qualified for the fall debates. And Julián Castro and Tulsi Gabbard are on the cusp of getting there as well.

With more and more candidates qualifying every day -- bringing the number of candidates on stage to nine -- we need to make sure this underdog campaign stands out.

Will you chip in to help us amplify our campaign’s message?",2019-08-16T17:39:00+0000,Cory 2020,0,99,0,999,0.012821,Alabama,0.012821,Nebraska,0.025641,Virginia,0.012821,Vermont,0.115385,Texas,0.012821,Tennessee,0.012821,Rhode Island,0.025641,Pennsylvania,0.012821,Oregon,0.025641,Oklahoma,0.025641,Ohio,0.051282,North Carolina,0.076923,New York,0.064103,New Jersey,0.025641,New Hampshire,0.038462,Missouri,0.012821,Arizona,0.012821,Minnesota,0.038462,Michigan,0.038462,Massachusetts,0.012821,Maryland,0.025641,Louisiana,0.038462,Kentucky,0.012821,Kansas,0.012821,Iowa,0.038462,Indiana,0.051282,Illinois,0.012821,Georgia,0.064103,Florida,0.038462,"Washington, District of Columbia",0.025641,Colorado,0.012821,Wisconsin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Amy Klobuchar and Andrew Yang just qualified for the fall debates. And Julián Castro and Tulsi Gabbard are on the cusp of getting there as well.

With more and more candidates qualifying every day -- bringing the number of candidates on stage to nine -- we need to make sure this underdog campaign stands out.

Will you chip in to help us amplify our campaign’s message?",2019-08-16T17:39:00+0000,Cory 2020,0,99,0,999,0.5,Colorado,0.5,New York,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
