ad_creative_body,ad_delivery_start_time,funding_entity,spend/lower_bound,spend/upper_bound,impressions/lower_bound,impressions/upper_bound,region_distribution/0/percentage,region_distribution/0/region,region_distribution/1/percentage,region_distribution/1/region,region_distribution/2/percentage,region_distribution/2/region,region_distribution/3/percentage,region_distribution/3/region,region_distribution/4/percentage,region_distribution/4/region,region_distribution/5/percentage,region_distribution/5/region,region_distribution/6/percentage,region_distribution/6/region,region_distribution/7/percentage,region_distribution/7/region,region_distribution/8/percentage,region_distribution/8/region,region_distribution/9/percentage,region_distribution/9/region,region_distribution/10/percentage,region_distribution/10/region,region_distribution/11/percentage,region_distribution/11/region,region_distribution/12/percentage,region_distribution/12/region,region_distribution/13/percentage,region_distribution/13/region,region_distribution/14/percentage,region_distribution/14/region,region_distribution/15/percentage,region_distribution/15/region,region_distribution/16/percentage,region_distribution/16/region,region_distribution/17/percentage,region_distribution/17/region,region_distribution/18/percentage,region_distribution/18/region,region_distribution/19/percentage,region_distribution/19/region,region_distribution/20/percentage,region_distribution/20/region,region_distribution/21/percentage,region_distribution/21/region,region_distribution/22/percentage,region_distribution/22/region,region_distribution/23/percentage,region_distribution/23/region,region_distribution/24/percentage,region_distribution/24/region,region_distribution/25/percentage,region_distribution/25/region,region_distribution/26/percentage,region_distribution/26/region,region_distribution/27/percentage,region_distribution/27/region,region_distribution/28/percentage,region_distribution/28/region,region_distribution/29/percentage,region_distribution/29/region,region_distribution/30/percentage,region_distribution/30/region,region_distribution/31/percentage,region_distribution/31/region,region_distribution/32/percentage,region_distribution/32/region,region_distribution/33/percentage,region_distribution/33/region,region_distribution/34/percentage,region_distribution/34/region,region_distribution/35/percentage,region_distribution/35/region,region_distribution/36/percentage,region_distribution/36/region,region_distribution/37/percentage,region_distribution/37/region,region_distribution/38/percentage,region_distribution/38/region,region_distribution/39/percentage,region_distribution/39/region,region_distribution/40/percentage,region_distribution/40/region,region_distribution/41/percentage,region_distribution/41/region,region_distribution/42/percentage,region_distribution/42/region,region_distribution/43/percentage,region_distribution/43/region,region_distribution/44/percentage,region_distribution/44/region,region_distribution/45/percentage,region_distribution/45/region,region_distribution/46/percentage,region_distribution/46/region,region_distribution/47/percentage,region_distribution/47/region,region_distribution/48/percentage,region_distribution/48/region,region_distribution/49/percentage,region_distribution/49/region,region_distribution/50/percentage,region_distribution/50/region,region_distribution/51/percentage,region_distribution/51/region,region_distribution/52/percentage,region_distribution/52/region,region_distribution/53/percentage,region_distribution/53/region,region_distribution/54/percentage,region_distribution/54/region,region_distribution/55/percentage,region_distribution/55/region,region_distribution/56/percentage,region_distribution/56/region,region_distribution/57/percentage,region_distribution/57/region,region_distribution/58/percentage,region_distribution/58/region,region_distribution/59/percentage,region_distribution/59/region,region_distribution/60/percentage,region_distribution/60/region,region_distribution/61/percentage,region_distribution/61/region,region_distribution/62/percentage,region_distribution/62/region,region_distribution/63/percentage,region_distribution/63/region,region_distribution/64/percentage,region_distribution/64/region,region_distribution/65/percentage,region_distribution/65/region,region_distribution/66/percentage,region_distribution/66/region,region_distribution/67/percentage,region_distribution/67/region,region_distribution/68/percentage,region_distribution/68/region,region_distribution/69/percentage,region_distribution/69/region,region_distribution/70/percentage,region_distribution/70/region,region_distribution/71/percentage,region_distribution/71/region,region_distribution/72/percentage,region_distribution/72/region,region_distribution/73/percentage,region_distribution/73/region,region_distribution/74/percentage,region_distribution/74/region,region_distribution/75/percentage,region_distribution/75/region,region_distribution/76/percentage,region_distribution/76/region,region_distribution/77/percentage,region_distribution/77/region,region_distribution/78/percentage,region_distribution/78/region,region_distribution/79/percentage,region_distribution/79/region,region_distribution/80/percentage,region_distribution/80/region,region_distribution/81/percentage,region_distribution/81/region,region_distribution/82/percentage,region_distribution/82/region,region_distribution/83/percentage,region_distribution/83/region,region_distribution/84/percentage,region_distribution/84/region,region_distribution/85/percentage,region_distribution/85/region,region_distribution/86/percentage,region_distribution/86/region,region_distribution/87/percentage,region_distribution/87/region,region_distribution/88/percentage,region_distribution/88/region,region_distribution/89/percentage,region_distribution/89/region,region_distribution/90/percentage,region_distribution/90/region,region_distribution/91/percentage,region_distribution/91/region,region_distribution/92/percentage,region_distribution/92/region,region_distribution/93/percentage,region_distribution/93/region,region_distribution/94/percentage,region_distribution/94/region,region_distribution/95/percentage,region_distribution/95/region,region_distribution/96/percentage,region_distribution/96/region,region_distribution/97/percentage,region_distribution/97/region,region_distribution/98/percentage,region_distribution/98/region,region_distribution/99/percentage,region_distribution/99/region,region_distribution/100/percentage,region_distribution/100/region,region_distribution/101/percentage,region_distribution/101/region,region_distribution/102/percentage,region_distribution/102/region,region_distribution/103/percentage,region_distribution/103/region,region_distribution/104/percentage,region_distribution/104/region,region_distribution/105/percentage,region_distribution/105/region,region_distribution/106/percentage,region_distribution/106/region,region_distribution/107/percentage,region_distribution/107/region,region_distribution/108/percentage,region_distribution/108/region,region_distribution/109/percentage,region_distribution/109/region,region_distribution/110/percentage,region_distribution/110/region,region_distribution/111/percentage,region_distribution/111/region,region_distribution/112/percentage,region_distribution/112/region,region_distribution/113/percentage,region_distribution/113/region,region_distribution/114/percentage,region_distribution/114/region,region_distribution/115/percentage,region_distribution/115/region,region_distribution/116/percentage,region_distribution/116/region,region_distribution/117/percentage,region_distribution/117/region,region_distribution/118/percentage,region_distribution/118/region,region_distribution/119/percentage,region_distribution/119/region,region_distribution/120/percentage,region_distribution/120/region,region_distribution/121/percentage,region_distribution/121/region,region_distribution/122/percentage,region_distribution/122/region,region_distribution/123/percentage,region_distribution/123/region,region_distribution/124/percentage,region_distribution/124/region,region_distribution/125/percentage,region_distribution/125/region
"If you’re tired of Mitch McConnell’s broken Washington, then I need you on this team. Join me, and let’s take our government back.",2019-08-22T22:59:16+0000,Amy McGrath for Senate,0,99,0,999,0.03125,Arizona,0.03125,North Carolina,0.03125,Washington,0.03125,Virginia,0.09375,Texas,0.03125,South Dakota,0.03125,South Carolina,0.0625,Oklahoma,0.09375,Ohio,0.03125,New York,0.03125,Arkansas,0.03125,New Jersey,0.09375,Minnesota,0.0625,Michigan,0.03125,Maine,0.0625,Illinois,0.0625,Florida,0.0625,Colorado,0.0625,California,0.03125,Wisconsin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Just imagine: a Senate that works for US again. That’s a Senate without Mitch McConnell. Join Team McGrath and let’s defeat him in 2020.,2019-08-22T22:59:16+0000,Amy McGrath for Senate,0,99,0,999,0.071429,Arizona,0.035714,Michigan,0.035714,Oregon,0.035714,Oklahoma,0.035714,Ohio,0.142857,New York,0.035714,New Jersey,0.035714,Nevada,0.035714,Massachusetts,0.035714,Arkansas,0.035714,Maine,0.071429,Iowa,0.071429,Illinois,0.107143,Florida,0.035714,Colorado,0.142857,California,0.035714,Pennsylvania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"This is UNDEMOCRATIC. The lack of international media coverage and the lack of social media coverage of atrocities occurring in Indonesian-occupied West Papua, is a direct result of the Indonesian government strategically preventing the world from viewing their disturbing operations on the ground. Over this past weekend, 43 students in a dormitory in Surabaya were arrested by Indonesian forces after allegations that they threw an Indonesian flag in a sewer. After their arrests, mobs of Indonesians began to form chanting racist slurs and threatening to kill Papuans. West Papuans do not find the Indonesian flag to be representative of them as a nation. West Papuans can face up to 15 years of imprisonment for raising their Morning Star Flag, which represents the nation and people of West Papua. They have long called for indpendence from Indonesia. Their lands have been subjected to mining by multinational corporations in collusion with the Indonesian government-without consultation. Over the past few decades it is estimated that over 500,000 indigenous West Papuans have been slain by the Indonesian government on their indigenous lands. #FreeWestPapua #PapuaExit #TurnitBackOn #WestPapua #Amazon #Genocide @papuaexit @freewestpapua.australia @freewestpapuacampaign @freewestpapua @shaunking",2019-08-22T21:57:06+0000,,0,99,10000,49999,5.4E-5,Christ Church,0.034989,Batna Province,0.039168,Blida Province,0.019343,Biskra Province,0.01945,Béjaïa Province,0.033917,Tlemcen Province,0.028881,Tizi Ouzou Province,0.011252,Tiaret Province,0.041901,Sétif Province,0.005412,Saïda Province,0.057761,Oran Province,0.014574,Mostaganem Province,0.012592,Médéa Province,0.051599,Constantine Province,0.225151,Algiers Province,0.012485,Djelfa Province,0.003215,El Taref Province,0.000857,Greater Accra Region,0.000107,Región Autónoma del Atlántico Sur,0.000107,Westmoreland Parish,0.000482,Saint James Parish,5.4E-5,Saint Elizabeth Parish,0.000321,Saint Catherine Parish,0.00134,Saint Andrew Parish,5.4E-5,Portland Parish,5.4E-5,Manchester Parish,5.4E-5,Point Fortin,0.000536,Tunapuna-Piarco Regional Corporation,5.4E-5,Siparia Regional Corporation,0.014038,Bouïra Province,0.011413,Guelma Province,5.4E-5,San Juan-Laventille Regional Corporation,0.016342,Chlef Province,0.022719,Tipaza Province,0.004126,Tindouf Province,0.00284,Tamanrasset Province,0.007823,Souk Ahras Province,0.009752,Relizane Province,0.012967,Ouargla Province,0.002893,Naâma Province,0.016128,Mila Province,0.009055,Khenchela Province,0.000857,Illizi Province,0.005144,Ghardaïa Province,0.008466,El Oued Province,0.00209,El Bayadh Province,0.01511,Boumerdès Province,0.018271,Jijel Province,0.017307,Bordj Bou Arréridj Province,0.005197,Béchar Province,0.035203,Annaba Province,0.006858,Aïn Témouchent Province,0.011413,Aïn Defla Province,0.005305,Adrar Province,0.014146,Tébessa Province,0.024916,Skikda Province,0.014574,Sidi Bel Abbès Province,0.010556,Oum El Bouaghi Province,0.012967,M'Sila Province,0.009055,Mascara Province,0.009484,Laghouat Province,0.000375,Sangre Grande Regional Corporation,0.000107,Princes Town Regional Corporation,5.4E-5,Saint James,5.4E-5,Western Province ,5.4E-5,Tasmania,0.000107,Eastern Cape,5.4E-5,Texas,5.4E-5,Pennsylvania,5.4E-5,Nelson Province,5.4E-5,Auckland Region,0.003054,Port Moresby,5.4E-5,Sandaun Province,0.000161,Morobe Province,5.4E-5,Manus Province,5.4E-5,East Sepik Province,0.000107,East New Britain Province,5.4E-5,Eastern Highlands Province,0.000214,Toledo District,0.000482,Lagos State,0.000107,Stann Creek District,0.001607,Orange Walk District,0.000321,Corozal District,0.002518,Cayo District,0.003215,Belize District,0.000214,Vieux-Fort,5.4E-5,Laborie,0.000482,Gros-Islet,0.002358,Castries,0.000268,Martinique,5.4E-5,Saint Philip,5.4E-5,Saint Peter,0.002465,Saint Michael,5.4E-5,Western Australia,0.000214,Federal Capital Territory,0.000107,Penal-Debe Regional Corporation,0.000107,Ondo State,5.4E-5,Diego Martin Regional Corporation,0.000161,Chaguanas,0.000589,Couva-Tabaquite-Talparo Regional Corporation,5.4E-5,Tobago,0.000268,San Fernando,0.000697,Port of Spain,5.4E-5,Rio Claro-Mayaro Regional Corporation,0.000107,Arima,5.4E-5,Zamfara State,5.4E-5,Gombe State,0.000107,Ekiti State,0.000107,Sokoto State,5.4E-5,Rivers State,5.4E-5,Enugu State,0.000429,Ogun State,0.000107,Bauchi State,0.000214,Abia State,5.4E-5,Kebbi State,5.4E-5,Jigawa State,0.000107,Edo State,0.000161,Delta State,5.4E-5,Adamawa State,0.000268,Oyo State,5.4E-5,Niger State,0.000375,Kano State,5.4E-5,Katsina State,0.000214,Kaduna State,0.000107,Cross River State,0.003108,Tissemsilt Province
"Legislation has been passed by Congress, which changes your benefits. 

New government changes and benefits information on government Final Expense Benefits that many people are not aware they qualify for. 

For your free information on new changes and benefits for Final Expense Benefits, click the below to have a benefits coordinator contact you to determine your eligibility. Or Call Now, NO WAIT! 650-450-6169",2019-08-22T21:05:51+0000,Senior Burial Solutions,100,499,1000,4999,1,Georgia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"As President, I pledge to devise an administration of the people, by the people, and for the people -- by prioritizing people. Will you add your name here and sign on to my plan to restore our democracy and rebuild trust in our government?  It will take a large movement of people working together to make this a reality.",2019-08-22T20:09:51+0000,Andrew Yang,0,99,0,999,0.007168,Alabama,0.032258,Oregon,0.021505,Nevada,0.021505,New Hampshire,0.028674,New Jersey,0.014337,New Mexico,0.107527,New York,0.032258,North Carolina,0.032258,Ohio,0.003584,Oklahoma,0.060932,Pennsylvania,0.007168,Missouri,0.003584,South Carolina,0.007168,South Dakota,0.010753,Tennessee,0.043011,Texas,0.010753,Utah,0.007168,Vermont,0.010753,Virginia,0.046595,Washington,0.007168,Nebraska,0.021505,Minnesota,0.007168,Alaska,0.007168,Idaho,0.017921,Arizona,0.007168,Arkansas,0.107527,California,0.032258,Colorado,0.010753,Connecticut,0.003584,"Washington, District of Columbia",0.064516,Florida,0.010753,Georgia,0.028674,Illinois,0.028674,Michigan,0.014337,Indiana,0.021505,Iowa,0.003584,Kansas,0.003584,Kentucky,0.003584,Louisiana,0.010753,Maine,0.017921,Maryland,0.028674,Massachusetts,0.032258,Wisconsin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"As President, I pledge to devise an administration of the people, by the people, and for the people -- by prioritizing people. Will you add your name here and sign on to my plan to restore our democracy and rebuild trust in our government?  It will take a large movement of people working together to make this a reality.",2019-08-22T19:58:21+0000,Andrew Yang,0,99,1000,4999,0.013196,Alabama,0.045324,Pennsylvania,0.012048,Nevada,0.013196,New Hampshire,0.013196,New Jersey,0.007458,New Mexico,0.055077,New York,0.02467,North Carolina,0.001147,North Dakota,0.044177,Ohio,0.010327,Oklahoma,0.027539,Oregon,0.001147,Rhode Island,0.004016,Montana,0.012622,South Carolina,0.004016,South Dakota,0.012622,Tennessee,0.060241,Texas,0.012622,Utah,0.008032,Vermont,0.024096,Virginia,0.030981,Washington,0.006311,West Virginia,0.021228,Wisconsin,0.007458,Nebraska,0.021228,Missouri,0.003442,Alaska,0.006311,Idaho,0.026391,Arizona,0.010327,Arkansas,0.095812,California,0.022375,Colorado,0.010327,Connecticut,0.004016,Delaware,0.004016,"Washington, District of Columbia",0.062536,Florida,0.028112,Georgia,0.006311,Hawaii,0.034423,Illinois,0.00459,Mississippi,0.030981,Indiana,0.021228,Iowa,0.00918,Kansas,0.016064,Kentucky,0.005164,Louisiana,0.005164,Maine,0.012622,Maryland,0.023523,Massachusetts,0.043603,Michigan,0.016638,Minnesota,0.002869,Wyoming,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"The federal government has become a revolving door, with individuals moving back and forth between high-paying jobs and government positions. It’s time to close that door. Will you join me and add your name?",2019-08-22T19:57:49+0000,Andrew Yang,0,99,0,999,0.011905,Alaska,0.02381,Nebraska,0.011905,Washington,0.011905,Virginia,0.035714,Texas,0.011905,Tennessee,0.035714,South Carolina,0.035714,Pennsylvania,0.011905,Oregon,0.059524,Ohio,0.071429,North Carolina,0.047619,New York,0.02381,New Mexico,0.02381,New Jersey,0.02381,New Hampshire,0.011905,Nevada,0.02381,Montana,0.059524,Arizona,0.011905,Indiana,0.083333,California,0.011905,Connecticut,0.071429,Florida,0.011905,Georgia,0.02381,Idaho,0.011905,Illinois,0.011905,Iowa,0.047619,Missouri,0.02381,Kansas,0.02381,Kentucky,0.011905,Louisiana,0.011905,Maine,0.047619,Massachusetts,0.035714,Michigan,0.02381,Wisconsin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"The federal government has become a revolving door, with individuals moving back and forth between high-paying jobs and government positions. It’s time to close that door. Will you join me and add your name?",2019-08-22T19:57:49+0000,Andrew Yang,0,99,0,999,0.052632,Arizona,0.035088,Mississippi,0.017544,Tennessee,0.017544,South Carolina,0.035088,Rhode Island,0.052632,Oregon,0.035088,Oklahoma,0.105263,Ohio,0.070175,New York,0.017544,New Jersey,0.017544,Nevada,0.017544,Missouri,0.017544,Michigan,0.122807,California,0.052632,Massachusetts,0.017544,Kentucky,0.035088,Iowa,0.017544,Indiana,0.052632,Illinois,0.035088,Georgia,0.070175,Florida,0.017544,"Washington, District of Columbia",0.017544,Delaware,0.017544,Connecticut,0.017544,Colorado,0.035088,Texas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"The federal government has become a revolving door, with individuals moving back and forth between high-paying jobs and government positions. It’s time to close that door. Will you join me and add your name?",2019-08-22T19:57:37+0000,Andrew Yang,0,99,0,999,0.037037,Arizona,0.111111,California,0.074074,Florida,0.074074,Indiana,0.037037,Kentucky,0.037037,Michigan,0.074074,Nevada,0.148148,New Jersey,0.037037,New York,0.074074,Oregon,0.111111,Pennsylvania,0.037037,Rhode Island,0.037037,Tennessee,0.037037,Utah,0.037037,Washington,0.037037,West Virginia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"As President, I pledge to devise an administration of the people, by the people, and for the people -- by prioritizing people. Will you add your name here and sign on to my plan to restore our democracy and rebuild trust in our government?  It will take a large movement of people working together to make this a reality.",2019-08-22T19:57:24+0000,Andrew Yang,0,99,0,999,0.003125,Alabama,0.03125,Oregon,0.0125,Nevada,0.010938,New Hampshire,0.015625,New Jersey,0.001563,New Mexico,0.065625,New York,0.028125,North Carolina,0.003125,North Dakota,0.039063,Ohio,0.017188,Oklahoma,0.048438,Pennsylvania,0.004688,Montana,0.010938,Rhode Island,0.0125,South Carolina,0.004688,South Dakota,0.017188,Tennessee,0.05,Texas,0.004688,Utah,0.004688,Vermont,0.0125,Virginia,0.029688,Washington,0.00625,West Virginia,0.009375,Nebraska,0.017188,Missouri,0.003125,Alaska,0.003125,Idaho,0.026563,Arizona,0.007813,Arkansas,0.109375,California,0.021875,Colorado,0.010938,Connecticut,0.009375,"Washington, District of Columbia",0.060938,Florida,0.015625,Georgia,0.007813,Hawaii,0.032813,Illinois,0.004688,Mississippi,0.026563,Indiana,0.020313,Iowa,0.015625,Kansas,0.026563,Kentucky,0.007813,Louisiana,0.00625,Maine,0.0125,Maryland,0.028125,Massachusetts,0.040625,Michigan,0.0125,Minnesota,0.028125,Wisconsin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
