ad_creative_body,ad_delivery_start_time,funding_entity,spend/lower_bound,spend/upper_bound,impressions/lower_bound,impressions/upper_bound,region_distribution/0/percentage,region_distribution/0/region,region_distribution/1/percentage,region_distribution/1/region,region_distribution/2/percentage,region_distribution/2/region,region_distribution/3/percentage,region_distribution/3/region,region_distribution/4/percentage,region_distribution/4/region,region_distribution/5/percentage,region_distribution/5/region,region_distribution/6/percentage,region_distribution/6/region,region_distribution/7/percentage,region_distribution/7/region,region_distribution/8/percentage,region_distribution/8/region,region_distribution/9/percentage,region_distribution/9/region,region_distribution/10/percentage,region_distribution/10/region,region_distribution/11/percentage,region_distribution/11/region,region_distribution/12/percentage,region_distribution/12/region,region_distribution/13/percentage,region_distribution/13/region,region_distribution/14/percentage,region_distribution/14/region,region_distribution/15/percentage,region_distribution/15/region,region_distribution/16/percentage,region_distribution/16/region,region_distribution/17/percentage,region_distribution/17/region,region_distribution/18/percentage,region_distribution/18/region,region_distribution/19/percentage,region_distribution/19/region,region_distribution/20/percentage,region_distribution/20/region,region_distribution/21/percentage,region_distribution/21/region,region_distribution/22/percentage,region_distribution/22/region,region_distribution/23/percentage,region_distribution/23/region,region_distribution/24/percentage,region_distribution/24/region,region_distribution/25/percentage,region_distribution/25/region,region_distribution/26/percentage,region_distribution/26/region,region_distribution/27/percentage,region_distribution/27/region,region_distribution/28/percentage,region_distribution/28/region,region_distribution/29/percentage,region_distribution/29/region,region_distribution/30/percentage,region_distribution/30/region,region_distribution/31/percentage,region_distribution/31/region,region_distribution/32/percentage,region_distribution/32/region,region_distribution/33/percentage,region_distribution/33/region,region_distribution/34/percentage,region_distribution/34/region,region_distribution/35/percentage,region_distribution/35/region,region_distribution/36/percentage,region_distribution/36/region,region_distribution/37/percentage,region_distribution/37/region,region_distribution/38/percentage,region_distribution/38/region,region_distribution/39/percentage,region_distribution/39/region,region_distribution/40/percentage,region_distribution/40/region,region_distribution/41/percentage,region_distribution/41/region,region_distribution/42/percentage,region_distribution/42/region,region_distribution/43/percentage,region_distribution/43/region,region_distribution/44/percentage,region_distribution/44/region,region_distribution/45/percentage,region_distribution/45/region,region_distribution/46/percentage,region_distribution/46/region,region_distribution/47/percentage,region_distribution/47/region,region_distribution/48/percentage,region_distribution/48/region,region_distribution/49/percentage,region_distribution/49/region,region_distribution/50/percentage,region_distribution/50/region
Republicans in Virginia oppose “Red Flag” gun safety laws that would give families and law enforcement a way to get guns away from people who are exhibiting violent or unstable behavior. Oppose Republican candidates that don’t put your safety first.,2019-08-22T20:11:54+0000,Everytown for Gun Safety Action Fund. Not authorized by any candidate or candidate’s committee.,0,99,0,999,1,Virginia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"In most mass shootings, the shooter showed warning signs beforehand. ""Red Flag"" gun safety laws give families and law enforcement a way to get guns away from people who are exhibiting violent or unstable behavior. Virginia Republicans oppose Red Flag laws. We should oppose Republican candidates that don't stand up for our safety.",2019-08-22T20:11:54+0000,Everytown for Gun Safety Action Fund. Not authorized by any candidate or candidate’s committee.,0,99,0,999,0.99631,Virginia,0.00369,West Virginia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"In most mass shootings, the shooter showed warning signs beforehand. ""Red Flag"" gun safety laws give families and law enforcement a way to get guns away from people who are exhibiting violent or unstable behavior. Virginia Republicans oppose Red Flag laws. We should oppose Republican candidates that don't stand up for our safety.",2019-08-22T20:11:54+0000,Everytown for Gun Safety Action Fund. Not authorized by any candidate or candidate’s committee.,0,99,0,999,1,Virginia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"In most mass shootings, the shooter showed warning signs beforehand. ""Red Flag"" gun safety laws give families and law enforcement a way to get guns away from people who are exhibiting violent or unstable behavior. Virginia Republicans oppose Red Flag laws. We should oppose Republican candidates that don't stand up for our safety.",2019-08-22T20:11:54+0000,Everytown for Gun Safety Action Fund. Not authorized by any candidate or candidate’s committee.,0,99,0,999,1,Virginia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Republicans in Virginia oppose “Red Flag” gun safety laws that would give families and law enforcement a way to get guns away from people who are exhibiting violent or unstable behavior. Oppose Republican candidates that don’t put your safety first.,2019-08-22T20:11:54+0000,Everytown for Gun Safety Action Fund. Not authorized by any candidate or candidate’s committee.,0,99,1000,4999,1,Virginia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Republicans in Virginia oppose gun safety laws that give families and law enforcement a way to get guns away from people who are exhibiting violent or unstable behavior. Oppose Republican candidates that put the NRA ahead of your safety.,2019-08-22T20:11:54+0000,Everytown for Gun Safety Action Fund. Not authorized by any candidate or candidate’s committee.,0,99,1000,4999,1,Virginia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Republicans in Virginia oppose “Red Flag” gun safety laws that would give families and law enforcement a way to get guns away from people who are exhibiting violent or unstable behavior. Oppose Republican candidates that don’t put your safety first.,2019-08-22T20:11:54+0000,Everytown for Gun Safety Action Fund. Not authorized by any candidate or candidate’s committee.,0,99,1000,4999,1,Virginia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"In most mass shootings, the shooter showed warning signs beforehand. ""Red Flag"" gun safety laws give families and law enforcement a way to get guns away from people who are exhibiting violent or unstable behavior. Virginia Republicans oppose Red Flag laws. We should oppose Republican candidates that don't stand up for our safety.",2019-08-22T20:11:54+0000,Everytown for Gun Safety Action Fund. Not authorized by any candidate or candidate’s committee.,0,99,1000,4999,1,Virginia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"I don’t care how politically difficult it will be, we need a mandatory buyback of assault weapons in this country. 

We can’t wait any longer to act on gun violence. If you’re with us, sign on now:",2019-08-22T18:32:28+0000,Beto for America,100,499,10000,49999,0.004448,Alabama,0.07156,Pennsylvania,0.008316,Nevada,0.006382,New Hampshire,0.041002,New Jersey,0.00793,New Mexico,0.081907,New York,0.036457,North Carolina,0.002418,North Dakota,0.048641,Ohio,0.004642,Oklahoma,0.019631,Oregon,0.005029,Rhode Island,0.003675,Montana,0.012571,South Carolina,0.003578,South Dakota,0.011024,Tennessee,0.024659,Texas,0.005705,Utah,0.004062,Vermont,0.026883,Virginia,0.023982,Washington,0.008316,West Virginia,0.021661,Wisconsin,0.006479,Nebraska,0.018857,Missouri,0.001547,Alaska,0.002901,Idaho,0.031235,Arizona,0.004932,Arkansas,0.072527,California,0.024756,Colorado,0.020984,Connecticut,0.007059,Delaware,0.002031,"Washington, District of Columbia",0.072914,Florida,0.015666,Georgia,0.003481,Hawaii,0.041002,Illinois,0.002321,Mississippi,0.021758,Indiana,0.017987,Iowa,0.008123,Kansas,0.012861,Kentucky,0.004062,Louisiana,0.007156,Maine,0.020791,Maryland,0.023499,Massachusetts,0.041969,Michigan,0.02669,Minnesota,0.001934,Wyoming
"In Arkansas, I went to a gun show where I listened to gun owners and sellers. I appreciated hearing their perspectives, and I think it’s important that we do that — talk to people about the challenges that face us, whether we agree with them or not. But when I’m president, you won’t be able to buy assault weapons for $395 like you could at that gun show. You won’t be able to buy them at all. Sign if you agree:",2019-08-22T18:32:28+0000,Beto for America,100,499,10000,49999,0.004897,Alabama,0.05945,Pennsylvania,0.007732,Nevada,0.004811,New Hampshire,0.026375,New Jersey,0.010395,New Mexico,0.069072,New York,0.033591,North Carolina,0.002921,North Dakota,0.054639,Ohio,0.006873,Oklahoma,0.022165,Oregon,0.004811,Rhode Island,0.00567,Montana,0.013918,South Carolina,0.00378,South Dakota,0.010223,Tennessee,0.031529,Texas,0.005842,Utah,0.004553,Vermont,0.026203,Virginia,0.030928,Washington,0.009192,West Virginia,0.022938,Wisconsin,0.007646,Nebraska,0.016838,Missouri,0.00189,Alaska,0.00378,Idaho,0.029038,Arizona,0.005412,Arkansas,0.077921,California,0.02122,Colorado,0.017268,Connecticut,0.004467,Delaware,0.001203,"Washington, District of Columbia",0.076203,Florida,0.013402,Georgia,0.003694,Hawaii,0.04579,Illinois,0.001718,Mississippi,0.024313,Indiana,0.01933,Iowa,0.011168,Kansas,0.013316,Kentucky,0.003522,Louisiana,0.009192,Maine,0.017268,Maryland,0.027234,Massachusetts,0.04854,Michigan,0.024914,Minnesota,0.001203,Wyoming
