ad_creative_body,ad_delivery_start_time,funding_entity,spend/lower_bound,spend/upper_bound,impressions/lower_bound,impressions/upper_bound,region_distribution/0/percentage,region_distribution/0/region,region_distribution/1/percentage,region_distribution/1/region,region_distribution/2/percentage,region_distribution/2/region,region_distribution/3/percentage,region_distribution/3/region,region_distribution/4/percentage,region_distribution/4/region,region_distribution/5/percentage,region_distribution/5/region,region_distribution/6/percentage,region_distribution/6/region,region_distribution/7/percentage,region_distribution/7/region,region_distribution/8/percentage,region_distribution/8/region,region_distribution/9/percentage,region_distribution/9/region,region_distribution/10/percentage,region_distribution/10/region,region_distribution/11/percentage,region_distribution/11/region,region_distribution/12/percentage,region_distribution/12/region,region_distribution/13/percentage,region_distribution/13/region,region_distribution/14/percentage,region_distribution/14/region,region_distribution/15/percentage,region_distribution/15/region,region_distribution/16/percentage,region_distribution/16/region,region_distribution/17/percentage,region_distribution/17/region,region_distribution/18/percentage,region_distribution/18/region,region_distribution/19/percentage,region_distribution/19/region,region_distribution/20/percentage,region_distribution/20/region,region_distribution/21/percentage,region_distribution/21/region,region_distribution/22/percentage,region_distribution/22/region,region_distribution/23/percentage,region_distribution/23/region,region_distribution/24/percentage,region_distribution/24/region,region_distribution/25/percentage,region_distribution/25/region,region_distribution/26/percentage,region_distribution/26/region,region_distribution/27/percentage,region_distribution/27/region,region_distribution/28/percentage,region_distribution/28/region,region_distribution/29/percentage,region_distribution/29/region,region_distribution/30/percentage,region_distribution/30/region,region_distribution/31/percentage,region_distribution/31/region,region_distribution/32/percentage,region_distribution/32/region,region_distribution/33/percentage,region_distribution/33/region,region_distribution/34/percentage,region_distribution/34/region,region_distribution/35/percentage,region_distribution/35/region,region_distribution/36/percentage,region_distribution/36/region,region_distribution/37/percentage,region_distribution/37/region,region_distribution/38/percentage,region_distribution/38/region,region_distribution/39/percentage,region_distribution/39/region,region_distribution/40/percentage,region_distribution/40/region,region_distribution/41/percentage,region_distribution/41/region,region_distribution/42/percentage,region_distribution/42/region,region_distribution/43/percentage,region_distribution/43/region,region_distribution/44/percentage,region_distribution/44/region,region_distribution/45/percentage,region_distribution/45/region,region_distribution/46/percentage,region_distribution/46/region,region_distribution/47/percentage,region_distribution/47/region,region_distribution/48/percentage,region_distribution/48/region,region_distribution/49/percentage,region_distribution/49/region,region_distribution/50/percentage,region_distribution/50/region
"Have you got plans for the September Democratic debate?

How about going to Houston to see Kamala take the stage? We’re bringing one supporter and a guest to the debate, and we want you to enter!

Pitch in any amount right now to be automatically entered to win a trip to join Kamala at the next Democratic debate in Houston in September.

No contrib. necessary to win. Void w/ prohibited. Ends. 8/31/19. Approx. prz value $5000. Subj. to Off. Rules.",2019-08-23T11:13:48+0000,Kamala Harris For The People,0,99,0,999,0.01444,Alabama,0.018051,Arkansas,0.137184,Michigan,0.001805,Mississippi,0.115523,North Carolina,0.030686,Tennessee,0.245487,Texas,0.129964,Virginia,0.306859,Washington,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Have you got plans for the September Democratic debate?

How about going to Houston to see Kamala take the stage? We’re bringing one supporter and a guest to the debate, and we want you to enter!

Pitch in any amount right now to be automatically entered to win a trip to join Kamala at the next Democratic debate in Houston in September.

No contrib. necessary to win. Void w/ prohibited. Ends. 8/31/19. Approx. prz value $5000. Subj. to Off. Rules.",2019-08-23T11:13:48+0000,Kamala Harris For The People,0,99,1000,4999,0.011811,Alabama,0.021654,Arkansas,0.107283,Michigan,0.002953,Mississippi,0.143701,North Carolina,0.03937,Tennessee,0.23622,Texas,0.13189,Virginia,0.305118,Washington,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Donate any amount now to be automatically entered in the running to watch the next Democratic debate in person next month. 

No contrib. necessary to win. Void w/ prohibited. Ends. 8/31/19. Approx. prz value $5000. Subj. to Off. Rules.",2019-08-23T11:13:48+0000,Kamala Harris For The People,0,99,0,999,0.008721,Alabama,0.015988,Arkansas,0.127907,Michigan,0.00436,Mississippi,0.140988,North Carolina,0.053779,Tennessee,0.197674,Texas,0.123547,Virginia,0.327035,Washington,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Donate any amount now to be automatically entered in the running to watch the next Democratic debate in person next month. 

No contrib. necessary to win. Void w/ prohibited. Ends. 8/31/19. Approx. prz value $5000. Subj. to Off. Rules.",2019-08-23T11:13:48+0000,Kamala Harris For The People,0,99,1000,4999,0.012974,Alabama,0.012974,Arkansas,0.108782,Michigan,0.001996,Mississippi,0.133733,North Carolina,0.03493,Tennessee,0.243513,Texas,0.149701,Virginia,0.301397,Washington,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"You can enter to win a chance to watch the next presidential debate LIVE from the audience in Houston, Texas! You (and a guest!) will receive flights, hotel, and two tickets to be in the crowd. 

Donate any amount now to be automatically entered in the running to watch the debate in person in September. 

No contrib. necessary to win. Void w/ prohibited. Ends. 8/31/19. Approx. prz value $5000. Subj. to Off. Rules.",2019-08-23T11:13:48+0000,Kamala Harris For The People,0,99,1000,4999,0.011407,Alabama,0.020913,Arkansas,0.096008,Michigan,0.142586,North Carolina,0.043726,Tennessee,0.240494,Texas,0.165399,Virginia,0.279468,Washington,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Already, Joe Biden, Kirsten Gillibrand, Tom Steyer, John Delaney, Kamala Harris, Seth Moulton, Tulsi Gabbard, and now Julian Castro have bought air time in Iowa. Can you help us fully fund our Iowa organizing program so we can compete?",2019-08-22T21:52:50+0000,Andrew Yang,0,99,1000,4999,0.021091,Arizona,0.047325,Washington,0.006173,Oklahoma,0.026749,Oregon,0.041152,Pennsylvania,0.005144,South Carolina,0.015947,Tennessee,0.05144,Texas,0.008745,Utah,0.001543,Vermont,0.022634,Virginia,0.003086,West Virginia,0.016975,North Carolina,0.016975,Wisconsin,0.00463,Alabama,0.002572,Alaska,0.000514,Delaware,0.006173,Kansas,0.002572,Maine,0.013889,Missouri,0.007716,Nevada,0.006173,Rhode Island,0.001543,South Dakota,0.020062,Ohio,0.095679,New York,0.002572,Arkansas,0.005144,Iowa,0.233539,California,0.023663,Colorado,0.010288,Connecticut,0.009774,"Washington, District of Columbia",0.04321,Florida,0.020576,Georgia,0.007716,Hawaii,0.006173,Idaho,0.028807,Illinois,0.009259,Indiana,0.01286,Kentucky,0.007716,New Mexico,0.007716,Louisiana,0.015947,Maryland,0.036008,Massachusetts,0.019547,Michigan,0.019547,Minnesota,0.002572,Mississippi,0.002058,Montana,0.003601,Nebraska,0.005144,New Hampshire,0.019033,New Jersey,0.001029,Wyoming,,
"Already, Joe Biden, Kirsten Gillibrand, Tom Steyer, John Delaney, Kamala Harris, Seth Moulton, Tulsi Gabbard, and now Julian Castro have bought air time in Iowa. Can you help us fully fund our Iowa organizing program so we can compete?",2019-08-22T21:52:50+0000,Andrew Yang,0,99,1000,4999,0.003789,Alaska,0.031072,Virginia,0.004168,Oklahoma,0.020462,Oregon,0.037893,Pennsylvania,0.003789,Rhode Island,0.006821,South Carolina,0.002274,South Dakota,0.01402,Tennessee,0.064418,Texas,0.007958,Utah,0.045472,Washington,0.025388,North Carolina,0.002274,West Virginia,0.008336,Wisconsin,0.004926,Alabama,0.003789,Arkansas,0.013263,Indiana,0.002653,Maine,0.003031,Mississippi,0.004168,Montana,0.002653,Nebraska,0.001516,Vermont,0.025388,Ohio,0.103069,New York,0.02122,Arizona,0.009852,Iowa,0.196286,California,0.018189,Colorado,0.010231,Connecticut,0.004926,Delaware,0.012126,"Washington, District of Columbia",0.040167,Florida,0.030315,Georgia,0.004547,Hawaii,0.005684,Idaho,0.031451,Illinois,0.006442,Kansas,0.005684,New Mexico,0.006063,Kentucky,0.005305,Louisiana,0.01781,Maryland,0.034862,Massachusetts,0.015157,Michigan,0.01781,Minnesota,0.017431,Missouri,0.010989,Nevada,0.004926,New Hampshire,0.029178,New Jersey,0.000758,Wyoming,,
"Kamala Harris, the radical Senator from California with a socialist agenda, just announced an upcoming visit to our own Greensboro, NC. Her priorities are strikingly different from mine:

Kamala Harris supports socialism, gun confiscation, free healthcare for illegal immigrants, abortions for all, and Hollywood values like the Green New Deal. 

Meanwhile, I’m fighting for economic freedom, a strong border wall, tax cuts and spending cuts, the right to life, and for good North Carolina common sense. I will never waver in my fight.

She’s coming here because the path for Democrats to the White House runs right through North Carolina, and right through our district.

That’s why I’m assembling a team of our top conservative supporters, whom I can count on to tell Kamala Harris that we will keep North Carolina ""Trump Country"" in 2020.

Will you join me today in telling Kamala Harris to keep her socialist agenda out of NC?
http://petitions.tedbudd.com/kamalaharris",2019-08-22T20:56:43+0000,Ted Budd for Congress,0,99,1000,4999,1,North Carolina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"With our campaign gaining momentum -- the latest Fox News poll has us in a tie for 5th -- this is a perilous time for the campaign. If we let the other campaigns use their money to drown out our important message, we could fall behind before the important fall debates. Can you rush a contribution so we can build our movement in Iowa even bigger?",2019-08-22T18:32:59+0000,Andrew Yang,0,99,1000,4999,0.008226,Alabama,0.008226,Louisiana,0.038778,Washington,0.004113,West Virginia,0.005875,Wisconsin,0.004113,Alaska,0.003525,Delaware,0.007638,"Washington, District of Columbia",0.027615,Georgia,0.002938,Hawaii,0.002938,Idaho,0.010576,Iowa,0.001763,Maine,0.009988,Utah,0.017039,Michigan,0.005288,Mississippi,0.015276,Missouri,0.009988,Nevada,0.003525,New Hampshire,0.008226,New Mexico,0.007638,Oklahoma,0.002938,Rhode Island,0.000588,South Dakota,0.001763,Vermont,0.03349,Virginia,0.074618,Texas,0.017039,Arizona,0.030552,Massachusetts,0.008813,Arkansas,0.168038,California,0.025264,Colorado,0.008813,Connecticut,0.048179,Florida,0.030552,Illinois,0.019389,Indiana,0.007051,Kansas,0.011751,Kentucky,0.017626,Maryland,0.012926,Minnesota,0.018801,Tennessee,0.005288,Montana,0.008226,Nebraska,0.031727,New Jersey,0.084019,New York,0.03349,North Carolina,0.001175,North Dakota,0.029377,Ohio,0.017626,Oregon,0.037015,Pennsylvania,0.009401,South Carolina,0.001175,Wyoming
"With our campaign gaining momentum -- the latest Fox News poll has us in a tie for 5th -- this is a perilous time for the campaign. If we let the other campaigns use their money to drown out our important message, we could fall behind before the important fall debates. Can you rush a contribution so we can build our movement in Iowa even bigger?",2019-08-22T18:32:58+0000,Andrew Yang,100,499,5000,9999,0.007134,Alabama,0.040012,Pennsylvania,0.010236,Nevada,0.013493,New Hampshire,0.020782,New Jersey,0.005583,New Mexico,0.077388,New York,0.030707,North Carolina,0.004032,North Dakota,0.041718,Ohio,0.00977,Oklahoma,0.018145,Oregon,0.004187,Rhode Island,0.003877,Montana,0.011787,South Carolina,0.002481,South Dakota,0.018766,Tennessee,0.056917,Texas,0.00822,Utah,0.004187,Vermont,0.02683,Virginia,0.03567,Washington,0.005273,West Virginia,0.021712,Wisconsin,0.006514,Nebraska,0.021867,Missouri,0.003722,Alaska,0.003567,Idaho,0.019231,Arizona,0.007909,Arkansas,0.110112,California,0.020937,Colorado,0.011011,Connecticut,0.003412,Delaware,0.006669,"Washington, District of Columbia",0.04451,Florida,0.024969,Georgia,0.004342,Hawaii,0.032413,Illinois,0.003257,Mississippi,0.01737,Indiana,0.030242,Iowa,0.006359,Kansas,0.00977,Kentucky,0.010546,Louisiana,0.005893,Maine,0.019696,Maryland,0.028226,Massachusetts,0.038927,Michigan,0.027916,Minnesota,0.001706,Wyoming
