ad_creative_body,ad_delivery_start_time,funding_entity,spend/lower_bound,spend/upper_bound,impressions/lower_bound,impressions/upper_bound,region_distribution/0/percentage,region_distribution/0/region,region_distribution/1/percentage,region_distribution/1/region,region_distribution/2/percentage,region_distribution/2/region,region_distribution/3/percentage,region_distribution/3/region,region_distribution/4/percentage,region_distribution/4/region,region_distribution/5/percentage,region_distribution/5/region,region_distribution/6/percentage,region_distribution/6/region,region_distribution/7/percentage,region_distribution/7/region,region_distribution/8/percentage,region_distribution/8/region,region_distribution/9/percentage,region_distribution/9/region,region_distribution/10/percentage,region_distribution/10/region,region_distribution/11/percentage,region_distribution/11/region,region_distribution/12/percentage,region_distribution/12/region,region_distribution/13/percentage,region_distribution/13/region,region_distribution/14/percentage,region_distribution/14/region,region_distribution/15/percentage,region_distribution/15/region,region_distribution/16/percentage,region_distribution/16/region,region_distribution/17/percentage,region_distribution/17/region,region_distribution/18/percentage,region_distribution/18/region,region_distribution/19/percentage,region_distribution/19/region,region_distribution/20/percentage,region_distribution/20/region,region_distribution/21/percentage,region_distribution/21/region,region_distribution/22/percentage,region_distribution/22/region,region_distribution/23/percentage,region_distribution/23/region,region_distribution/24/percentage,region_distribution/24/region,region_distribution/25/percentage,region_distribution/25/region,region_distribution/26/percentage,region_distribution/26/region,region_distribution/27/percentage,region_distribution/27/region,region_distribution/28/percentage,region_distribution/28/region,region_distribution/29/percentage,region_distribution/29/region,region_distribution/30/percentage,region_distribution/30/region,region_distribution/31/percentage,region_distribution/31/region,region_distribution/32/percentage,region_distribution/32/region,region_distribution/33/percentage,region_distribution/33/region,region_distribution/34/percentage,region_distribution/34/region,region_distribution/35/percentage,region_distribution/35/region,region_distribution/36/percentage,region_distribution/36/region,region_distribution/37/percentage,region_distribution/37/region,region_distribution/38/percentage,region_distribution/38/region,region_distribution/39/percentage,region_distribution/39/region,region_distribution/40/percentage,region_distribution/40/region,region_distribution/41/percentage,region_distribution/41/region,region_distribution/42/percentage,region_distribution/42/region,region_distribution/43/percentage,region_distribution/43/region,region_distribution/44/percentage,region_distribution/44/region,region_distribution/45/percentage,region_distribution/45/region,region_distribution/46/percentage,region_distribution/46/region,region_distribution/47/percentage,region_distribution/47/region,region_distribution/48/percentage,region_distribution/48/region,region_distribution/49/percentage,region_distribution/49/region,region_distribution/50/percentage,region_distribution/50/region
"What happens to the Transportation industry, Truckers who for some have done only that their whole lives?   I have 6 years of trucking experience, the parking and fueling is already a nightmare because of the ELD's, so we want to add emission free trucks? Charging electric would be near impossible! 
If the Green New Deal passes...

""overhauling transportation systems in 
the United States to remove pollution and 
 greenhouse gas emissions from the transportation sector as much as is technologically feasible""",2019-08-20T02:05:47+0000,Steve Mazur Candidate For Congress ,0,99,0,999,1,Texas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"I went to the school of hard knocks, and have seen the real world, not the fantasy that...",2019-08-19T23:40:29+0000,Steve Mazur Candidate For Congress ,0,99,0,999,1,Texas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Trump's statement on the success of the NY times.
.
.
.
.
.
.
.
#nytimes #ny #newyork #nyc #endorsement #election2020 #election #democraticparty #democrat #republican #trump #truth #facts #factcheck #factchecking #fact #republicanparty",2019-08-19T21:41:37+0000,Independent University Students,0,99,1000,4999,1,California,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"After a recent court ruling about independent contractors, Uber may owe drivers compensation for expenses such as gas, insurance, as well as overtime and benefits.
 
https://ridesharejunkies.com/uber-driver-compensation/",2019-08-19T21:00:34+0000,Block INC,100,499,10000,49999,1,California,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"COMING SOON! Mental health professionals FINALLY go on camera, for the record, and discuss Trump's psychological fitness or lack thereof. #UNFIT is now in post production. It is independent. Truthful. Science above politics. Both parties chime in. This film WILL impact the public narrative! Click to read more, participate, pre-order, watch previews.",2019-08-19T20:31:35+0000,#Unfit,0,99,1000,4999,0.012994,Alabama,0.059618,Pennsylvania,0.003312,Nevada,0.003057,New Hampshire,0.036943,New Jersey,0.004841,New Mexico,0.061656,New York,0.036943,North Carolina,0.001529,North Dakota,0.050701,Ohio,0.006624,Oklahoma,0.00535,Oregon,0.002803,Rhode Island,0.002038,Montana,0.011975,South Carolina,0.003312,South Dakota,0.022675,Tennessee,0.076943,Texas,0.003567,Utah,0.003567,Vermont,0.028025,Virginia,0.010955,Washington,0.006115,West Virginia,0.017834,Wisconsin,0.005605,Nebraska,0.026497,Missouri,0.001783,Alaska,0.001783,Idaho,0.012739,Arizona,0.007643,Arkansas,0.067006,California,0.004331,Colorado,0.009172,Connecticut,0.003567,Delaware,0.008408,"Washington, District of Columbia",0.083312,Florida,0.047134,Georgia,0.004076,Hawaii,0.033121,Illinois,0.014013,Mississippi,0.019108,Indiana,0.008662,Iowa,0.007643,Kansas,0.020382,Kentucky,0.033376,Louisiana,0.006624,Maine,0.035159,Maryland,0.014013,Massachusetts,0.039745,Michigan,0.010701,Minnesota,0.001019,Wyoming
Liz De La Torre will be a bold advocate for a government our community can trust.,2019-08-19T18:22:02+0000,"This is an Independent Expenditure prepared and paid for by the AFSCME Council 5 PEOPLE Fund, 300 Hardman Ave S, South St Paul, MN 55075. It is not coordinated with or approved by any candidate nor is any candidate responsible for it.",0,99,0,999,1,Minnesota,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Liz De La Torre’s plan includes pre-kindergarten for every child in Saint Paul.,2019-08-19T18:22:02+0000,"This is an Independent Expenditure prepared and paid for by the AFSCME Council 5 PEOPLE Fund, 300 Hardman Ave S, South St Paul, MN 55075. It is not coordinated with or approved by any candidate nor is any candidate responsible for it.",0,99,0,999,1,Minnesota,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Liz De La Torre is a daughter of immigrants, a union member, & proud St Paul Schools grad.",2019-08-19T18:22:02+0000,"This is an Independent Expenditure prepared and paid for by the AFSCME Council 5 PEOPLE Fund, 300 Hardman Ave S, South St Paul, MN 55075. It is not coordinated with or approved by any candidate nor is any candidate responsible for it.",0,99,0,999,1,Minnesota,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Liz De La Torre fights for support and justice for sexual assault survivors.,2019-08-19T18:22:02+0000,"This is an Independent Expenditure prepared and paid for by the AFSCME Council 5 PEOPLE Fund, 300 Hardman Ave S, South St Paul, MN 55075. It is not coordinated with or approved by any candidate nor is any candidate responsible for it.",0,99,0,999,1,Minnesota,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Liz De La Torre: Police profiling breaks community trust. We need accountability now.,2019-08-19T18:22:01+0000,"This is an Independent Expenditure prepared and paid for by the AFSCME Council 5 PEOPLE Fund, 300 Hardman Ave S, South St Paul, MN 55075. It is not coordinated with or approved by any candidate nor is any candidate responsible for it.",0,99,0,999,1,Minnesota,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
