ad_creative_body,ad_delivery_start_time,funding_entity,spend/lower_bound,spend/upper_bound,impressions/lower_bound,impressions/upper_bound,region_distribution/0/percentage,region_distribution/0/region,region_distribution/1/percentage,region_distribution/1/region,region_distribution/2/percentage,region_distribution/2/region,region_distribution/3/percentage,region_distribution/3/region,region_distribution/4/percentage,region_distribution/4/region,region_distribution/5/percentage,region_distribution/5/region,region_distribution/6/percentage,region_distribution/6/region,region_distribution/7/percentage,region_distribution/7/region,region_distribution/8/percentage,region_distribution/8/region,region_distribution/9/percentage,region_distribution/9/region,region_distribution/10/percentage,region_distribution/10/region,region_distribution/11/percentage,region_distribution/11/region,region_distribution/12/percentage,region_distribution/12/region,region_distribution/13/percentage,region_distribution/13/region,region_distribution/14/percentage,region_distribution/14/region,region_distribution/15/percentage,region_distribution/15/region,region_distribution/16/percentage,region_distribution/16/region,region_distribution/17/percentage,region_distribution/17/region,region_distribution/18/percentage,region_distribution/18/region,region_distribution/19/percentage,region_distribution/19/region,region_distribution/20/percentage,region_distribution/20/region,region_distribution/21/percentage,region_distribution/21/region,region_distribution/22/percentage,region_distribution/22/region,region_distribution/23/percentage,region_distribution/23/region,region_distribution/24/percentage,region_distribution/24/region,region_distribution/25/percentage,region_distribution/25/region,region_distribution/26/percentage,region_distribution/26/region,region_distribution/27/percentage,region_distribution/27/region,region_distribution/28/percentage,region_distribution/28/region,region_distribution/29/percentage,region_distribution/29/region,region_distribution/30/percentage,region_distribution/30/region,region_distribution/31/percentage,region_distribution/31/region,region_distribution/32/percentage,region_distribution/32/region,region_distribution/33/percentage,region_distribution/33/region,region_distribution/34/percentage,region_distribution/34/region,region_distribution/35/percentage,region_distribution/35/region,region_distribution/36/percentage,region_distribution/36/region,region_distribution/37/percentage,region_distribution/37/region,region_distribution/38/percentage,region_distribution/38/region,region_distribution/39/percentage,region_distribution/39/region,region_distribution/40/percentage,region_distribution/40/region,region_distribution/41/percentage,region_distribution/41/region,region_distribution/42/percentage,region_distribution/42/region,region_distribution/43/percentage,region_distribution/43/region,region_distribution/44/percentage,region_distribution/44/region,region_distribution/45/percentage,region_distribution/45/region,region_distribution/46/percentage,region_distribution/46/region,region_distribution/47/percentage,region_distribution/47/region,region_distribution/48/percentage,region_distribution/48/region,region_distribution/49/percentage,region_distribution/49/region,region_distribution/50/percentage,region_distribution/50/region,region_distribution/51/percentage,region_distribution/51/region,region_distribution/52/percentage,region_distribution/52/region,region_distribution/53/percentage,region_distribution/53/region,region_distribution/54/percentage,region_distribution/54/region,region_distribution/55/percentage,region_distribution/55/region,region_distribution/56/percentage,region_distribution/56/region,region_distribution/57/percentage,region_distribution/57/region,region_distribution/58/percentage,region_distribution/58/region,region_distribution/59/percentage,region_distribution/59/region,region_distribution/60/percentage,region_distribution/60/region,region_distribution/61/percentage,region_distribution/61/region,region_distribution/62/percentage,region_distribution/62/region,region_distribution/63/percentage,region_distribution/63/region
"“For 40 years, justice had gone undone in the brutal murder of four young girls in the Sixteenth Street Baptist Church. [...] Doug Jones said no more. Justice had to be done. Those young girls deserved it. Their families deserved it.” —former vice president Joe Biden

Watch Sen. Jones discuss his new book, Bending Toward Justice--the story of the decades-long fight to bring justice to the victims of the 16th Street Baptist Church bombing.

Find out more about the book here: http://bit.ly/bendingtowardsjustice",2019-03-08T16:45:16+0000,St. Martin's Press,500,999,50000,99999,0.065631,Alabama,0.021507,Pennsylvania,0.003334,Nevada,0.000778,New Hampshire,0.010198,New Jersey,0.004029,New Mexico,0.022951,New York,0.063992,North Carolina,0.001473,North Dakota,0.03401,Ohio,0.026119,Oklahoma,0.004418,Oregon,0.001084,Rhode Island,0.002306,Montana,0.035344,South Carolina,0.002251,South Dakota,0.052766,Tennessee,0.093473,Texas,0.001612,Utah,0.000556,Vermont,0.035289,Virginia,0.00653,Washington,0.011726,West Virginia,0.006363,Wisconsin,0.003473,Nebraska,0.030676,Missouri,0.001056,Alaska,0.001612,Idaho,0.009281,Arizona,0.026869,Arkansas,0.028342,California,0.005113,Colorado,0.004196,Connecticut,0.002167,Delaware,0.003807,"Washington, District of Columbia",0.044708,Florida,0.062019,Georgia,0.001028,Hawaii,0.031732,Illinois,0.048932,Mississippi,0.023146,Indiana,0.006196,Iowa,0.011642,Kansas,0.052683,Kentucky,0.037817,Louisiana,0.002501,Maine,0.014921,Maryland,0.004251,Massachusetts,0.027453,Michigan,0.005529,Minnesota,0.001111,Wyoming,,,,,,,,,,,,,,,,,,,,,,,,,,
"“For 40 years, justice had gone undone in the brutal murder of four young girls in the Sixteenth Street Baptist Church. [...] Doug Jones said no more. Justice had to be done. Those young girls deserved it. Their families deserved it.” —former vice president Joe Biden

Watch Sen. Jones discuss his new book, Bending Toward Justice--the story of the decades-long fight to bring justice to the victims of the 16th Street Baptist Church bombing.

Find out more about the book here: http://bit.ly/bendingtowardsjustice",2019-03-08T16:45:06+0000,St. Martin's Press,500,999,50000,99999,0.037355,Alabama,0.038416,Pennsylvania,0.006136,Nevada,0.001706,New Hampshire,0.026332,New Jersey,0.004326,New Mexico,0.072838,New York,0.044344,North Carolina,0.001331,North Dakota,0.04243,Ohio,0.008216,Oklahoma,0.008361,Oregon,0.003702,Rhode Island,0.001997,Montana,0.022609,South Carolina,0.00181,South Dakota,0.024377,Tennessee,0.069157,Texas,0.001768,Utah,0.001206,Vermont,0.031448,Virginia,0.014435,Washington,0.00391,West Virginia,0.013665,Wisconsin,0.003411,Nebraska,0.024335,Missouri,0.001664,Alaska,0.001269,Idaho,0.011772,Arizona,0.011918,Arkansas,0.070696,California,0.007966,Colorado,0.012251,Connecticut,0.004097,Delaware,0.008091,"Washington, District of Columbia",0.056657,Florida,0.047401,Georgia,0.002912,Hawaii,0.048067,Illinois,0.026124,Mississippi,0.0177,Indiana,0.007134,Iowa,0.006635,Kansas,0.012167,Kentucky,0.029909,Louisiana,0.002974,Maine,0.02446,Maryland,0.018345,Massachusetts,0.047984,Michigan,0.011689,Minnesota,0.000499,Wyoming,,,,,,,,,,,,,,,,,,,,,,,,,,
"In 1964, national attention turned to Mississippi when three Civil Rights workers were murdered by the Ku Klux Klan. Learn how this watershed moment eventually led to the passage of the 1965 Voting Rights Act.",2019-03-06T18:36:06+0000,Tidal,500,999,50000,99999,0.034945,Alberta,0.025636,Ohio,0.021648,Michigan,0.006254,Minnesota,0.030453,Mississippi,0.016443,Missouri,0.001243,Montana,0.003431,Nebraska,0.006085,Nevada,0.000596,New Hampshire,0.016443,New Jersey,0.005192,New Mexico,0.036072,New York,0.033547,North Carolina,0.00158,North Dakota,0.011174,Oklahoma,0.01107,Maryland,0.00404,Oregon,0.019188,Pennsylvania,0.002072,Rhode Island,0.020444,South Carolina,0.001567,South Dakota,0.0217,Tennessee,0.087797,Texas,0.002279,Utah,0.000375,Vermont,0.021234,Virginia,0.008015,Washington,0.004441,West Virginia,0.009115,Wisconsin,0.00918,Massachusetts,0.001321,Maine,0.024846,British Columbia,0.014812,Arizona,0.018139,Manitoba,0.008468,New Brunswick,0.007678,Newfoundland and Labrador,0.011342,Nova Scotia,0.075717,Ontario,0.002421,Prince Edward Island,0.046779,Quebec,0.017622,Saskatchewan,0.00066,Yukon,0.001178,Northwest Territories,0.001217,Nunavut,0.03435,Alabama,0.001942,Alaska,0.011601,Arkansas,0.02583,Louisiana,0.053525,California,0.006474,Colorado,0.006733,Connecticut,0.002097,Delaware,0.003431,District of Columbia,0.040875,Florida,0.037133,Georgia,0.002823,Hawaii,0.00167,Idaho,0.031074,Illinois,0.01265,Indiana,0.0058,Iowa,0.005257,Kansas,0.010475,Kentucky,0.000803,Wyoming
"PLEASE NOTE: Although this event is FREE and open to the public, we anticipate that demand will exceed available seating for this event. We highly recommend that you PURCHASE a ticket, which includes a signed copy of the book, in order to reserve your seat.

https://www.freshtix.com/events/sen-doug-jones-bending-toward-justice-carter-center

The Jimmy Carter Presidential Library and A Cappella Books welcome United States Senator Doug Jones, who will discuss and sign copies of his new book, BENDING TOWARD JUSTICE: THE BIRMINGHAM CHURCH BOMBING THAT CHANGED THE COURSE OF CIVIL RIGHTS. BENDING TOWARDS JUSTICE the story of the decades-long fight to bring justice to the victims of the 16th Street Baptist Church bombing, culminating in Sen. Doug Jones' prosecution of the last living bombers. 

 There will be two components to the evening.

1. Meet & Greet with Sen. Jones at JavaVino from 5:30-6:30 PM - If you join The Choir, at any level, between now and March 22, you will be our guest at this reception. At the meet & greet, you will have the opportunity to meet Senator Jones, have him sign your book, and have your picture taken with him. BENDING TOWARD JUSTICE will be the first purchase out of your new Choir account, and we will have your book at the reception.
All existing Choir members are eligible to sign up for the meet & greet with Senator Jones. However, you must call A Cappella Books at 404.681.5128 to RSVP.

This reception is limited to the first 50 people who join the Choir or to existing Choir members who call to RSVP. New members can sign up on our website here:
https://www.acappellabooks.com/join-choir.php

2. Carter Presidential Library Event - The event is free of charge, but seating is extremely limited. You may guarantee a seat (or two) with the purchase of one copy of BENDING TOWARD JUSTICE. This allows us to gauge attendance beforehand; if we sell out before the event, we will say so on our website and social media. Otherwise, you are welcome to come that evening and take your chance on getting a seat in either the auditorium or in the overflow rooms. Again, the only way to guarantee a seat at the Carter Library is to buy a copy of the book. You can do this by visiting the event web page here or avoid the fees by coming to the store to reserve your seat.
Books will be handed out at the event, and we will have additional copies for sale both before and after Senator Jones speaks.

If you are unable to attend the event, you may pre-order a signed copy of the book here:

https://www.acappellabooks.com/pages/books/204291/doug-jones/bending-toward-justice

ABOUT THE BOOK:
On September 15, 1963, the 16th Street Baptist Church in Birmingham, Alabama was bombed. The blast killed four young girls and injured twenty-two others. The FBI suspected four particularly radical Ku Klux Klan members. Yet due to reluctant witnesses, a lack of physical evidence, and pervasive racial prejudice the case was closed without any indictments. But as Martin Luther King, Jr. famously expressed it, ""the arc of the moral universe is long, but it bends toward justice."" Years later, Alabama Attorney General William Baxley reopened the case, ultimately convicting one of the bombers in 1977. Another suspect passed away in 1994, and US Attorney Doug Jones tried and convicted the final two in 2001 and 2002, representing the correction of an outrageous miscarriage of justice nearly forty years in the making. Jones himself went on to win election as Alabama’s first Democratic Senator since 1992 in a dramatic race against Republican challenger Roy Moore.

BENDING TOWARD JUSTICE is a dramatic and compulsively readable account of a key moment in our long national struggle for equality, related by an author who played a major role in these events. A distinguished work of legal and personal history, the book is destined to take its place as a canonical civil rights history.

ABOUT THE AUTHOR:
Doug Jones is a US Senator who has made finding common ground a hallmark of his tenure. In 2017, he became the first Democrat to win a Senate election in Alabama since 1992. As U.S. Attorney for the Northern District of Alabama from 1997 to 2001, Jones prosecuted two former Ku Klux Klan members for their roles in the racially-motivated 1963 16th Street Baptist Church Bombing that took the lives of four girls. He also secured an indictment against Centennial Olympic Park bomber Eric Rudolph.",2019-02-26T23:27:38+0000,A Cappella Books,0,99,1000,4999,1,Georgia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"PLEASE NOTE: Although this event is FREE and open to the public, we anticipate that demand will exceed available seating for this event. We highly recommend that you PURCHASE a ticket, which includes a signed copy of the book, in order to reserve your seat.

https://www.freshtix.com/events/sen-doug-jones-bending-toward-justice-carter-center

The Jimmy Carter Presidential Library and A Cappella Books welcome United States Senator Doug Jones, who will discuss and sign copies of his new book, BENDING TOWARD JUSTICE: THE BIRMINGHAM CHURCH BOMBING THAT CHANGED THE COURSE OF CIVIL RIGHTS. BENDING TOWARDS JUSTICE the story of the decades-long fight to bring justice to the victims of the 16th Street Baptist Church bombing, culminating in Sen. Doug Jones' prosecution of the last living bombers. 

 There will be two components to the evening.

1. Meet & Greet with Sen. Jones at JavaVino from 5:30-6:30 PM - If you join The Choir, at any level, between now and March 22, you will be our guest at this reception. At the meet & greet, you will have the opportunity to meet Senator Jones, have him sign your book, and have your picture taken with him. BENDING TOWARD JUSTICE will be the first purchase out of your new Choir account, and we will have your book at the reception.
All existing Choir members are eligible to sign up for the meet & greet with Senator Jones. However, you must call A Cappella Books at 404.681.5128 to RSVP.

This reception is limited to the first 50 people who join the Choir or to existing Choir members who call to RSVP. New members can sign up on our website here:
https://www.acappellabooks.com/join-choir.php

2. Carter Presidential Library Event - The event is free of charge, but seating is extremely limited. You may guarantee a seat (or two) with the purchase of one copy of BENDING TOWARD JUSTICE. This allows us to gauge attendance beforehand; if we sell out before the event, we will say so on our website and social media. Otherwise, you are welcome to come that evening and take your chance on getting a seat in either the auditorium or in the overflow rooms. Again, the only way to guarantee a seat at the Carter Library is to buy a copy of the book. You can do this by visiting the event web page here or avoid the fees by coming to the store to reserve your seat.
Books will be handed out at the event, and we will have additional copies for sale both before and after Senator Jones speaks.

If you are unable to attend the event, you may pre-order a signed copy of the book here:

https://www.acappellabooks.com/pages/books/204291/doug-jones/bending-toward-justice

ABOUT THE BOOK:
On September 15, 1963, the 16th Street Baptist Church in Birmingham, Alabama was bombed. The blast killed four young girls and injured twenty-two others. The FBI suspected four particularly radical Ku Klux Klan members. Yet due to reluctant witnesses, a lack of physical evidence, and pervasive racial prejudice the case was closed without any indictments. But as Martin Luther King, Jr. famously expressed it, ""the arc of the moral universe is long, but it bends toward justice."" Years later, Alabama Attorney General William Baxley reopened the case, ultimately convicting one of the bombers in 1977. Another suspect passed away in 1994, and US Attorney Doug Jones tried and convicted the final two in 2001 and 2002, representing the correction of an outrageous miscarriage of justice nearly forty years in the making. Jones himself went on to win election as Alabama’s first Democratic Senator since 1992 in a dramatic race against Republican challenger Roy Moore.

BENDING TOWARD JUSTICE is a dramatic and compulsively readable account of a key moment in our long national struggle for equality, related by an author who played a major role in these events. A distinguished work of legal and personal history, the book is destined to take its place as a canonical civil rights history.

ABOUT THE AUTHOR:
Doug Jones is a US Senator who has made finding common ground a hallmark of his tenure. In 2017, he became the first Democrat to win a Senate election in Alabama since 1992. As U.S. Attorney for the Northern District of Alabama from 1997 to 2001, Jones prosecuted two former Ku Klux Klan members for their roles in the racially-motivated 1963 16th Street Baptist Church Bombing that took the lives of four girls. He also secured an indictment against Centennial Olympic Park bomber Eric Rudolph.",2019-02-24T15:43:12+0000,A Cappella Books,0,99,0,999,1,Georgia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"In 1964, national attention turned to Mississippi when three Civil Rights workers were murdered by the Ku Klux Klan. Learn how this watershed moment eventually led to the passage of the 1965 Voting Rights Act.",2019-02-21T15:20:45+0000,Tidal,500,999,100000,199999,0.005757,Alberta,0.034765,Ohio,0.035647,Michigan,0.006189,Minnesota,0.047604,Mississippi,0.022252,Missouri,0.000595,Montana,0.002927,Nebraska,0.006707,Nevada,0.000374,New Hampshire,0.017905,New Jersey,0.002188,New Mexico,0.041443,New York,0.056,North Carolina,0.00096,North Dakota,0.010152,Oklahoma,0.01709,Maryland,0.002687,Oregon,0.024891,Pennsylvania,0.001708,Rhode Island,0.040368,South Carolina,0.0007,South Dakota,0.032798,Tennessee,0.088519,Texas,0.001056,Utah,0.000163,Vermont,0.031253,Virginia,0.006304,Washington,0.003685,West Virginia,0.012685,Wisconsin,0.007571,Massachusetts,0.000662,Maine,0.003963,British Columbia,0.008175,Arizona,0.002965,Manitoba,0.001535,New Brunswick,0.001046,Newfoundland and Labrador,0.002332,Nova Scotia,0.018635,Ontario,0.000307,Prince Edward Island,0.010229,Quebec,0.002677,Saskatchewan,5.8E-5,Yukon,0.000173,Northwest Territories,0.000441,Nunavut,0.055462,Alabama,0.001209,Alaska,0.016888,Arkansas,0.041453,Louisiana,0.044418,California,0.005134,Colorado,0.008127,Connecticut,0.003128,Delaware,0.005767,District of Columbia,0.058226,Florida,0.061316,Georgia,0.001132,Hawaii,0.000729,Idaho,0.04317,Illinois,0.014911,Indiana,0.004865,Iowa,0.006093,Kansas,0.011515,Kentucky,0.000317,Wyoming
"The Democrat-Reporter, an Alabama newspaper, recently published an editorial calling for the Ku Klux Klan to return and lynch Congress members. 

We cannot allow media to stoke the already-rising violence against Black people and so many others. Sign the petition to demand the Alabama Press Association revoke The Democrat-Reporter's membership: https://act.colorofchange.org/sign/Alabama_Press_Assoc?source=fb_stage1_binghamton",2019-02-19T23:12:50+0000,Color Of Change,0,99,1000,4999,0.010508,Alabama,0.055166,Pennsylvania,0.002627,Nevada,0.004378,New Hampshire,0.028459,New Jersey,0.010508,New Mexico,0.07268,New York,0.036778,North Carolina,0.003065,North Dakota,0.038529,Ohio,0.005692,Oklahoma,0.03021,Oregon,0.004816,Rhode Island,0.007005,Montana,0.007443,South Carolina,0.001751,South Dakota,0.023205,Tennessee,0.040718,Texas,0.005692,Utah,0.005254,Vermont,0.024518,Virginia,0.039842,Washington,0.004816,West Virginia,0.016637,Wisconsin,0.004378,Nebraska,0.021016,Missouri,0.002627,Alaska,0.004816,Idaho,0.023205,Arizona,0.004816,Arkansas,0.100701,California,0.025394,Colorado,0.011821,Connecticut,0.004378,Delaware,0.0162,District of Columbia,0.042469,Florida,0.043345,Georgia,0.005692,Hawaii,0.031086,Illinois,0.002189,Mississippi,0.019264,Indiana,0.014011,Iowa,0.007005,Kansas,0.008757,Kentucky,0.013135,Louisiana,0.004378,Maine,0.024081,Maryland,0.019702,Massachusetts,0.046848,Michigan,0.017075,Minnesota,0.001313,Wyoming,,,,,,,,,,,,,,,,,,,,,,,,,,
"The Democrat-Reporter, an Alabama newspaper, recently published an editorial calling for the Ku Klux Klan to return and lynch Congress members. 

We cannot allow media to stoke the already-rising violence against Black people and so many others. Sign the petition to demand the Alabama Press Association revoke The Democrat-Reporter's membership: https://act.colorofchange.org/sign/Alabama_Press_Assoc?source=fb_stage1_bloodmoney",2019-02-19T23:12:49+0000,Color Of Change,0,99,1000,4999,0.007881,Alabama,0.05035,Pennsylvania,0.003065,Nevada,0.002627,New Hampshire,0.023643,New Jersey,0.018827,New Mexico,0.062609,New York,0.028021,North Carolina,0.001751,North Dakota,0.03021,Ohio,0.007881,Oklahoma,0.038967,Oregon,0.003065,Rhode Island,0.007881,Montana,0.006567,South Carolina,0.003065,South Dakota,0.015762,Tennessee,0.042032,Texas,0.007443,Utah,0.005692,Vermont,0.017513,Virginia,0.039405,Washington,0.004816,West Virginia,0.023643,Wisconsin,0.006567,Nebraska,0.024081,Missouri,0.000876,Alaska,0.005254,Idaho,0.031086,Arizona,0.00613,Arkansas,0.129159,California,0.027583,Colorado,0.014011,Connecticut,0.001751,Delaware,0.01007,District of Columbia,0.052539,Florida,0.015324,Georgia,0.008757,Hawaii,0.031086,Illinois,0.003065,Mississippi,0.018389,Indiana,0.010508,Iowa,0.009194,Kansas,0.008319,Kentucky,0.005692,Louisiana,0.007881,Maine,0.015762,Maryland,0.023205,Massachusetts,0.056918,Michigan,0.021016,Minnesota,0.003065,Wyoming,,,,,,,,,,,,,,,,,,,,,,,,,,
"AARP members & non-members are invited to a free screening of BLACKkKLANSMAN, nominated for six Academy Awards and four AARP Movies for Grownups Awards! 

From visionary filmmaker Spike Lee comes the incredible true story of an American hero. It's the early 1970s, and Ron Stallworth is the first African-American detective to serve in the Colorado Springs Police Department. Determined to make a name for himself, Stallworth bravely sets out on a dangerous mission: infiltrate and expose the Ku Klux Klan.

Rated R for language throughout, including racial epithets, and for disturbing/violent material and some sexual references.

Tickets are FREE but registration is REQUIRED. Click ""Get Tickets"" to register to see BLACKkKLANSMAN now!",2019-02-16T03:07:56+0000,AARP Virginia,0,99,1000,4999,0.020044,District of Columbia,0.013508,Maryland,0.966449,Virginia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ibraheem Samirah is the Democrat candidate in the Feb. 19 special election for the 86th HOD. You may know that Ibraheem tweeted that giving money to Israel is worse than giving money to the Ku Klux Klan. But it's not just what he has tweeted. His actions also matter.,2019-02-14T16:06:49+0000,Suburban Virginia Republican Coalition,100,499,10000,49999,0.000272,Maryland,0.999728,Virginia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
