ad_creative_body,ad_delivery_start_time,funding_entity,spend/lower_bound,spend/upper_bound,impressions/lower_bound,impressions/upper_bound,region_distribution/0/percentage,region_distribution/0/region,region_distribution/1/percentage,region_distribution/1/region,region_distribution/2/percentage,region_distribution/2/region,region_distribution/3/percentage,region_distribution/3/region,region_distribution/4/percentage,region_distribution/4/region,region_distribution/5/percentage,region_distribution/5/region,region_distribution/6/percentage,region_distribution/6/region,region_distribution/7/percentage,region_distribution/7/region,region_distribution/8/percentage,region_distribution/8/region,region_distribution/9/percentage,region_distribution/9/region,region_distribution/10/percentage,region_distribution/10/region,region_distribution/11/percentage,region_distribution/11/region,region_distribution/12/percentage,region_distribution/12/region,region_distribution/13/percentage,region_distribution/13/region,region_distribution/14/percentage,region_distribution/14/region,region_distribution/15/percentage,region_distribution/15/region,region_distribution/16/percentage,region_distribution/16/region,region_distribution/17/percentage,region_distribution/17/region,region_distribution/18/percentage,region_distribution/18/region,region_distribution/19/percentage,region_distribution/19/region,region_distribution/20/percentage,region_distribution/20/region,region_distribution/21/percentage,region_distribution/21/region,region_distribution/22/percentage,region_distribution/22/region,region_distribution/23/percentage,region_distribution/23/region,region_distribution/24/percentage,region_distribution/24/region,region_distribution/25/percentage,region_distribution/25/region,region_distribution/26/percentage,region_distribution/26/region,region_distribution/27/percentage,region_distribution/27/region,region_distribution/28/percentage,region_distribution/28/region,region_distribution/29/percentage,region_distribution/29/region,region_distribution/30/percentage,region_distribution/30/region,region_distribution/31/percentage,region_distribution/31/region,region_distribution/32/percentage,region_distribution/32/region,region_distribution/33/percentage,region_distribution/33/region,region_distribution/34/percentage,region_distribution/34/region,region_distribution/35/percentage,region_distribution/35/region,region_distribution/36/percentage,region_distribution/36/region,region_distribution/37/percentage,region_distribution/37/region,region_distribution/38/percentage,region_distribution/38/region,region_distribution/39/percentage,region_distribution/39/region,region_distribution/40/percentage,region_distribution/40/region,region_distribution/41/percentage,region_distribution/41/region,region_distribution/42/percentage,region_distribution/42/region,region_distribution/43/percentage,region_distribution/43/region,region_distribution/44/percentage,region_distribution/44/region,region_distribution/45/percentage,region_distribution/45/region,region_distribution/46/percentage,region_distribution/46/region,region_distribution/47/percentage,region_distribution/47/region,region_distribution/48/percentage,region_distribution/48/region,region_distribution/49/percentage,region_distribution/49/region,region_distribution/50/percentage,region_distribution/50/region,region_distribution/51/percentage,region_distribution/51/region
🇺🇸Grab Yours Here => smarturl.it/2309iy ⬅,2019-08-23T08:43:46+0000,Libertee Shop,0,99,0,999,0.034596,Alabama,0.001647,Rhode Island,0.001647,New Jersey,0.052718,New York,0.029654,North Carolina,0.003295,North Dakota,0.06425,Ohio,0.039539,Oklahoma,0.001647,Oregon,0.057661,Pennsylvania,0.037891,South Carolina,0.014827,Nebraska,0.044481,Tennessee,0.06425,Texas,0.003295,Utah,0.004942,Vermont,0.023064,Virginia,0.004942,Washington,0.023064,West Virginia,0.019769,Wisconsin,0.008237,New Hampshire,0.003295,Montana,0.021417,Arkansas,0.039539,Indiana,0.004942,California,0.004942,Colorado,0.004942,Connecticut,0.003295,Delaware,0.044481,Florida,0.056013,Georgia,0.001647,Idaho,0.024712,Illinois,0.028007,Iowa,0.044481,Missouri,0.009885,Kansas,0.036244,Kentucky,0.018122,Louisiana,0.01318,Maine,0.011532,Maryland,0.01318,Massachusetts,0.052718,Michigan,0.016474,Minnesota,0.00659,Mississippi,0.004942,Wyoming,,,,,,,,,,,,,,,,
🇺🇸Grab Yours Here => smarturl.it/2309iy ⬅,2019-08-23T08:43:46+0000,Libertee Shop,0,99,0,999,0.014493,Alabama,0.028986,Missouri,0.014493,Wisconsin,0.028986,West Virginia,0.028986,Virginia,0.086957,Texas,0.028986,Tennessee,0.057971,South Carolina,0.014493,Rhode Island,0.043478,Pennsylvania,0.028986,North Dakota,0.028986,North Carolina,0.057971,New York,0.028986,Mississippi,0.014493,Arkansas,0.014493,Minnesota,0.057971,Michigan,0.057971,Massachusetts,0.057971,Maryland,0.028986,Louisiana,0.014493,Indiana,0.014493,Illinois,0.014493,Idaho,0.043478,Georgia,0.115942,Florida,0.028986,Connecticut,0.028986,California,0.014493,Wyoming,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
🇺🇸Grab Yours Here => smarturl.it/2309iy ⬅,2019-08-23T08:43:46+0000,Libertee Shop,0,99,0,999,0.011905,Alabama,0.029762,Oklahoma,0.011905,New Jersey,0.011905,New Mexico,0.059524,New York,0.065476,North Carolina,0.011905,North Dakota,0.047619,Ohio,0.059524,Pennsylvania,0.011905,Nebraska,0.017857,South Carolina,0.005952,South Dakota,0.029762,Tennessee,0.142857,Texas,0.029762,Virginia,0.005952,West Virginia,0.011905,Wisconsin,0.005952,Nevada,0.041667,Missouri,0.005952,Arizona,0.02381,Indiana,0.053571,California,0.005952,Colorado,0.083333,Florida,0.029762,Georgia,0.005952,Idaho,0.035714,Illinois,0.017857,Iowa,0.02381,Mississippi,0.005952,Kansas,0.017857,Kentucky,0.011905,Louisiana,0.011905,Maryland,0.017857,Massachusetts,0.02381,Michigan,0.005952,Minnesota,0.005952,Wyoming,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
🇺🇸Grab Yours Here => smarturl.it/2309iy ⬅,2019-08-23T08:43:46+0000,Libertee Shop,0,99,0,999,0.026247,Alabama,0.047244,Pennsylvania,0.006562,New Hampshire,0.009186,New Jersey,0.009186,New Mexico,0.047244,New York,0.043307,North Carolina,0.006562,North Dakota,0.047244,Ohio,0.040682,Oklahoma,0.001312,Oregon,0.023622,South Carolina,0.003937,Montana,0.009186,South Dakota,0.038058,Tennessee,0.047244,Texas,0.006562,Utah,0.014436,Vermont,0.028871,Virginia,0.018373,Washington,0.02231,West Virginia,0.028871,Wisconsin,0.014436,Nebraska,0.045932,Missouri,0.001312,Alaska,0.02231,Illinois,0.005249,Arizona,0.015748,Arkansas,0.003937,California,0.006562,Colorado,0.009186,Connecticut,0.001312,Delaware,0.032808,Florida,0.040682,Georgia,0.006562,Idaho,0.043307,Indiana,0.010499,Mississippi,0.040682,Iowa,0.013123,Kansas,0.024934,Kentucky,0.027559,Louisiana,0.007874,Maine,0.018373,Maryland,0.007874,Massachusetts,0.05643,Michigan,0.013123,Minnesota,0.003937,Wyoming,,,,,,,,,,
🇺🇸Grab Yours Here => smarturl.it/2309iy ⬅,2019-08-23T08:43:46+0000,Libertee Shop,0,99,0,999,0.019417,Arkansas,0.019417,Missouri,0.009709,Wisconsin,0.019417,West Virginia,0.029126,Virginia,0.203883,Texas,0.009709,South Dakota,0.038835,South Carolina,0.019417,Pennsylvania,0.07767,Ohio,0.009709,North Dakota,0.048544,North Carolina,0.038835,New York,0.029126,Mississippi,0.009709,California,0.029126,Michigan,0.009709,Massachusetts,0.029126,Maryland,0.019417,Maine,0.038835,Louisiana,0.029126,Iowa,0.029126,Indiana,0.009709,Illinois,0.07767,Georgia,0.126214,Florida,0.009709,Colorado,0.009709,Wyoming,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
🇺🇸Grab Yours Here => smarturl.it/2309iy ⬅,2019-08-23T08:43:46+0000,Libertee Shop,0,99,0,999,0.033898,California,0.016949,New York,0.050847,Wisconsin,0.016949,Washington,0.033898,Virginia,0.016949,Utah,0.084746,Texas,0.033898,Tennessee,0.016949,South Carolina,0.016949,Pennsylvania,0.084746,Ohio,0.016949,North Dakota,0.033898,North Carolina,0.016949,New Jersey,0.016949,Connecticut,0.016949,New Hampshire,0.033898,Missouri,0.033898,Mississippi,0.067797,Michigan,0.033898,Louisiana,0.033898,Kentucky,0.050847,Kansas,0.033898,Iowa,0.016949,Indiana,0.016949,Illinois,0.067797,Georgia,0.084746,Florida,0.016949,Wyoming,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
🇺🇸Grab Yours Here => smarturl.it/2309iy ⬅,2019-08-23T08:43:46+0000,Libertee Shop,0,99,0,999,0.009524,Alabama,0.019048,Mississippi,0.028571,Virginia,0.114286,Texas,0.038095,Tennessee,0.019048,South Dakota,0.028571,South Carolina,0.066667,Pennsylvania,0.009524,Oklahoma,0.066667,Ohio,0.038095,North Carolina,0.038095,New York,0.019048,New Jersey,0.009524,Nevada,0.019048,Nebraska,0.019048,Missouri,0.019048,Minnesota,0.066667,Arizona,0.028571,Michigan,0.028571,Massachusetts,0.009524,Maryland,0.009524,Louisiana,0.019048,Kentucky,0.028571,Kansas,0.019048,Iowa,0.019048,Indiana,0.019048,Illinois,0.057143,Georgia,0.047619,Florida,0.009524,Connecticut,0.028571,Colorado,0.019048,California,0.028571,Washington,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
🇺🇸Grab Yours Here => smarturl.it/2309iy ⬅,2019-08-23T08:43:46+0000,Libertee Shop,0,99,0,999,0.021951,Alabama,0.031707,Oklahoma,0.002439,New Hampshire,0.026829,New Jersey,0.007317,New Mexico,0.029268,New York,0.029268,North Carolina,0.002439,North Dakota,0.082927,Ohio,0.002439,Oregon,0.019512,Missouri,0.041463,Pennsylvania,0.004878,Rhode Island,0.043902,South Carolina,0.053659,Tennessee,0.112195,Texas,0.002439,Utah,0.029268,Virginia,0.017073,West Virginia,0.012195,Nebraska,0.026829,Mississippi,0.002439,Alaska,0.05122,Georgia,0.009756,Arizona,0.017073,Arkansas,0.004878,California,0.004878,Colorado,0.012195,Connecticut,0.002439,Delaware,0.092683,Florida,0.017073,Illinois,0.007317,Minnesota,0.039024,Indiana,0.012195,Iowa,0.012195,Kansas,0.02439,Kentucky,0.019512,Louisiana,0.021951,Maryland,0.009756,Massachusetts,0.034146,Michigan,0.004878,Wisconsin,,,,,,,,,,,,,,,,,,,,,,
🇺🇸Grab Yours Here => smarturl.it/2309iy ⬅,2019-08-23T08:43:46+0000,Libertee Shop,0,99,0,999,0.018809,Alabama,0.040752,Ohio,0.00627,Nebraska,0.003135,Nevada,0.018809,New Hampshire,0.018809,New Jersey,0.00627,New Mexico,0.018809,New York,0.062696,North Carolina,0.012539,North Dakota,0.031348,Oklahoma,0.021944,Missouri,0.009404,Pennsylvania,0.028213,South Carolina,0.012539,South Dakota,0.037618,Tennessee,0.115987,Texas,0.028213,Virginia,0.015674,Washington,0.018809,West Virginia,0.025078,Wisconsin,0.003135,Montana,0.015674,Mississippi,0.003135,Alaska,0.003135,Idaho,0.018809,Arizona,0.009404,Arkansas,0.009404,California,0.015674,Colorado,0.00627,Connecticut,0.003135,Delaware,0.003135,"Washington, District of Columbia",0.065831,Florida,0.043887,Georgia,0.028213,Illinois,0.003135,Minnesota,0.040752,Indiana,0.028213,Iowa,0.009404,Kansas,0.025078,Kentucky,0.021944,Louisiana,0.009404,Maine,0.012539,Maryland,0.012539,Massachusetts,0.043887,Michigan,0.012539,Wyoming,,,,,,,,,,,,
🇺🇸Grab Yours Here => smarturl.it/2309iy ⬅,2019-08-23T08:43:46+0000,Libertee Shop,0,99,0,999,0.015038,Alabama,0.007519,South Dakota,0.007519,North Dakota,0.037594,Ohio,0.037594,Oklahoma,0.007519,Pennsylvania,0.015038,Rhode Island,0.030075,South Carolina,0.030075,Tennessee,0.022556,New York,0.135338,Texas,0.007519,Utah,0.022556,Virginia,0.015038,Washington,0.022556,West Virginia,0.015038,Wisconsin,0.052632,North Carolina,0.015038,New Jersey,0.015038,Arizona,0.015038,Iowa,0.022556,Arkansas,0.037594,California,0.097744,Florida,0.045113,Georgia,0.022556,Illinois,0.030075,Indiana,0.007519,Kansas,0.015038,New Hampshire,0.030075,Kentucky,0.037594,Louisiana,0.015038,Maryland,0.037594,Michigan,0.015038,Minnesota,0.037594,Missouri,0.015038,Nebraska,0.007519,Wyoming,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
