ad_creative_body,ad_delivery_start_time,funding_entity,spend/lower_bound,spend/upper_bound,impressions/lower_bound,impressions/upper_bound,region_distribution/0/percentage,region_distribution/0/region,region_distribution/1/percentage,region_distribution/1/region,region_distribution/2/percentage,region_distribution/2/region,region_distribution/3/percentage,region_distribution/3/region,region_distribution/4/percentage,region_distribution/4/region,region_distribution/5/percentage,region_distribution/5/region,region_distribution/6/percentage,region_distribution/6/region,region_distribution/7/percentage,region_distribution/7/region,region_distribution/8/percentage,region_distribution/8/region,region_distribution/9/percentage,region_distribution/9/region,region_distribution/10/percentage,region_distribution/10/region,region_distribution/11/percentage,region_distribution/11/region,region_distribution/12/percentage,region_distribution/12/region,region_distribution/13/percentage,region_distribution/13/region,region_distribution/14/percentage,region_distribution/14/region,region_distribution/15/percentage,region_distribution/15/region,region_distribution/16/percentage,region_distribution/16/region,region_distribution/17/percentage,region_distribution/17/region,region_distribution/18/percentage,region_distribution/18/region,region_distribution/19/percentage,region_distribution/19/region,region_distribution/20/percentage,region_distribution/20/region,region_distribution/21/percentage,region_distribution/21/region,region_distribution/22/percentage,region_distribution/22/region,region_distribution/23/percentage,region_distribution/23/region,region_distribution/24/percentage,region_distribution/24/region,region_distribution/25/percentage,region_distribution/25/region,region_distribution/26/percentage,region_distribution/26/region,region_distribution/27/percentage,region_distribution/27/region,region_distribution/28/percentage,region_distribution/28/region,region_distribution/29/percentage,region_distribution/29/region,region_distribution/30/percentage,region_distribution/30/region,region_distribution/31/percentage,region_distribution/31/region,region_distribution/32/percentage,region_distribution/32/region,region_distribution/33/percentage,region_distribution/33/region,region_distribution/34/percentage,region_distribution/34/region,region_distribution/35/percentage,region_distribution/35/region,region_distribution/36/percentage,region_distribution/36/region,region_distribution/37/percentage,region_distribution/37/region,region_distribution/38/percentage,region_distribution/38/region,region_distribution/39/percentage,region_distribution/39/region,region_distribution/40/percentage,region_distribution/40/region,region_distribution/41/percentage,region_distribution/41/region,region_distribution/42/percentage,region_distribution/42/region,region_distribution/43/percentage,region_distribution/43/region,region_distribution/44/percentage,region_distribution/44/region,region_distribution/45/percentage,region_distribution/45/region,region_distribution/46/percentage,region_distribution/46/region,region_distribution/47/percentage,region_distribution/47/region,region_distribution/48/percentage,region_distribution/48/region,region_distribution/49/percentage,region_distribution/49/region,region_distribution/50/percentage,region_distribution/50/region,region_distribution/51/percentage,region_distribution/51/region,region_distribution/52/percentage,region_distribution/52/region,region_distribution/53/percentage,region_distribution/53/region,region_distribution/54/percentage,region_distribution/54/region,region_distribution/55/percentage,region_distribution/55/region,region_distribution/56/percentage,region_distribution/56/region,region_distribution/57/percentage,region_distribution/57/region,region_distribution/58/percentage,region_distribution/58/region,region_distribution/59/percentage,region_distribution/59/region,region_distribution/60/percentage,region_distribution/60/region,region_distribution/61/percentage,region_distribution/61/region,region_distribution/62/percentage,region_distribution/62/region,region_distribution/63/percentage,region_distribution/63/region,region_distribution/64/percentage,region_distribution/64/region,region_distribution/65/percentage,region_distribution/65/region,region_distribution/66/percentage,region_distribution/66/region,region_distribution/67/percentage,region_distribution/67/region,region_distribution/68/percentage,region_distribution/68/region,region_distribution/69/percentage,region_distribution/69/region,region_distribution/70/percentage,region_distribution/70/region,region_distribution/71/percentage,region_distribution/71/region,region_distribution/72/percentage,region_distribution/72/region,region_distribution/73/percentage,region_distribution/73/region,region_distribution/74/percentage,region_distribution/74/region,region_distribution/75/percentage,region_distribution/75/region,region_distribution/76/percentage,region_distribution/76/region,region_distribution/77/percentage,region_distribution/77/region,region_distribution/78/percentage,region_distribution/78/region,region_distribution/79/percentage,region_distribution/79/region,region_distribution/80/percentage,region_distribution/80/region,region_distribution/81/percentage,region_distribution/81/region,region_distribution/82/percentage,region_distribution/82/region
"**Say their names below! The supporters of these unconscionable bills have forgotten the Victims!! The 7000 plus human beings brutally murdered just since 1980 in Massachusetts deserve justice. Permanent justice not temporary justice. The justice that they and their families — the survivors — were guaranteed by Massachusetts Judge, Jury, and Supreme Court!
**Remember these names — Vote them out! Our own elected Senators and Representatives met with 150 First Degree murderers of our loved ones in Norfolk prison March 23, 2019 to discuss helping them get out — long before only one reluctantly met with 25 family members of their victims, at our insistence — yet they have never met with their own constituents to discuss these disgraceful bills! Let them hear your outrage...
Ten years they’ve been “working” to end LWOP in Massachusetts. They will never ever succeed — not for those convicted of First Degree Murder. They know not the wrath of the victims families. We’ve been to hell and back already. We are tougher then they are. We are stronger then they are. We have Said NO to “An Act to Reduce Mass Incarceration”!!
Obviously these lawmakers do not know the laws of the state that they represent. A sentence of Life Without the Possibility of Parole is not given lightly. LWOP is reserved for the worst of the worst. The 1074 inmates currently incarcerated for committing First Degree Murder are such. These cold blooded killers do not deserve the second chance they themselves denied to their own victims. 
The 7000 plus murder victims received a death sentence immediately. No Trials. No Appeals. No Parole. Ever. 
The 70,000 plus survivors received a life sentence immediately the moment their loved ones were murdered. No Trials. No Appeals. No Parole. Ever. 

Say NO to Elimination of Life Without Parole! Because a First Degree Murder conviction with a sentence of Life Without the Possibility of Parole means just that — The victims have Zero Second Chance — Neither should their killers. Period.

Say NO to “An Act to Reduce Mass Incarceration”! Say NO to H.3358/S.826! LWOP means LWOP! #WeNeverForgetTheVictims #BeBrave #JusticeForMurderVictims

Senators William N. Brownsberger State Senator Cindy Friedman James Eldridge 
Representatives Jay Livingstone State Representative Nika Elugardo Russell E. Holmes Mary Keefe Representative Liz Malia  Lindsay Sabadosa, State Representative, 1st Hampshire District
Shame shame shame on you all...",2019-08-13T03:25:48+0000,Karren Fleet,0,99,0,999,1,Massachusetts,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
How is this still happening in 2019?,2019-08-07T03:20:09+0000,"mitú, Inc.",0,99,0,999,0.020833,Alabama,0.020833,Oregon,0.011905,Nevada,0.001488,New Hampshire,0.011905,New Jersey,0.014881,New Mexico,0.025298,New York,0.013393,North Carolina,0.004464,North Dakota,0.020833,Ohio,0.034226,Oklahoma,0.019345,Pennsylvania,0.001488,Montana,0.001488,Rhode Island,0.00744,South Carolina,0.010417,South Dakota,0.016369,Tennessee,0.135417,Texas,0.011905,Utah,0.013393,Virginia,0.026786,Washington,0.005952,West Virginia,0.017857,Wisconsin,0.00744,Nebraska,0.028274,Missouri,0.002976,Alaska,0.00744,Idaho,0.049107,Arizona,0.022321,Arkansas,0.138393,California,0.025298,Colorado,0.011905,Connecticut,0.002976,"Washington, District of Columbia",0.029762,Florida,0.028274,Georgia,0.005952,Hawaii,0.053571,Illinois,0.022321,Mississippi,0.011905,Indiana,0.004464,Iowa,0.014881,Kansas,0.011905,Kentucky,0.022321,Louisiana,0.001488,Maine,0.004464,Maryland,0.00744,Massachusetts,0.019345,Michigan,0.010417,Minnesota,0.00744,Wyoming,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A proposal to mine land near the Okefenokee swamp reminds some of a plan from 20 years ago that died in the face of national outrage. Will public opposition stop a mine proposal again? https://bit.ly/31sHkgx,2019-08-12T13:24:05+0000,Georgia Recorder,0,99,5000,9999,1,Georgia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"An Eritrean citizen shoved a mother and her 8-year-old son into the path of an express train entering Frankfurt’s main station shortly before 10 a.m. on July 29. 

The attack caused major chaos and ignited outrage from citizens and government officials, adding fuel to an already raging debate over immigration and the status of foreigners in Germany.",2019-08-12T01:00:51+0000,Philadelphia Church of God,0,99,0,999,0.02546,Arizona,0.021216,New Jersey,0.069307,Florida,0.031117,Illinois,0.024045,Indiana,0.015559,Kentucky,0.019802,Louisiana,0.031117,Michigan,0.015559,Minnesota,0.014144,Mississippi,0.007072,Nebraska,0.045262,New York,0.084866,California,0.033946,North Carolina,0.050919,Ohio,0.024045,Oklahoma,0.01273,Oregon,0.03819,Pennsylvania,0.007072,South Dakota,0.091938,Texas,0.021216,Virginia,0.031117,Washington,0.009901,West Virginia,0.007072,Connecticut,0.011315,Arkansas,0.016973,Colorado,0.002829,Nevada,0.024045,Georgia,0.008487,Hawaii,0.008487,Iowa,0.021216,Kansas,0.001414,Maine,0.015559,Maryland,0.009901,Massachusetts,0.02546,Missouri,0.004243,Montana,0.004243,New Hampshire,0.02546,Alabama,0.005658,North Dakota,0.004243,Rhode Island,0.021216,South Carolina,0.019802,Tennessee,0.005658,Alaska,0.004243,Idaho,0.005658,New Mexico,0.001414,Delaware,0.002829,"Washington, District of Columbia",0.002829,Utah,0.014144,Wisconsin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"An Eritrean citizen shoved a mother and her 8-year-old son into the path of an express train entering Frankfurt’s main station shortly before 10 a.m. on July 29. 

The attack caused major chaos and ignited outrage from citizens and government officials, adding fuel to an already raging debate over immigration and the status of foreigners in Germany.",2019-08-12T01:00:43+0000,Philadelphia Church of God,0,99,0,999,0.021879,Alabama,0.009009,North Dakota,0.023166,Louisiana,0.015444,Maryland,0.036036,Michigan,0.014157,Minnesota,0.014157,Mississippi,0.027027,Missouri,0.020592,New Jersey,0.034749,New York,0.033462,North Carolina,0.03861,Ohio,0.020592,Kansas,0.032175,Oklahoma,0.033462,Pennsylvania,0.003861,Rhode Island,0.005148,South Dakota,0.027027,Tennessee,0.093951,Texas,0.007722,Utah,0.002574,Vermont,0.027027,Washington,0.010296,West Virginia,0.016731,Kentucky,0.015444,Iowa,0.002574,Idaho,0.005148,New Mexico,0.002574,Maine,0.015444,Massachusetts,0.002574,Montana,0.010296,Nebraska,0.006435,Nevada,0.001287,New Hampshire,0.010296,Oregon,0.016731,South Carolina,0.020592,Virginia,0.007722,Hawaii,0.001287,Delaware,0.028314,Indiana,0.001287,"Washington, District of Columbia",0.006435,Alaska,0.028314,Arizona,0.015444,Arkansas,0.079794,California,0.007722,Colorado,0.005148,Connecticut,0.061776,Florida,0.029601,Georgia,0.037323,Illinois,0.011583,Wisconsin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"We don't have a gun issue in America, we have a God issue. When you remove fathers out of the home and God out of society, the end result is what we are witnessing in America today. Fixing a symptom doesn't cure the disease.
http://scottwillmore.com/gun-control-dads-abortion/",2019-08-10T18:31:26+0000,Scott Willmore,0,99,1000,4999,1,Alabama,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Attention ALL Trump Deplorables, Please visit our website where we have worked very hard to create emails, tweets, also you can call Blumhouse Productions and let them know how you feel about ""The Hunted"" movie that is still going to be released. (Please ask your friends to get involved!)

https://www.thenewmovement.org/hunt.html",2019-08-10T01:13:55+0000,The New Movement,0,99,0,999,0.1,Alabama,0.05,Georgia,0.05,Iowa,0.1,Kentucky,0.05,Maine,0.05,Michigan,0.05,Minnesota,0.05,Mississippi,0.05,Missouri,0.1,New Jersey,0.05,New York,0.05,Ohio,0.05,Oklahoma,0.1,Texas,0.05,Virginia,0.05,Wisconsin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"I am pro-choice. That does not mean that I promote abortion but rather believe in a woman's bodily autonomy and liberty to regulate her uterus. You will not shame me or other Catholics for holding this view. But if you're going to try, please throw out your condoms and the pill. Don't waste your seed. Refrain from oral copulation. And be sure to remain chaste until marriage. 

As someone that was born and raised Catholic, I am becoming increasingly disappointed with the Church’s inconsistency, particularly concerning the “sanctity of life” and reproduction. I drove by St. Anne’s Catholic Church in Beaumont earlier this week and saw a sign that stated: “Planned Parenthood separates children from their parents forever”. It's a play on a hot topic in politics today: undocumented immigrants being separated from their children. Rather than posting a sign calling for unity as a nation in protecting families under any circumstance, they hyperfocus on one singular issue. Several signs are displaying similar sentiments outside every church. 

Officially, Catholics have a zero-tolerance policy concerning abortion, no matter the risk imposed on a woman's life. Regardless of whether or not the fetus is viable. If she's raped, too bad. In addition to abortion, per the Church, ANY form of contraception is wrong including condoms, spermicides, intrauterine devices, the pill, etc. Interestingly, there are no signs showing condoms with a big red X. Why is that? Take a look at married couples and the number of children they have sitting in the pews. If they have one or two, they're likely utilizing some form of contraception. If you’re going to rail against abortion, you better keep it consistent and denounce all forms of contraception smack dab in front of the church. And yes, papal encyclicals have indicated that the Church views abortion and contraception as violating the ""natural law"". Keep it consistent or drop it. Those of us that pay attention are getting tired of the selective outrage and feigned moral indignation.",2019-08-10T00:06:01+0000,Citizens4Change,0,99,1000,4999,1,Texas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.onmenews.com/single-post/2019/08/09/FUSD-student-blackface-incident-sparks-community-outrage-and-action-against-FUSD-board-trustee-using-white-privilege-to-bully-students,2019-08-09T17:18:30+0000,ONME News,0,99,1000,4999,1,California,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"New York Times columnist and author Tom Friedman joins us on #OutrageAndOptimism this week to discuss climate denialism in America and why this is the biggest election of his life 

https://podcasts.apple.com/gb/podcast/outrage-and-optimism/id1459416461?i=1000446480340",2019-08-09T03:10:49+0000,Global Optimism,100,499,10000,49999,0.011914,Alabama,0.039251,Pennsylvania,0.007678,Nevada,0.007016,New Hampshire,0.017143,New Jersey,0.010657,New Mexico,0.056195,New York,0.030845,North Carolina,0.002581,North Dakota,0.034816,Ohio,0.011583,Oklahoma,0.036007,Oregon,0.005295,Rhode Island,0.006156,Montana,0.012311,South Carolina,0.002979,South Dakota,0.015819,Tennessee,0.038125,Texas,0.007082,Utah,0.004964,Vermont,0.023431,Virginia,0.054872,Washington,0.007479,West Virginia,0.020453,Wisconsin,0.009333,Nebraska,0.032698,Missouri,0.00503,Alaska,0.006553,Idaho,0.024226,Arizona,0.009134,Arkansas,0.090945,California,0.023828,Colorado,0.010458,Connecticut,0.003442,Delaware,0.002052,"Washington, District of Columbia",0.053548,Florida,0.017739,Georgia,0.005295,Hawaii,0.034684,Illinois,0.006818,Mississippi,0.023431,Indiana,0.015886,Iowa,0.017342,Kansas,0.016614,Kentucky,0.00781,Louisiana,0.009068,Maine,0.016415,Maryland,0.0278,Massachusetts,0.044149,Michigan,0.018798,Minnesota,0.00225,Wyoming,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
