ad_creative_body,ad_delivery_start_time,funding_entity,spend/lower_bound,spend/upper_bound,impressions/lower_bound,impressions/upper_bound,region_distribution/0/percentage,region_distribution/0/region,region_distribution/1/percentage,region_distribution/1/region,region_distribution/2/percentage,region_distribution/2/region,region_distribution/3/percentage,region_distribution/3/region,region_distribution/4/percentage,region_distribution/4/region,region_distribution/5/percentage,region_distribution/5/region,region_distribution/6/percentage,region_distribution/6/region,region_distribution/7/percentage,region_distribution/7/region,region_distribution/8/percentage,region_distribution/8/region,region_distribution/9/percentage,region_distribution/9/region,region_distribution/10/percentage,region_distribution/10/region,region_distribution/11/percentage,region_distribution/11/region,region_distribution/12/percentage,region_distribution/12/region,region_distribution/13/percentage,region_distribution/13/region,region_distribution/14/percentage,region_distribution/14/region,region_distribution/15/percentage,region_distribution/15/region,region_distribution/16/percentage,region_distribution/16/region,region_distribution/17/percentage,region_distribution/17/region,region_distribution/18/percentage,region_distribution/18/region,region_distribution/19/percentage,region_distribution/19/region,region_distribution/20/percentage,region_distribution/20/region,region_distribution/21/percentage,region_distribution/21/region,region_distribution/22/percentage,region_distribution/22/region,region_distribution/23/percentage,region_distribution/23/region,region_distribution/24/percentage,region_distribution/24/region,region_distribution/25/percentage,region_distribution/25/region,region_distribution/26/percentage,region_distribution/26/region,region_distribution/27/percentage,region_distribution/27/region,region_distribution/28/percentage,region_distribution/28/region,region_distribution/29/percentage,region_distribution/29/region,region_distribution/30/percentage,region_distribution/30/region,region_distribution/31/percentage,region_distribution/31/region,region_distribution/32/percentage,region_distribution/32/region,region_distribution/33/percentage,region_distribution/33/region,region_distribution/34/percentage,region_distribution/34/region,region_distribution/35/percentage,region_distribution/35/region,region_distribution/36/percentage,region_distribution/36/region,region_distribution/37/percentage,region_distribution/37/region,region_distribution/38/percentage,region_distribution/38/region,region_distribution/39/percentage,region_distribution/39/region,region_distribution/40/percentage,region_distribution/40/region,region_distribution/41/percentage,region_distribution/41/region,region_distribution/42/percentage,region_distribution/42/region,region_distribution/43/percentage,region_distribution/43/region,region_distribution/44/percentage,region_distribution/44/region,region_distribution/45/percentage,region_distribution/45/region,region_distribution/46/percentage,region_distribution/46/region,region_distribution/47/percentage,region_distribution/47/region,region_distribution/48/percentage,region_distribution/48/region,region_distribution/49/percentage,region_distribution/49/region,region_distribution/50/percentage,region_distribution/50/region,region_distribution/51/percentage,region_distribution/51/region
"🔥NEW HOT MERCH ALERT🔥.
.
The hottest EXCLUSIVE Patriot MAGA & TRUMP merch designed by @so_corinne & myself - only found on @theofficertatumstore.
.
Stylish designs subtle enough that ANYONE can wear EVERYWHERE 🇺🇸🇺🇸🇺🇸.
.
Link in bio @theofficertatumstore @so_corinne @theofficertatum",2019-08-23T14:32:28+0000,The Officer Tatum LLC,0,99,0,999,0.017668,Alabama,0.028269,Ohio,0.007067,Nebraska,0.021201,Nevada,0.007067,New Hampshire,0.024735,New Jersey,0.010601,New Mexico,0.053004,New York,0.04947,North Carolina,0.010601,Oklahoma,0.007067,Mississippi,0.04947,Pennsylvania,0.003534,Rhode Island,0.028269,South Carolina,0.024735,Tennessee,0.077739,Texas,0.007067,Utah,0.031802,Virginia,0.007067,Washington,0.007067,Missouri,0.014134,Minnesota,0.017668,Arizona,0.010601,Idaho,0.014134,Arkansas,0.127208,California,0.014134,Colorado,0.010601,Connecticut,0.003534,Delaware,0.09894,Florida,0.063604,Georgia,0.003534,Hawaii,0.038869,Illinois,0.007067,Michigan,0.017668,Indiana,0.010601,Iowa,0.010601,Kansas,0.017668,Kentucky,0.007067,Louisiana,0.003534,Maine,0.024735,Maryland,0.003534,Massachusetts,0.007067,Wisconsin,,,,,,,,,,,,,,,,,,,,
"If you support President Trump, join us!",2019-08-23T10:00:00+0000,Need It LLC,0,99,0,999,0.036364,Alabama,0.009091,Montana,0.009091,West Virginia,0.027273,Washington,0.063636,Virginia,0.009091,Vermont,0.054545,Texas,0.018182,Tennessee,0.009091,South Carolina,0.009091,Rhode Island,0.036364,Pennsylvania,0.054545,Ohio,0.036364,North Carolina,0.063636,New York,0.009091,New Mexico,0.036364,Missouri,0.009091,Alaska,0.018182,Mississippi,0.018182,Minnesota,0.054545,Michigan,0.009091,Massachusetts,0.063636,Kentucky,0.036364,Kansas,0.009091,Iowa,0.018182,Indiana,0.054545,Illinois,0.018182,Georgia,0.090909,Florida,0.054545,California,0.036364,Arkansas,0.018182,Arizona,0.009091,Wisconsin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"If you support President Trump, join us!",2019-08-23T10:00:00+0000,Need It LLC,0,99,0,999,0.016949,Alabama,0.016949,South Carolina,0.008475,New York,0.059322,North Carolina,0.025424,Ohio,0.016949,Oklahoma,0.008475,Oregon,0.042373,Pennsylvania,0.076271,Tennessee,0.016949,Nevada,0.118644,Texas,0.008475,Utah,0.016949,Virginia,0.008475,Washington,0.050847,West Virginia,0.008475,Wisconsin,0.016949,New Mexico,0.008475,Nebraska,0.033898,Arizona,0.042373,Illinois,0.025424,Arkansas,0.025424,California,0.008475,Colorado,0.008475,Connecticut,0.067797,Florida,0.042373,Georgia,0.025424,Indiana,0.033898,Missouri,0.025424,Iowa,0.025424,Kentucky,0.042373,Maryland,0.016949,Massachusetts,0.025424,Michigan,0.008475,Minnesota,0.008475,Mississippi,0.008475,Wyoming,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"If you support President Trump, join us!",2019-08-23T10:00:00+0000,Need It LLC,0,99,0,999,0.022472,Alabama,0.022472,New Jersey,0.022472,West Virginia,0.044944,Virginia,0.011236,Utah,0.033708,Texas,0.067416,Tennessee,0.011236,South Dakota,0.011236,South Carolina,0.033708,Pennsylvania,0.011236,Oregon,0.022472,Oklahoma,0.123596,Ohio,0.05618,North Carolina,0.044944,New York,0.011236,Nebraska,0.022472,Arizona,0.044944,Missouri,0.022472,Mississippi,0.022472,Michigan,0.011236,Maine,0.044944,Kentucky,0.022472,Iowa,0.033708,Indiana,0.022472,Illinois,0.011236,Georgia,0.089888,Florida,0.022472,Delaware,0.011236,Connecticut,0.022472,Colorado,0.033708,Arkansas,0.011236,Wisconsin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"If you support President Trump, join us!",2019-08-23T10:00:00+0000,Need It LLC,0,99,0,999,0.023438,Alabama,0.046875,Pennsylvania,0.023438,New Jersey,0.015625,New Mexico,0.039063,New York,0.0625,North Carolina,0.023438,Ohio,0.023438,Oklahoma,0.007813,Oregon,0.023438,South Carolina,0.007813,Nevada,0.007813,South Dakota,0.039063,Tennessee,0.117188,Texas,0.046875,Virginia,0.023438,Washington,0.015625,West Virginia,0.007813,Wisconsin,0.007813,New Hampshire,0.007813,Nebraska,0.015625,Arizona,0.039063,Illinois,0.007813,Arkansas,0.023438,California,0.015625,Colorado,0.007813,Connecticut,0.09375,Florida,0.023438,Georgia,0.007813,Hawaii,0.03125,Indiana,0.015625,Montana,0.007813,Kansas,0.007813,Kentucky,0.015625,Maryland,0.046875,Michigan,0.007813,Minnesota,0.03125,Mississippi,0.023438,Missouri,0.007813,Wyoming,,,,,,,,,,,,,,,,,,,,,,,,,,
"Looks.
Like.
Trump.
Is.
Driving.
Your.
Car.

(Also, who is that in the back seat??)

Order yours today: https://patriotdepot.com/trump-family-car-sun-shade/",2019-08-22T20:15:40+0000,Patriot Depot,0,99,0,999,0.019231,Arkansas,0.038462,New Jersey,0.019231,West Virginia,0.019231,Washington,0.038462,Virginia,0.038462,Texas,0.076923,Tennessee,0.019231,South Carolina,0.076923,Ohio,0.096154,North Carolina,0.019231,New York,0.038462,New Mexico,0.019231,New Hampshire,0.076923,California,0.019231,Nebraska,0.038462,Missouri,0.038462,Minnesota,0.019231,Michigan,0.019231,Kentucky,0.057692,Indiana,0.019231,Illinois,0.057692,Georgia,0.057692,Florida,0.019231,Connecticut,0.038462,Colorado,0.019231,Wisconsin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"This presidential gnome is now in stock and ready to defend your garden against any unwanted intruders!

Order your gnome here: https://patriotdepot.com/donald-trump-garden-gnome/",2019-08-22T18:52:04+0000,Patriot Depot,0,99,0,999,0.014634,Alabama,0.019512,Virginia,0.029268,Ohio,0.034146,Oregon,0.043902,Pennsylvania,0.014634,South Carolina,0.014634,Tennessee,0.068293,Texas,0.019512,Utah,0.039024,Washington,0.063415,New York,0.014634,West Virginia,0.019512,Wisconsin,0.004878,Delaware,0.004878,Kansas,0.004878,Maine,0.009756,Maryland,0.004878,Mississippi,0.014634,Nebraska,0.02439,North Carolina,0.034146,New Jersey,0.058537,Arizona,0.014634,Indiana,0.004878,Arkansas,0.082927,California,0.009756,Colorado,0.009756,Connecticut,0.082927,Florida,0.019512,Georgia,0.004878,Idaho,0.02439,Illinois,0.019512,Iowa,0.009756,New Hampshire,0.014634,Kentucky,0.019512,Louisiana,0.034146,Massachusetts,0.039024,Michigan,0.009756,Minnesota,0.009756,Missouri,0.009756,Montana,0.019512,Nevada,0.004878,Oklahoma,,,,,,,,,,,,,,,,,,,,
"Clothing & Gear That Show You're A Proud Patriot. 
🇺🇸 Veteran Owned & Operated In The USA 🇺🇸

BUY ANY TWO TEES & GET ANOTHER TEE OR HOODIE FOR 50% OFF!",2019-08-22T12:41:15+0000,Patriotic AF LLC,0,99,0,999,0.333333,Alabama,0.111111,Colorado,0.111111,Georgia,0.111111,New Jersey,0.111111,New York,0.111111,Ohio,0.111111,Pennsylvania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Do you believe the Second Amendment protects all rights? Click in ""Learn More"" to share your thoughts and get a FREE subscription!",2019-08-21T19:30:13+0000,The Patriot Post,0,99,1000,4999,0.030776,Alabama,0.041927,Pennsylvania,0.005352,New Hampshire,0.010259,New Jersey,0.011597,New Mexico,0.040589,New York,0.022748,North Carolina,0.002676,North Dakota,0.049509,Ohio,0.02364,Oklahoma,0.019179,Oregon,0.017395,South Carolina,0.005352,Nebraska,0.005352,South Dakota,0.02364,Tennessee,0.079839,Texas,0.011151,Utah,0.002676,Vermont,0.018733,Virginia,0.03256,Washington,0.013827,West Virginia,0.013827,Wisconsin,0.00446,Wyoming,0.010705,Nevada,0.008475,Montana,0.007583,Alaska,0.033006,Illinois,0.036574,Arizona,0.018287,Arkansas,0.069581,California,0.016949,Colorado,0.004014,Delaware,0.044603,Florida,0.031222,Georgia,0.001338,Hawaii,0.008921,Idaho,0.030776,Indiana,0.036574,Missouri,0.008475,Iowa,0.012489,Kansas,0.02587,Kentucky,0.018287,Louisiana,0.003568,Maine,0.005798,Maryland,0.008921,Massachusetts,0.037913,Michigan,0.015611,Minnesota,0.013381,Mississippi,0.004014,Connecticut,,,,,,
"If you support President Trump, join us!",2019-08-21T16:09:22+0000,Need It LLC,0,99,0,999,0.034749,Alabama,0.023166,Oregon,0.007722,Nevada,0.007722,New Jersey,0.003861,New Mexico,0.046332,New York,0.050193,North Carolina,0.003861,North Dakota,0.096525,Ohio,0.023166,Oklahoma,0.030888,Pennsylvania,0.007722,Montana,0.011583,South Carolina,0.007722,South Dakota,0.027027,Tennessee,0.073359,Texas,0.003861,Utah,0.003861,Vermont,0.027027,Virginia,0.015444,Washington,0.019305,West Virginia,0.011583,Nebraska,0.027027,Missouri,0.003861,Alaska,0.003861,Idaho,0.027027,Arizona,0.007722,Arkansas,0.042471,California,0.011583,Colorado,0.011583,Connecticut,0.003861,Delaware,0.065637,Florida,0.03861,Georgia,0.03861,Illinois,0.003861,Minnesota,0.030888,Indiana,0.015444,Iowa,0.011583,Kansas,0.015444,Kentucky,0.015444,Louisiana,0.007722,Maine,0.011583,Maryland,0.011583,Massachusetts,0.046332,Michigan,0.011583,Wisconsin,,,,,,,,,,,,,,
