ad_creative_body,ad_delivery_start_time,funding_entity,spend/lower_bound,spend/upper_bound,impressions/lower_bound,impressions/upper_bound,region_distribution/0/percentage,region_distribution/0/region,region_distribution/1/percentage,region_distribution/1/region,region_distribution/2/percentage,region_distribution/2/region,region_distribution/3/percentage,region_distribution/3/region,region_distribution/4/percentage,region_distribution/4/region,region_distribution/5/percentage,region_distribution/5/region,region_distribution/6/percentage,region_distribution/6/region,region_distribution/7/percentage,region_distribution/7/region,region_distribution/8/percentage,region_distribution/8/region,region_distribution/9/percentage,region_distribution/9/region,region_distribution/10/percentage,region_distribution/10/region,region_distribution/11/percentage,region_distribution/11/region,region_distribution/12/percentage,region_distribution/12/region,region_distribution/13/percentage,region_distribution/13/region,region_distribution/14/percentage,region_distribution/14/region,region_distribution/15/percentage,region_distribution/15/region,region_distribution/16/percentage,region_distribution/16/region,region_distribution/17/percentage,region_distribution/17/region,region_distribution/18/percentage,region_distribution/18/region,region_distribution/19/percentage,region_distribution/19/region,region_distribution/20/percentage,region_distribution/20/region,region_distribution/21/percentage,region_distribution/21/region,region_distribution/22/percentage,region_distribution/22/region,region_distribution/23/percentage,region_distribution/23/region,region_distribution/24/percentage,region_distribution/24/region,region_distribution/25/percentage,region_distribution/25/region,region_distribution/26/percentage,region_distribution/26/region,region_distribution/27/percentage,region_distribution/27/region,region_distribution/28/percentage,region_distribution/28/region,region_distribution/29/percentage,region_distribution/29/region,region_distribution/30/percentage,region_distribution/30/region,region_distribution/31/percentage,region_distribution/31/region,region_distribution/32/percentage,region_distribution/32/region,region_distribution/33/percentage,region_distribution/33/region,region_distribution/34/percentage,region_distribution/34/region,region_distribution/35/percentage,region_distribution/35/region,region_distribution/36/percentage,region_distribution/36/region,region_distribution/37/percentage,region_distribution/37/region,region_distribution/38/percentage,region_distribution/38/region,region_distribution/39/percentage,region_distribution/39/region,region_distribution/40/percentage,region_distribution/40/region,region_distribution/41/percentage,region_distribution/41/region,region_distribution/42/percentage,region_distribution/42/region,region_distribution/43/percentage,region_distribution/43/region,region_distribution/44/percentage,region_distribution/44/region,region_distribution/45/percentage,region_distribution/45/region,region_distribution/46/percentage,region_distribution/46/region,region_distribution/47/percentage,region_distribution/47/region,region_distribution/48/percentage,region_distribution/48/region,region_distribution/49/percentage,region_distribution/49/region,region_distribution/50/percentage,region_distribution/50/region,region_distribution/51/percentage,region_distribution/51/region,region_distribution/52/percentage,region_distribution/52/region,region_distribution/53/percentage,region_distribution/53/region,region_distribution/54/percentage,region_distribution/54/region,region_distribution/55/percentage,region_distribution/55/region,region_distribution/56/percentage,region_distribution/56/region,region_distribution/57/percentage,region_distribution/57/region,region_distribution/58/percentage,region_distribution/58/region,region_distribution/59/percentage,region_distribution/59/region,region_distribution/60/percentage,region_distribution/60/region,region_distribution/61/percentage,region_distribution/61/region,region_distribution/62/percentage,region_distribution/62/region,region_distribution/63/percentage,region_distribution/63/region,region_distribution/64/percentage,region_distribution/64/region,region_distribution/65/percentage,region_distribution/65/region,region_distribution/66/percentage,region_distribution/66/region,region_distribution/67/percentage,region_distribution/67/region,region_distribution/68/percentage,region_distribution/68/region,region_distribution/69/percentage,region_distribution/69/region,region_distribution/70/percentage,region_distribution/70/region,region_distribution/71/percentage,region_distribution/71/region,region_distribution/72/percentage,region_distribution/72/region,region_distribution/73/percentage,region_distribution/73/region,region_distribution/74/percentage,region_distribution/74/region,region_distribution/75/percentage,region_distribution/75/region,region_distribution/76/percentage,region_distribution/76/region,region_distribution/77/percentage,region_distribution/77/region,region_distribution/78/percentage,region_distribution/78/region,region_distribution/79/percentage,region_distribution/79/region,region_distribution/80/percentage,region_distribution/80/region,region_distribution/81/percentage,region_distribution/81/region,region_distribution/82/percentage,region_distribution/82/region,region_distribution/83/percentage,region_distribution/83/region,region_distribution/84/percentage,region_distribution/84/region,region_distribution/85/percentage,region_distribution/85/region,region_distribution/86/percentage,region_distribution/86/region,region_distribution/87/percentage,region_distribution/87/region,region_distribution/88/percentage,region_distribution/88/region,region_distribution/89/percentage,region_distribution/89/region,region_distribution/90/percentage,region_distribution/90/region,region_distribution/91/percentage,region_distribution/91/region,region_distribution/92/percentage,region_distribution/92/region,region_distribution/93/percentage,region_distribution/93/region,region_distribution/94/percentage,region_distribution/94/region,region_distribution/95/percentage,region_distribution/95/region,region_distribution/96/percentage,region_distribution/96/region,region_distribution/97/percentage,region_distribution/97/region,region_distribution/98/percentage,region_distribution/98/region,region_distribution/99/percentage,region_distribution/99/region,region_distribution/100/percentage,region_distribution/100/region,region_distribution/101/percentage,region_distribution/101/region,region_distribution/102/percentage,region_distribution/102/region,region_distribution/103/percentage,region_distribution/103/region,region_distribution/104/percentage,region_distribution/104/region,region_distribution/105/percentage,region_distribution/105/region,region_distribution/106/percentage,region_distribution/106/region,region_distribution/107/percentage,region_distribution/107/region,region_distribution/108/percentage,region_distribution/108/region,region_distribution/109/percentage,region_distribution/109/region,region_distribution/110/percentage,region_distribution/110/region,region_distribution/111/percentage,region_distribution/111/region,region_distribution/112/percentage,region_distribution/112/region,region_distribution/113/percentage,region_distribution/113/region,region_distribution/114/percentage,region_distribution/114/region,region_distribution/115/percentage,region_distribution/115/region,region_distribution/116/percentage,region_distribution/116/region,region_distribution/117/percentage,region_distribution/117/region,region_distribution/118/percentage,region_distribution/118/region,region_distribution/119/percentage,region_distribution/119/region,region_distribution/120/percentage,region_distribution/120/region,region_distribution/121/percentage,region_distribution/121/region,region_distribution/122/percentage,region_distribution/122/region,region_distribution/123/percentage,region_distribution/123/region,region_distribution/124/percentage,region_distribution/124/region,region_distribution/125/percentage,region_distribution/125/region
"The climate crisis is not only the single greatest challenge facing our country – it is also our single greatest opportunity to build a more just and equitable future. 

That’s why Bernie just released a Green New Deal plan to solve the climate crisis AND build an economy that works for all. Add your name to support Bernie's plan.",2019-08-22T20:30:22+0000,Bernie 2020.,0,99,0,999,1,Washington,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
How Bernie Sanders would boost unions and eliminate right to work laws,2019-08-22T09:44:08+0000,Break'n News,0,99,0,999,0.023772,Alabama,0.038035,Pennsylvania,0.004754,New Hampshire,0.019017,New Jersey,0.004754,New Mexico,0.025357,New York,0.023772,North Carolina,0.00317,North Dakota,0.044374,Ohio,0.020602,Oklahoma,0.022187,Oregon,0.011094,South Carolina,0.004754,Nebraska,0.006339,South Dakota,0.030111,Tennessee,0.068146,Texas,0.004754,Utah,0.030111,Virginia,0.026941,Washington,0.012678,West Virginia,0.025357,Wisconsin,0.004754,Wyoming,0.012678,Nevada,0.001585,Montana,0.006339,Alaska,0.026941,Indiana,0.022187,Arizona,0.030111,Arkansas,0.080824,California,0.009509,Colorado,0.006339,Connecticut,0.053883,Florida,0.020602,Georgia,0.014263,Idaho,0.047544,Illinois,0.011094,Iowa,0.034865,Missouri,0.007924,Kansas,0.03962,Kentucky,0.015848,Louisiana,0.004754,Maine,0.014263,Maryland,0.012678,Massachusetts,0.049128,Michigan,0.006339,Minnesota,0.014263,Mississippi,0.001585,"Washington, District of Columbia",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Bernie Sanders would like to hear directly from you about which issues matter most to you in his campaign. 

Share which issues you care about most by taking a minute to complete the survey.",2019-08-21T20:00:22+0000,Aleksandra Korolova,0,99,0,999,0.001052,Florida,0.256572,Georgia,0.742376,South Carolina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Bernie Sanders would like to hear directly from you about which issues matter most to you in his campaign. 

Share which issues you care about most by taking a minute to complete the survey.",2019-08-21T20:00:22+0000,Aleksandra Korolova,0,99,1000,4999,0.000684,Connecticut,0.106092,Georgia,0.000684,Illinois,0.000684,Ohio,0.891855,South Carolina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Bernie Sanders would like to hear directly from you about which issues matter most to you in his campaign. 

Share which issues you care about most by taking a minute to complete the survey.",2019-08-21T20:00:22+0000,Aleksandra Korolova,0,99,1000,4999,0.108292,Georgia,0.000619,New York,0.889851,South Carolina,0.000619,Texas,0.000619,Virginia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Many people feel like Bernie Sanders could have beaten Donald Trump in the 2016 election, but can he in 2020?",2019-08-21T16:25:40+0000,The Tylt,0,99,1000,4999,0.023109,Alabama,0.050945,Pennsylvania,0.009454,Nevada,0.004202,New Hampshire,0.018908,New Jersey,0.008403,New Mexico,0.044643,New York,0.032563,North Carolina,0.004202,North Dakota,0.056723,Ohio,0.010504,Oklahoma,0.009979,Oregon,0.001576,Rhode Island,0.002626,Montana,0.019433,South Carolina,0.020483,Tennessee,0.065126,Texas,0.01208,Utah,0.001576,Vermont,0.030987,Virginia,0.020483,Washington,0.016282,West Virginia,0.028887,Wisconsin,0.002101,Wyoming,0.007353,Nebraska,0.027836,Missouri,0.003676,Alaska,0.006828,Idaho,0.02521,Arizona,0.017857,Arkansas,0.045693,California,0.020483,Colorado,0.008929,Connecticut,0.001576,Delaware,0.002626,"Washington, District of Columbia",0.050945,Florida,0.029412,Georgia,0.001576,Hawaii,0.042542,Illinois,0.017857,Mississippi,0.025735,Indiana,0.012605,Iowa,0.009454,Kansas,0.024685,Kentucky,0.014706,Louisiana,0.006303,Maine,0.013655,Maryland,0.022584,Massachusetts,0.03834,Michigan,0.023109,Minnesota,0.003151,South Dakota,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Many people feel like Bernie Sanders could have beaten Donald Trump in the 2016 election, but can he in 2020?",2019-08-21T16:25:40+0000,The Tylt,0,99,1000,4999,0.011685,Alabama,0.065191,Pennsylvania,0.00984,Nevada,0.00984,New Hampshire,0.02337,New Jersey,0.009225,New Mexico,0.056581,New York,0.02583,North Carolina,0.005535,North Dakota,0.04305,Ohio,0.01107,Oklahoma,0.01845,Oregon,0.012915,South Carolina,0.004305,Montana,0.00369,South Dakota,0.02706,Tennessee,0.059041,Texas,0.014145,Utah,0.00246,Vermont,0.01722,Virginia,0.02583,Washington,0.00738,West Virginia,0.0246,Wisconsin,0.000615,Wyoming,0.00984,Nebraska,0.023985,Missouri,0.00369,Alaska,0.004305,Idaho,0.02829,Arizona,0.014145,Arkansas,0.061501,California,0.019065,Colorado,0.014145,Connecticut,0.001845,Delaware,0.00246,"Washington, District of Columbia",0.04551,Florida,0.014145,Georgia,0.00369,Hawaii,0.04551,Illinois,0.005535,Mississippi,0.02706,Indiana,0.01353,Iowa,0.01353,Kansas,0.021525,Kentucky,0.01599,Louisiana,0.00615,Maine,0.016605,Maryland,0.036285,Massachusetts,0.04428,Michigan,0.01476,Minnesota,0.00369,Rhode Island,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Bernie Sanders would like to hear directly from you about which issues matter most to you in his campaign. 

Share which issues you care about most by taking a minute to complete the survey.",2019-08-21T00:30:28+0000,Aleksandra Korolova,0,99,0,999,0.094624,Georgia,0.904301,South Carolina,0.001075,Texas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Bernie Sanders would like to hear directly from you about which issues matter most to you in his campaign. 

Share which issues you care about most by taking a minute to complete the survey.",2019-08-21T00:30:28+0000,Aleksandra Korolova,0,99,0,999,0.297424,Georgia,0.702576,South Carolina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Bernie Sanders would like to hear directly from you about which issues matter most to you in his campaign. 

Share which issues you care about most by taking a minute to complete the survey.",2019-08-21T00:30:28+0000,Aleksandra Korolova,0,99,1000,4999,0.000968,Florida,0.10455,Georgia,0.000968,Michigan,0.000968,New York,0.891578,South Carolina,0.000968,Texas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
