ad_creative_body,ad_delivery_start_time,funding_entity,spend/lower_bound,spend/upper_bound,impressions/lower_bound,impressions/upper_bound,region_distribution/0/percentage,region_distribution/0/region,region_distribution/1/percentage,region_distribution/1/region,region_distribution/2/percentage,region_distribution/2/region,region_distribution/3/percentage,region_distribution/3/region,region_distribution/4/percentage,region_distribution/4/region,region_distribution/5/percentage,region_distribution/5/region,region_distribution/6/percentage,region_distribution/6/region,region_distribution/7/percentage,region_distribution/7/region,region_distribution/8/percentage,region_distribution/8/region,region_distribution/9/percentage,region_distribution/9/region,region_distribution/10/percentage,region_distribution/10/region,region_distribution/11/percentage,region_distribution/11/region,region_distribution/12/percentage,region_distribution/12/region,region_distribution/13/percentage,region_distribution/13/region,region_distribution/14/percentage,region_distribution/14/region,region_distribution/15/percentage,region_distribution/15/region,region_distribution/16/percentage,region_distribution/16/region,region_distribution/17/percentage,region_distribution/17/region,region_distribution/18/percentage,region_distribution/18/region,region_distribution/19/percentage,region_distribution/19/region,region_distribution/20/percentage,region_distribution/20/region,region_distribution/21/percentage,region_distribution/21/region,region_distribution/22/percentage,region_distribution/22/region,region_distribution/23/percentage,region_distribution/23/region,region_distribution/24/percentage,region_distribution/24/region,region_distribution/25/percentage,region_distribution/25/region,region_distribution/26/percentage,region_distribution/26/region,region_distribution/27/percentage,region_distribution/27/region,region_distribution/28/percentage,region_distribution/28/region,region_distribution/29/percentage,region_distribution/29/region,region_distribution/30/percentage,region_distribution/30/region,region_distribution/31/percentage,region_distribution/31/region,region_distribution/32/percentage,region_distribution/32/region,region_distribution/33/percentage,region_distribution/33/region,region_distribution/34/percentage,region_distribution/34/region,region_distribution/35/percentage,region_distribution/35/region,region_distribution/36/percentage,region_distribution/36/region,region_distribution/37/percentage,region_distribution/37/region,region_distribution/38/percentage,region_distribution/38/region,region_distribution/39/percentage,region_distribution/39/region,region_distribution/40/percentage,region_distribution/40/region,region_distribution/41/percentage,region_distribution/41/region,region_distribution/42/percentage,region_distribution/42/region,region_distribution/43/percentage,region_distribution/43/region,region_distribution/44/percentage,region_distribution/44/region,region_distribution/45/percentage,region_distribution/45/region,region_distribution/46/percentage,region_distribution/46/region,region_distribution/47/percentage,region_distribution/47/region,region_distribution/48/percentage,region_distribution/48/region,region_distribution/49/percentage,region_distribution/49/region,region_distribution/50/percentage,region_distribution/50/region,region_distribution/51/percentage,region_distribution/51/region,region_distribution/52/percentage,region_distribution/52/region,region_distribution/53/percentage,region_distribution/53/region,region_distribution/54/percentage,region_distribution/54/region,region_distribution/55/percentage,region_distribution/55/region,region_distribution/56/percentage,region_distribution/56/region,region_distribution/57/percentage,region_distribution/57/region,region_distribution/58/percentage,region_distribution/58/region,region_distribution/59/percentage,region_distribution/59/region,region_distribution/60/percentage,region_distribution/60/region,region_distribution/61/percentage,region_distribution/61/region,region_distribution/62/percentage,region_distribution/62/region,region_distribution/63/percentage,region_distribution/63/region,region_distribution/64/percentage,region_distribution/64/region,region_distribution/65/percentage,region_distribution/65/region,region_distribution/66/percentage,region_distribution/66/region,region_distribution/67/percentage,region_distribution/67/region,region_distribution/68/percentage,region_distribution/68/region,region_distribution/69/percentage,region_distribution/69/region,region_distribution/70/percentage,region_distribution/70/region,region_distribution/71/percentage,region_distribution/71/region,region_distribution/72/percentage,region_distribution/72/region,region_distribution/73/percentage,region_distribution/73/region,region_distribution/74/percentage,region_distribution/74/region,region_distribution/75/percentage,region_distribution/75/region,region_distribution/76/percentage,region_distribution/76/region,region_distribution/77/percentage,region_distribution/77/region,region_distribution/78/percentage,region_distribution/78/region,region_distribution/79/percentage,region_distribution/79/region,region_distribution/80/percentage,region_distribution/80/region,region_distribution/81/percentage,region_distribution/81/region,region_distribution/82/percentage,region_distribution/82/region,region_distribution/83/percentage,region_distribution/83/region,region_distribution/84/percentage,region_distribution/84/region,region_distribution/85/percentage,region_distribution/85/region,region_distribution/86/percentage,region_distribution/86/region,region_distribution/87/percentage,region_distribution/87/region,region_distribution/88/percentage,region_distribution/88/region,region_distribution/89/percentage,region_distribution/89/region,region_distribution/90/percentage,region_distribution/90/region,region_distribution/91/percentage,region_distribution/91/region,region_distribution/92/percentage,region_distribution/92/region,region_distribution/93/percentage,region_distribution/93/region,region_distribution/94/percentage,region_distribution/94/region,region_distribution/95/percentage,region_distribution/95/region,region_distribution/96/percentage,region_distribution/96/region,region_distribution/97/percentage,region_distribution/97/region,region_distribution/98/percentage,region_distribution/98/region,region_distribution/99/percentage,region_distribution/99/region,region_distribution/100/percentage,region_distribution/100/region,region_distribution/101/percentage,region_distribution/101/region,region_distribution/102/percentage,region_distribution/102/region,region_distribution/103/percentage,region_distribution/103/region,region_distribution/104/percentage,region_distribution/104/region,region_distribution/105/percentage,region_distribution/105/region,region_distribution/106/percentage,region_distribution/106/region,region_distribution/107/percentage,region_distribution/107/region,region_distribution/108/percentage,region_distribution/108/region,region_distribution/109/percentage,region_distribution/109/region,region_distribution/110/percentage,region_distribution/110/region,region_distribution/111/percentage,region_distribution/111/region,region_distribution/112/percentage,region_distribution/112/region,region_distribution/113/percentage,region_distribution/113/region,region_distribution/114/percentage,region_distribution/114/region,region_distribution/115/percentage,region_distribution/115/region,region_distribution/116/percentage,region_distribution/116/region,region_distribution/117/percentage,region_distribution/117/region,region_distribution/118/percentage,region_distribution/118/region,region_distribution/119/percentage,region_distribution/119/region,region_distribution/120/percentage,region_distribution/120/region,region_distribution/121/percentage,region_distribution/121/region,region_distribution/122/percentage,region_distribution/122/region,region_distribution/123/percentage,region_distribution/123/region,region_distribution/124/percentage,region_distribution/124/region,region_distribution/125/percentage,region_distribution/125/region,region_distribution/126/percentage,region_distribution/126/region,region_distribution/127/percentage,region_distribution/127/region
"Please read this post and take the suggested action below. I had problems with the link. You can go directly to Family Foundation and respond that way. Thanks for your support and please continue to visit our Facebook Page for news that matters.

Media Matters and leftists attack Tucker Carlson advertisers, influence HelloFresh, Nestle, Stein Mart, Long John Silver’s and others to stop advertising.  Will these same companies stop advertising with Comcast Cable, NBC and its other affiliates after NBC Universal Pictures produced the movie “The Hunt” that shows leftists killing conservatives for fun?  Will these companies have a double standard? 

Media Matters reports that it has recently influenced several companies to stop advertising during Tucker Carlson Tonight.  The Media Matters article reports in part:  “This week, Long John Silver’s said it will no longer advertise on Fox News as a whole, and Nestlé, HelloFresh and Stein Mart confirmed that they are no longer running ads on Carlson’s show.”  Additionally, Huffington Post is a driving force behind the attack on Tucker Carlson.  Here is one  Twitter report showing HuffPost's involvement.  NEW: AstraZeneca confirms to HuffPost that they ""are no longer advertising on the Tucker Carlson show and we will not be advertising on this program in the future.""

Tucker Carlson has brought bold, fact based news perspectives to millions of Americans that no other cable news host has produced. Tucker Carlson Tonight:

•    Diligently reported on Antifa’s violence towards conservatives and suppression of conservatives’ free speech and free assembly.  On the other hand, The NY Post reports:  CNN’s Chris Cuomo and Don Lemon have defended antifa on-air. Chuck Todd (NBC) invited antifa ideologue Mark Bray on “Meet the Press” to explain why antifa’s political violence is “ethical.”

•    Repeatedly exposed Google’s censorship of Christians and conservatives.

•    Exposed MSNBC’s fake white supremacist labeling of President Trump including MSNBC Contributor Frank Figliuzzi who alleged the president delivered a hidden Nazi message.

•    Reported on NBC Universal Pictures’ recently produced movie ""The Hunt"" that depicts privileged leftist vacationers hunting ""deplorables"" (conservatives) for sport.  NBC Universal has cancelled the September 27, 2019 release date.  HOWEVER, NBC Universal Pictures reports:  “We stand by our filmmakers and will continue to distribute films in partnership with bold and visionary creators, like those associated with this satirical social thriller, but we understand that now is not the right time to release this film.”  Comcast owns NBC Universal.

Carlson bravely challenges leftist hatred and exposes the dangers that contrived and vitriolic leftist news poses to American liberties and public safety.  The word ""bravely"" is used here because his personal home and family have been threatened.

Media Matters claims to have influenced numerous companies to stop advertising at Tucker Carlson Tonight. 

So are the companies that pulled advertising from Tucker Carlson Tonight also going to STOP ADVERTISING on:

•    Comcast Cable, NBC and its other affiliates after NBC Universal Pictures produced the movie “The Hunt” that shows leftists killing conservatives?   A recent NBC Universal Pictures statement implies it will release the film at “the right time.”

•    CNN and MSNBC for defending and championing Antifa’s violence toward conservatives and their freedom of speech and assembly?

In light of these and other over the top leftist propaganda, advertisers need to show fairness toward conservative programming.  These advertisers need to be encouraged not to allow leftist vitriol to dissuade them from advertising on conservative programming.

Here are some of the more substantial advertisers that Media Matters claims to have stopped advertising on Tucker Carlson Tonight since the beginning of the year:  HelloFresh, Nestle USA, Stein Mart, Long John Silver's, AbbVie Inc, Ancestry, AstraZeneca, Bayer Healthcare, Bowflex (owned by Nautilus), Careerbuild.com, Farmers Insurance, Home Chef (Owned by Kroger), HOP (Owned by Dine Brands Global), Jaguar Land Rover, Just for Men (Owned by Combe Inc.), Pacific Life, Purple mattress, Red Lobster (Owned by Golden Gate Capital), Robitussin (Owned by Pfizer), Saatva Mattress, Takeda Pharmaceuticals North America, TD Ameritrade and Zenni Optical.

Florida Family Association has prepared an email for you to send to challenge the companies that have stopped advertising with Tucker Carlson to return to his show. 

Please cut and paste this link in to your browser and reply from the Florida Foundation Page that pops up. https://mail.google.com/mail/u/0/#inbox/FMfcgxwDqfLFXfWbCNLJKXWrNdgTdpTj

By the way Steinmart operates a store in Wilmington. You may want to contact them and let them know you will stop doing business with them. 910-772-1533. Farmers Insurance is a major carrier in this area. 910-343-9900.",2019-08-13T15:43:09+0000,Yale Schiffman,0,99,1000,4999,0.923379,North Carolina,0.076621,South Carolina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"There's a straight line from Trump's defense of white supremacists as ""fine people"" two years ago after Charlottesville and the spike in white supremacist terrorism over the past two years - Aug 12 Open",2019-08-13T10:35:29+0000,Dean Obeidallah,0,99,0,999,0.014388,Alabama,0.014388,Oklahoma,0.010791,Nevada,0.003597,New Hampshire,0.046763,New Jersey,0.003597,New Mexico,0.071942,New York,0.032374,North Carolina,0.003597,North Dakota,0.086331,Ohio,0.02518,Oregon,0.02518,Missouri,0.039568,Pennsylvania,0.014388,South Carolina,0.02518,Tennessee,0.035971,Texas,0.007194,Utah,0.043165,Virginia,0.043165,Washington,0.014388,West Virginia,0.043165,Wisconsin,0.007194,Montana,0.014388,Mississippi,0.003597,Alaska,0.010791,Hawaii,0.021583,Arizona,0.007194,Arkansas,0.057554,California,0.003597,Colorado,0.003597,Connecticut,0.003597,Delaware,0.039568,Florida,0.014388,Georgia,0.032374,Illinois,0.014388,Minnesota,0.017986,Indiana,0.014388,Iowa,0.014388,Kansas,0.021583,Kentucky,0.02518,Louisiana,0.007194,Maine,0.010791,Maryland,0.010791,Massachusetts,0.032374,Michigan,0.007194,Wyoming,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Words have power. Donald Trump has called Hispanics in this country an ""infestation."" He has called those seeking asylum an ""invasion."" And, there are those who heed his words. And there are those who massacre because of those words and what they represent. 

The real infestation is homegrown. It is those who are afraid and who hate. It's time our elected representatives put the American people before special interests. It's time they take note that we are more at risk from white supremacists than we are from Muslim extremists. 

The latest poster from the Chamomile Tea Party: ""An Infestation of White Supremacist Terror.""

https://flic.kr/p/2gV45vr",2019-08-12T21:30:45+0000,The Chamomile Tea Party,0,99,1000,4999,0.000673,North Dakota,0.015488,Tennessee,0.006734,Nevada,0.038384,New Jersey,0.055219,New York,0.039057,North Carolina,0.053872,Ohio,0.007407,Oklahoma,0.010774,Oregon,0.049832,Pennsylvania,0.014141,South Carolina,0.115152,Texas,0.001347,Montana,0.035017,Virginia,0.012121,Washington,0.010774,Wisconsin,0.001347,Kansas,0.00202,New Hampshire,0.00202,New Mexico,0.00202,Utah,0.001347,Vermont,0.003367,West Virginia,0.000673,Alaska,0.004714,Nebraska,0.016162,Missouri,0.003367,Rhode Island,0.036364,Georgia,0.012795,Alabama,0.010774,Arizona,0.008754,Arkansas,0.094949,California,0.008081,Colorado,0.011448,Connecticut,0.009428,Delaware,0.006061,"Washington, District of Columbia",0.082828,Florida,0.003367,Hawaii,0.018855,Mississippi,0.018855,Illinois,0.016162,Indiana,0.008081,Iowa,0.012121,Kentucky,0.037037,Louisiana,0.003367,Maine,0.03771,Maryland,0.017508,Massachusetts,0.034343,Michigan,0.007407,Minnesota,0.000673,South Dakota,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Marcos moved to America from Cuba at 17 and is set to become an American citizen this fall. 

Because of his experience growing up in a socialist country, he is determined to teach his peers the truth about socialism—no matter what they call him. He's even been called a white supremacist by fellow students on campus! 

You won't want to miss this episode of On The Front Lines. 👌",2019-08-12T20:46:54+0000,PragerU ,100,499,50000,99999,0.025551,Alabama,0.035118,Pennsylvania,0.009145,Nevada,0.003622,New Hampshire,0.010542,New Jersey,0.007927,New Mexico,0.02659,New York,0.032113,North Carolina,0.004857,North Dakota,0.047641,Ohio,0.022676,Oklahoma,0.017153,Oregon,0.001446,Rhode Island,0.007732,Montana,0.017072,South Carolina,0.005377,South Dakota,0.028068,Tennessee,0.067491,Texas,0.013206,Utah,0.001657,Vermont,0.020402,Virginia,0.02724,Washington,0.009486,West Virginia,0.021782,Wisconsin,0.011435,Nebraska,0.030196,Missouri,0.003232,Alaska,0.011516,Idaho,0.026801,Arizona,0.018599,Arkansas,0.071243,California,0.019573,Colorado,0.006627,Connecticut,0.001933,Delaware,0.000309,"Washington, District of Columbia",0.060279,Florida,0.029806,Georgia,0.00411,Hawaii,0.035443,Illinois,0.013985,Mississippi,0.030619,Indiana,0.015821,Iowa,0.017559,Kansas,0.019638,Kentucky,0.017202,Louisiana,0.004678,Maine,0.010948,Maryland,0.00895,Massachusetts,0.039325,Michigan,0.02188,Minnesota,0.004402,Wyoming,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Tucker Carlson knows the danger of white supremacy isn't a hoax, he just wants to convince the rest of us otherwise. 
White supremacy plays a key role in both the exploitative capitalist system and the current rise of global fascism.",2019-08-12T17:47:08+0000,People's World,0,99,1000,4999,0.015873,Alabama,0.018519,Oregon,0.007937,Nevada,0.003307,New Hampshire,0.017857,New Jersey,0.013228,New Mexico,0.077381,New York,0.024471,North Carolina,0.001323,North Dakota,0.043651,Ohio,0.015873,Oklahoma,0.035053,Pennsylvania,0.00463,Montana,0.001984,Rhode Island,0.009921,South Carolina,0.005952,South Dakota,0.019841,Tennessee,0.07672,Texas,0.005952,Utah,0.013228,Virginia,0.028439,Washington,0.006614,West Virginia,0.018519,Wisconsin,0.006614,Nebraska,0.025794,Missouri,0.003968,Alaska,0.005291,Idaho,0.030423,Arizona,0.007937,Arkansas,0.094577,California,0.017196,Colorado,0.013889,Connecticut,0.002646,Delaware,0.005952,"Washington, District of Columbia",0.054894,Florida,0.021825,Georgia,0.003307,Hawaii,0.061508,Illinois,0.009259,Mississippi,0.02381,Indiana,0.008598,Iowa,0.006614,Kansas,0.016534,Kentucky,0.007275,Louisiana,0.005291,Maine,0.017196,Maryland,0.030423,Massachusetts,0.03373,Michigan,0.017857,Minnesota,0.001323,Vermont,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The El Paso shooter wasn’t a “lone wolf.” His act of white supremacist terror is part of a century of racial violence targeting fronterizo communities.,2019-08-12T16:03:12+0000,Portside,0,99,1000,4999,0.000588,Maine,0.002941,Moca,0.01,Toa Baja,0.006176,Trujillo Alto,0.002059,Santa Isabel,0.004706,San Sebastián,0.005588,San Lorenzo,0.003824,Salinas,0.006471,San Germán,0.004412,Río Grande,0.003824,Quebradillas,0.002059,Peñuelas,0.000882,Patillas,0.003824,Morovis,0.001176,Loíza,0.002647,Vega Alta,0.000882,Maunabo,0.015294,Mayagüez,0.002647,Manatí,0.002941,Lares,0.003235,Lajas,0.001765,Juana Díaz,0.003824,Juncos,0.001765,Jayuya,0.003824,Hatillo,0.003235,Gurabo,0.002353,Guayanilla,0.003235,Guánica,0.001765,Comerío,0.007059,Vega Baja,0.001765,Villalba,0.004706,Cidra,0.007059,Humacao,0.000882,Naranjito,0.002647,Arroyo,0.001176,West Virginia,0.000294,Vermont,0.000588,Alaska,0.004706,Yauco,0.106765,San Juan,0.025,Ponce,0.002353,Naguabo,0.002941,Luquillo,0.004118,Las Piedras,0.001765,Hormigueros,0.009118,Isabela,0.006471,Guayama,0.003529,Yabucoa,0.011471,Guaynabo,0.002941,Fajardo,0.004412,Dorado,0.005882,Cayey,0.022647,Carolina,0.001471,Ceiba,0.002647,Cataño,0.020588,Caguas,0.008235,Arecibo,0.006765,Aibonito,0.01,Aguadilla,0.002941,Rincón,0.002353,Vieques,0.005588,Corozal,0.002353,Coamo,0.001765,Barceloneta,0.003529,Connecticut,0.018824,Maryland,0.015,Louisiana,0.004706,Kentucky,0.003529,Kansas,0.002647,Iowa,0.009412,Indiana,0.012647,Illinois,0.001176,Idaho,0.003235,Hawaii,0.021471,Georgia,0.028529,Florida,0.001765,"Washington, District of Columbia",0.002353,Delaware,0.002353,Colorado,0.014412,Michigan,0.058235,California,0.007059,Arkansas,0.007647,Arizona,0.004706,Alabama,0.000588,Montana,0.000294,Culebra,0.002059,Añasco,0.000882,Aguas Buenas,0.001471,Adjuntas,0.003529,Sabana Grande,0.003235,Utuado,0.001471,Orocovis,0.001471,Florida,0.008824,Massachusetts,0.004118,Minnesota,0.002059,Ciales,0.004706,South Carolina,0.003235,Canóvanas,0.003235,Camuy,0.007941,Cabo Rojo,0.005,Barranquitas,0.058824,Bayamón,0.005294,Aguada,0.004118,Wisconsin,0.004118,Washington,0.018235,Virginia,0.000588,Utah,0.067353,Texas,0.010588,Tennessee,0.001176,South Dakota,0.000882,Rhode Island,0.010588,Mississippi,0.026176,Pennsylvania,0.004118,Oregon,0.003235,Oklahoma,0.018529,Ohio,0.000882,North Dakota,0.017353,North Carolina,0.019118,New York,0.001765,New Mexico,0.02,New Jersey,0.000882,New Hampshire,0.003824,Nevada,0.002941,Nebraska,0.008529,Missouri,0.000588,Maricao,,,,
"With today being the anniversary of the 2017 white supremacist terrorist attack in Charlottesville that killed Heather Heyer I addressed the rise of white supremacy in my podcast: It's not just Trump who is emboldening white supremacists -it’s also Fox News especially Tucker Klansman who one Neo Nazi leader called ""literally our greatest ally."" Hope u check it out!  https://art19.com/shows/i-want-to-be-your-muslim-friend/episodes/87d0646d-a444-4e4c-81c7-e4fa988575e6
or Itunes: https://podcasts.apple.com/us/podcast/its-not-just-trump-who-is-emboldening-white-supremacists/id1459537462?i=1000446655768",2019-08-12T11:24:38+0000,Dean Obeidallah,0,99,0,999,0.016043,Alabama,0.005348,Alaska,0.005348,South Carolina,0.032086,Tennessee,0.074866,Texas,0.005348,Utah,0.026738,Virginia,0.042781,Washington,0.026738,West Virginia,0.010695,Colorado,0.042781,Pennsylvania,0.010695,Connecticut,0.010695,Kansas,0.005348,Maine,0.005348,Maryland,0.02139,Massachusetts,0.037433,North Carolina,0.005348,North Dakota,0.016043,Oklahoma,0.010695,Rhode Island,0.016043,Oregon,0.02139,Arizona,0.005348,Iowa,0.016043,Arkansas,0.074866,California,0.016043,Delaware,0.064171,Florida,0.02139,Georgia,0.053476,Illinois,0.026738,Indiana,0.016043,Kentucky,0.032086,Ohio,0.005348,Louisiana,0.069519,Michigan,0.010695,Mississippi,0.010695,Missouri,0.010695,Nevada,0.016043,New Jersey,0.010695,New Mexico,0.074866,New York,0.016043,Wisconsin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"With today being the anniversary of the 2017 white supremacist terrorist attack in Charlottesville that killed Heather Heyer I addressed the rise of white supremacy in my podcast: It's not just Trump who is emboldening white supremacists -it’s also Fox News especially Tucker Klansman who one Neo Nazi leader called ""literally our greatest ally."" Hope u check it out!  https://art19.com/shows/i-want-to-be-your-muslim-friend/episodes/87d0646d-a444-4e4c-81c7-e4fa988575e6
or Itunes: https://podcasts.apple.com/us/podcast/its-not-just-trump-who-is-emboldening-white-supremacists/id1459537462?i=1000446655768",2019-08-12T11:22:58+0000,Dean Obeidallah,0,99,0,999,0.013369,Alabama,0.026738,Oregon,0.016043,Nevada,0.010695,New Jersey,0.013369,New Mexico,0.053476,New York,0.042781,North Carolina,0.034759,Ohio,0.018717,Oklahoma,0.090909,Pennsylvania,0.013369,Montana,0.002674,Rhode Island,0.013369,South Carolina,0.026738,Tennessee,0.074866,Texas,0.002674,Utah,0.008021,Virginia,0.024064,Washington,0.005348,West Virginia,0.005348,Nebraska,0.037433,Missouri,0.037433,Arizona,0.037433,Illinois,0.018717,Arkansas,0.096257,California,0.010695,Colorado,0.010695,Connecticut,0.045455,Florida,0.013369,Georgia,0.005348,Hawaii,0.002674,Idaho,0.026738,Indiana,0.013369,Mississippi,0.005348,Iowa,0.016043,Kansas,0.016043,Kentucky,0.010695,Louisiana,0.018717,Maryland,0.010695,Massachusetts,0.042781,Michigan,0.016043,Minnesota,0.010695,Wisconsin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
True believers like Ailes or for that matter Steve Bannon or Tucker Carlson may be cynical and fundamentally financially motivated yet they are a foundational part of an emerging right wing international.,2019-08-12T01:42:58+0000,Portside,0,99,5000,9999,0.00053,New Hampshire,0.003442,Cabo Rojo,0.007413,Mayagüez,0.003442,Manatí,0.002118,Juana Díaz,0.003442,Juncos,0.002648,Gurabo,0.001059,Guayanilla,0.001324,Florida,0.004501,Corozal,0.006089,Cidra,0.001853,Coamo,0.008737,Canóvanas,0.002648,Camuy,0.002648,Barceloneta,0.001853,Moca,0.05507,Bayamón,0.001589,Añasco,0.002118,Aguas Buenas,0.002118,Aguada,0.001324,Adjuntas,0.001853,Wisconsin,0.001324,West Virginia,0.003971,Washington,0.029124,Virginia,0.001853,Utah,0.078104,Texas,0.008208,Tennessee,0.001324,South Dakota,0.002118,Loíza,0.003442,Morovis,0.03283,Pennsylvania,0.004766,Arecibo,0.001059,Sabana Grande,0.01615,Ponce,0.002648,Luquillo,0.005295,Las Piedras,0.000265,Hormigueros,0.002383,Isabela,0.009002,Humacao,0.006884,Guaynabo,0.003442,Fajardo,0.006089,Dorado,0.020651,Carolina,0.004501,Cataño,0.022505,Caguas,0.001853,Aibonito,0.002648,Naranjito,0.003177,Aguadilla,0.001589,Rincón,0.001324,Vieques,0.00503,Yabucoa,0.002118,Villalba,0.000794,Utuado,0.00503,Vega Baja,0.007149,Toa Baja,0.004501,Trujillo Alto,0.000794,Toa Alta,0.001589,San Sebastián,0.003442,Salinas,0.001324,Patillas,0.007678,South Carolina,0.001853,Oregon,0.000265,North Dakota,0.001324,San Germán,0.00503,Alabama,0.000265,Unknown,0.002912,San Lorenzo,0.001589,Quebradillas,0.000265,Maricao,0.000265,Montana,0.002383,Yauco,0.001853,Naguabo,0.002912,Guayama,0.003177,Cayey,0.000265,Ceiba,0.002912,Vega Alta,0.001324,Santa Isabel,0.002912,Río Grande,0.003707,Arizona,0.001589,Peñuelas,0.002648,Orocovis,0.00053,Maunabo,0.002118,Lares,0.001059,Lajas,0.001589,Jayuya,0.001324,Hatillo,0.001589,Guánica,0.001853,Comerío,0.000794,Ciales,0.004236,Barranquitas,0.001589,Arroyo,0.001059,Rhode Island,0.000265,Alaska,0.006089,Arkansas,0.004766,Oklahoma,0.000265,Maine,0.025417,Ohio,0.031242,North Carolina,0.0278,New York,0.001589,New Mexico,0.023034,New Jersey,0.003707,Nevada,0.002648,Nebraska,0.009531,Missouri,0.015091,Mississippi,0.003707,Minnesota,0.018004,Michigan,0.009002,Massachusetts,0.023564,Maryland,0.028329,Louisiana,0.06116,California,0.007943,Kentucky,0.001853,Kansas,0.001853,Iowa,0.008472,Indiana,0.011385,Illinois,0.000265,Idaho,0.005295,Hawaii,0.030447,Georgia,0.043156,Florida,0.003442,"Washington, District of Columbia",0.007678,Delaware,0.006089,Connecticut,0.001853,Colorado,0.082076,San Juan,,,,
"TFW the state uses all the white supremacist terrorism that has been going on as an excuse to disarm and incarcerate vulnerable populations 🤔
👉🏼LISTEN👈🏼 to this track about it. ""Gun Control Is Racist""",2019-08-10T21:17:25+0000,Lil Guillotine,0,99,5000,9999,0.18435,Illinois,0.154947,Indiana,0.080118,Iowa,0.208619,Michigan,0.084474,Minnesota,0.144524,Missouri,0.019757,Nebraska,0.123211,Wisconsin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
