ad_creative_body,ad_delivery_start_time,funding_entity,spend/lower_bound,spend/upper_bound,impressions/lower_bound,impressions/upper_bound,region_distribution/0/percentage,region_distribution/0/region,region_distribution/1/percentage,region_distribution/1/region,region_distribution/2/percentage,region_distribution/2/region,region_distribution/3/percentage,region_distribution/3/region,region_distribution/4/percentage,region_distribution/4/region,region_distribution/5/percentage,region_distribution/5/region,region_distribution/6/percentage,region_distribution/6/region,region_distribution/7/percentage,region_distribution/7/region,region_distribution/8/percentage,region_distribution/8/region,region_distribution/9/percentage,region_distribution/9/region,region_distribution/10/percentage,region_distribution/10/region,region_distribution/11/percentage,region_distribution/11/region,region_distribution/12/percentage,region_distribution/12/region,region_distribution/13/percentage,region_distribution/13/region,region_distribution/14/percentage,region_distribution/14/region,region_distribution/15/percentage,region_distribution/15/region,region_distribution/16/percentage,region_distribution/16/region,region_distribution/17/percentage,region_distribution/17/region,region_distribution/18/percentage,region_distribution/18/region,region_distribution/19/percentage,region_distribution/19/region,region_distribution/20/percentage,region_distribution/20/region,region_distribution/21/percentage,region_distribution/21/region,region_distribution/22/percentage,region_distribution/22/region,region_distribution/23/percentage,region_distribution/23/region,region_distribution/24/percentage,region_distribution/24/region,region_distribution/25/percentage,region_distribution/25/region,region_distribution/26/percentage,region_distribution/26/region,region_distribution/27/percentage,region_distribution/27/region,region_distribution/28/percentage,region_distribution/28/region,region_distribution/29/percentage,region_distribution/29/region,region_distribution/30/percentage,region_distribution/30/region,region_distribution/31/percentage,region_distribution/31/region,region_distribution/32/percentage,region_distribution/32/region,region_distribution/33/percentage,region_distribution/33/region,region_distribution/34/percentage,region_distribution/34/region,region_distribution/35/percentage,region_distribution/35/region,region_distribution/36/percentage,region_distribution/36/region,region_distribution/37/percentage,region_distribution/37/region,region_distribution/38/percentage,region_distribution/38/region,region_distribution/39/percentage,region_distribution/39/region,region_distribution/40/percentage,region_distribution/40/region,region_distribution/41/percentage,region_distribution/41/region,region_distribution/42/percentage,region_distribution/42/region,region_distribution/43/percentage,region_distribution/43/region,region_distribution/44/percentage,region_distribution/44/region,region_distribution/45/percentage,region_distribution/45/region,region_distribution/46/percentage,region_distribution/46/region,region_distribution/47/percentage,region_distribution/47/region,region_distribution/48/percentage,region_distribution/48/region,region_distribution/49/percentage,region_distribution/49/region,region_distribution/50/percentage,region_distribution/50/region
"THE WALL IS UNDER CONSTRUCTION RIGHT NOW AND IT IS BEAUTIFUL. 

We are building the wall for the safety of Americans because as long as I am your Commander-In-Chief, you will ALWAYS come before illegal immigrants.

Add your name to the Official Finish the Wall Petition before 11:59 PM EST to demand the Democrats stop obstructing the completion of the wall.",2019-08-22T09:47:36+0000,the Trump Make America Great Again Committee,0,99,0,999,0.023622,Alabama,0.047244,Pennsylvania,0.018373,New Jersey,0.007874,New Mexico,0.03937,New York,0.034121,North Carolina,0.002625,North Dakota,0.055118,Ohio,0.013123,Oklahoma,0.018373,Oregon,0.018373,South Carolina,0.010499,Nebraska,0.002625,South Dakota,0.036745,Tennessee,0.091864,Texas,0.005249,Utah,0.005249,Vermont,0.020997,Virginia,0.015748,Washington,0.023622,West Virginia,0.018373,Wisconsin,0.007874,New Hampshire,0.028871,Missouri,0.005249,Alaska,0.020997,Illinois,0.023622,Arizona,0.036745,Arkansas,0.055118,California,0.007874,Colorado,0.002625,Delaware,0.057743,Florida,0.034121,Georgia,0.002625,Hawaii,0.005249,Idaho,0.036745,Indiana,0.010499,Mississippi,0.015748,Iowa,0.007874,Kansas,0.034121,Kentucky,0.020997,Louisiana,0.010499,Maine,0.010499,Maryland,0.010499,Massachusetts,0.020997,Michigan,0.020997,Minnesota,0.002625,Wyoming,,,,,,,,,,
"Since the day I announced my Presidential run, the mainstream media has told the American people that the wall would never be built.

Well I have some BREAKING NEWS for all of them: 

THE WALL IS UNDER CONSTRUCTION RIGHT NOW AND IT IS BEAUTIFUL. 

Add your name to the Official Finish the Wall Petition before 11:59 PM EST to demand the Democrats stop obstructing the completion of the wall.",2019-08-22T09:47:34+0000,the Trump Make America Great Again Committee,0,99,5000,9999,0.022577,Alabama,0.053546,Pennsylvania,0.004795,Nevada,0.005395,New Hampshire,0.018781,New Jersey,0.004396,New Mexico,0.051948,New York,0.041958,North Carolina,0.004196,North Dakota,0.068332,Ohio,0.018781,Oklahoma,0.008192,Oregon,0.001798,Rhode Island,0.003596,Montana,0.021379,South Carolina,0.002797,South Dakota,0.034565,Tennessee,0.067532,Texas,0.004795,Utah,0.000799,Vermont,0.02977,Virginia,0.012388,Washington,0.015984,West Virginia,0.015584,Wisconsin,0.005395,Nebraska,0.024176,Missouri,0.002398,Alaska,0.005594,Idaho,0.015984,Arizona,0.01978,Arkansas,0.037962,California,0.013586,Colorado,0.007393,Connecticut,0.003197,Delaware,0.0002,"Washington, District of Columbia",0.067333,Florida,0.037562,Georgia,0.000599,Hawaii,0.031968,Illinois,0.014186,Mississippi,0.036763,Indiana,0.012587,Iowa,0.013786,Kansas,0.027173,Kentucky,0.020779,Louisiana,0.008591,Maine,0.014785,Maryland,0.014785,Massachusetts,0.032767,Michigan,0.014386,Minnesota,0.002398,Wyoming
"THE TIME HAS COME TO FINISH THE WALL

We want to make a statement to Democrats TONIGHT. That’s why I’m calling on you. 

Help us CRUSH our goal and FINISH THE WALL.

Add your name to the Official Finish the Wall Petition before 11:59 PM EST to demand the Democrats stop obstructing the completion of the wall.",2019-08-22T09:47:34+0000,the Trump Make America Great Again Committee,0,99,1000,4999,0.019681,Alabama,0.06373,Pennsylvania,0.007498,Nevada,0.007498,New Hampshire,0.013121,New Jersey,0.012184,New Mexico,0.043112,New York,0.034677,North Carolina,0.073102,Ohio,0.013121,Oklahoma,0.00656,Oregon,0.026242,South Carolina,0.004686,Montana,0.003749,South Dakota,0.0403,Tennessee,0.076851,Texas,0.007498,Utah,0.002812,Vermont,0.025305,Virginia,0.008435,Washington,0.014995,West Virginia,0.018744,Wisconsin,0.003749,Nebraska,0.037488,Missouri,0.004686,Alaska,0.00656,Idaho,0.01687,Arizona,0.029991,Arkansas,0.045923,California,0.011246,Colorado,0.001874,Connecticut,0.003749,Delaware,0.066542,Florida,0.033739,Georgia,0.001874,Hawaii,0.032802,Illinois,0.014058,Mississippi,0.036551,Indiana,0.010309,Iowa,0.009372,Kansas,0.027179,Kentucky,0.015933,Louisiana,0.007498,Maine,0.008435,Maryland,0.013121,Massachusetts,0.024367,Michigan,0.010309,Minnesota,0.001874,Wyoming,,,,,,
"THE WALL IS UNDER CONSTRUCTION RIGHT NOW AND IT IS BEAUTIFUL. 

We are building the wall for the safety of Americans because as long as I am your Commander-In-Chief, you will ALWAYS come before illegal immigrants.

Add your name to the Official Finish the Wall Petition before 11:59 PM EST to demand the Democrats stop obstructing the completion of the wall.",2019-08-22T09:47:34+0000,the Trump Make America Great Again Committee,0,99,0,999,0.031579,Alabama,0.010526,Oregon,0.005263,Nevada,0.013158,New Hampshire,0.018421,New Jersey,0.002632,New Mexico,0.023684,New York,0.044737,North Carolina,0.039474,Ohio,0.026316,Oklahoma,0.044737,Pennsylvania,0.007895,Montana,0.023684,South Carolina,0.005263,South Dakota,0.034211,Tennessee,0.073684,Texas,0.013158,Utah,0.007895,Vermont,0.026316,Virginia,0.013158,Washington,0.010526,West Virginia,0.013158,Nebraska,0.026316,Missouri,0.007895,Alaska,0.034211,Illinois,0.018421,Arizona,0.013158,Arkansas,0.05,California,0.015789,Colorado,0.005263,Connecticut,0.005263,Delaware,0.057895,Florida,0.036842,Georgia,0.031579,Indiana,0.005263,Mississippi,0.013158,Iowa,0.028947,Kansas,0.023684,Kentucky,0.013158,Louisiana,0.007895,Maine,0.005263,Maryland,0.010526,Massachusetts,0.039474,Michigan,0.023684,Minnesota,0.036842,Wisconsin,,,,,,,,,,,,
"Since the day I announced my Presidential run, the mainstream media has told the American people that the wall would never be built.

Well I have some BREAKING NEWS for all of them: 

THE WALL IS UNDER CONSTRUCTION RIGHT NOW AND IT IS BEAUTIFUL. 

Add your name to the Official Finish the Wall Petition before 11:59 PM EST to demand the Democrats stop obstructing the completion of the wall.",2019-08-22T09:47:34+0000,the Trump Make America Great Again Committee,0,99,1000,4999,0.029577,Alabama,0.007649,Oregon,0.00306,Nevada,0.008159,New Hampshire,0.014788,New Jersey,0.00204,New Mexico,0.045895,New York,0.041815,North Carolina,0.00357,North Dakota,0.071392,Ohio,0.021418,Oklahoma,0.055074,Pennsylvania,0.00408,Montana,0.00408,Rhode Island,0.024477,South Carolina,0.00408,South Dakota,0.029577,Tennessee,0.071902,Texas,0.004589,Utah,0.025497,Virginia,0.014278,Washington,0.018358,West Virginia,0.014278,Wisconsin,0.007139,Nebraska,0.028047,Missouri,0.00204,Alaska,0.007139,Idaho,0.015808,Arizona,0.019888,Arkansas,0.037736,California,0.010709,Colorado,0.007139,Connecticut,0.00306,Delaware,0.067313,Florida,0.035186,Georgia,0.00051,Hawaii,0.032636,Illinois,0.012239,Mississippi,0.035186,Indiana,0.016828,Iowa,0.012749,Kansas,0.031107,Kentucky,0.020908,Louisiana,0.006629,Maine,0.018358,Maryland,0.009179,Massachusetts,0.031617,Michigan,0.009689,Minnesota,0.00153,Wyoming,,,,
"THE TIME HAS COME TO FINISH THE WALL

We want to make a statement to Democrats TONIGHT. That’s why I’m calling on you. 

Help us CRUSH our goal and FINISH THE WALL.

Add your name to the Official Finish the Wall Petition before 11:59 PM EST to demand the Democrats stop obstructing the completion of the wall.",2019-08-22T09:47:34+0000,the Trump Make America Great Again Committee,0,99,5000,9999,0.026879,Alabama,0.048409,Pennsylvania,0.005211,New Hampshire,0.014399,New Jersey,0.005211,New Mexico,0.036204,New York,0.037301,North Carolina,0.00288,North Dakota,0.070351,Ohio,0.022216,Oklahoma,0.008091,Oregon,0.001783,Rhode Island,0.005897,Nebraska,0.026193,South Carolina,0.00288,South Dakota,0.036067,Tennessee,0.086533,Texas,0.006994,Utah,0.002194,Vermont,0.021119,Virginia,0.015359,Washington,0.016319,West Virginia,0.012891,Wisconsin,0.004526,Nevada,0.006171,Montana,0.002331,Alaska,0.027839,Illinois,0.017005,Arizona,0.027702,Arkansas,0.033324,California,0.011794,Colorado,0.006308,Connecticut,0.003566,Delaware,0.000274,"Washington, District of Columbia",0.066237,Florida,0.040455,Georgia,0.007954,Idaho,0.033324,Indiana,0.03113,Missouri,0.009737,Iowa,0.012754,Kansas,0.031816,Kentucky,0.023176,Louisiana,0.005623,Maine,0.012068,Maryland,0.012479,Massachusetts,0.032913,Michigan,0.009188,Minnesota,0.016319,Mississippi,0.002606,Wyoming,,
"THE WALL IS UNDER CONSTRUCTION RIGHT NOW AND IT IS BEAUTIFUL. 

We are building the wall for the safety of Americans because as long as I am your Commander-In-Chief, you will ALWAYS come before illegal immigrants.

Add your name to the Official Finish the Wall Petition before 11:59 PM EST to demand the Democrats stop obstructing the completion of the wall.",2019-08-22T09:47:32+0000,the Trump Make America Great Again Committee,0,99,0,999,0.019934,Alabama,0.003322,Oregon,0.013289,New Hampshire,0.023256,New Jersey,0.006645,New Mexico,0.056478,New York,0.023256,North Carolina,0.003322,North Dakota,0.076412,Ohio,0.023256,Oklahoma,0.033223,Pennsylvania,0.006645,Nebraska,0.006645,Rhode Island,0.019934,South Carolina,0.033223,Tennessee,0.07309,Texas,0.006645,Utah,0.023256,Virginia,0.006645,Washington,0.016611,West Virginia,0.013289,Nevada,0.013289,Missouri,0.013289,Arizona,0.039867,Illinois,0.023256,Arkansas,0.056478,California,0.006645,Colorado,0.003322,Connecticut,0.003322,Delaware,0.059801,Florida,0.039867,Georgia,0.003322,Hawaii,0.049834,Indiana,0.003322,Mississippi,0.016611,Iowa,0.013289,Kansas,0.023256,Kentucky,0.026578,Louisiana,0.006645,Maine,0.009967,Maryland,0.013289,Massachusetts,0.053156,Michigan,0.016611,Minnesota,0.016611,Wisconsin,,,,,,,,,,,,,,
"THE WALL IS UNDER CONSTRUCTION RIGHT NOW AND IT IS BEAUTIFUL. 

We are building the wall for the safety of Americans because as long as I am your Commander-In-Chief, you will ALWAYS come before illegal immigrants.

Add your name to the Official Finish the Wall Petition before 11:59 PM EST to demand the Democrats stop obstructing the completion of the wall.",2019-08-22T09:47:32+0000,the Trump Make America Great Again Committee,0,99,0,999,0.020979,Alabama,0.048951,Pennsylvania,0.013986,New Jersey,0.013986,New Mexico,0.013986,New York,0.020979,North Carolina,0.06993,Ohio,0.013986,Oklahoma,0.020979,Oregon,0.006993,Rhode Island,0.020979,Nebraska,0.013986,South Carolina,0.048951,Tennessee,0.118881,Texas,0.013986,Utah,0.034965,Virginia,0.013986,Washington,0.006993,West Virginia,0.006993,Wisconsin,0.020979,Nevada,0.041958,Missouri,0.020979,Alaska,0.006993,Idaho,0.027972,Arizona,0.034965,Arkansas,0.048951,California,0.020979,Colorado,0.006993,Connecticut,0.027972,Florida,0.041958,Georgia,0.013986,Illinois,0.020979,Mississippi,0.048951,Indiana,0.013986,Iowa,0.013986,Kentucky,0.006993,Louisiana,0.006993,Maryland,0.006993,Massachusetts,0.027972,Michigan,0.006993,Minnesota,0.006993,Wyoming,,,,,,,,,,,,,,,,,,,,
"THE TIME HAS COME TO FINISH THE WALL

We want to make a statement to Democrats TONIGHT. That’s why I’m calling on you. 

Help us CRUSH our goal and FINISH THE WALL.

Add your name to the Official Finish the Wall Petition before 11:59 PM EST to demand the Democrats stop obstructing the completion of the wall.",2019-08-22T09:47:32+0000,the Trump Make America Great Again Committee,100,499,5000,9999,0.025364,Alabama,0.047683,Pennsylvania,0.007327,Nevada,0.00496,New Hampshire,0.013076,New Jersey,0.005749,New Mexico,0.040807,New York,0.035284,North Carolina,0.003382,North Dakota,0.065832,Ohio,0.020291,Oklahoma,0.012062,Oregon,0.002029,Rhode Island,0.004284,Montana,0.024913,South Carolina,0.004171,South Dakota,0.039116,Tennessee,0.080262,Texas,0.007553,Utah,0.001353,Vermont,0.023785,Virginia,0.014542,Washington,0.014316,West Virginia,0.0124,Wisconsin,0.006989,Nebraska,0.032465,Missouri,0.002931,Alaska,0.007215,Idaho,0.021193,Arizona,0.021756,Arkansas,0.045203,California,0.012851,Colorado,0.005636,Connecticut,0.002593,Delaware,0.000338,"Washington, District of Columbia",0.063014,Florida,0.035284,Georgia,0.000451,Hawaii,0.029647,Illinois,0.016796,Mississippi,0.036185,Indiana,0.010484,Iowa,0.00992,Kansas,0.030324,Kentucky,0.020742,Louisiana,0.005636,Maine,0.014542,Maryland,0.010145,Massachusetts,0.033931,Michigan,0.01116,Minnesota,0.002029,Wyoming
"Since the day I announced my Presidential run, the mainstream media has told the American people that the wall would never be built.

Well I have some BREAKING NEWS for all of them: 

THE WALL IS UNDER CONSTRUCTION RIGHT NOW AND IT IS BEAUTIFUL. 

Add your name to the Official Finish the Wall Petition before 11:59 PM EST to demand the Democrats stop obstructing the completion of the wall.",2019-08-22T09:47:32+0000,the Trump Make America Great Again Committee,0,99,1000,4999,0.029892,Alabama,0.047429,Pennsylvania,0.006776,New Hampshire,0.023117,New Jersey,0.008768,New Mexico,0.035074,New York,0.022718,North Carolina,0.001196,North Dakota,0.029892,Ohio,0.02511,Oklahoma,0.015943,Oregon,0.002391,Rhode Island,0.00558,Nebraska,0.014747,South Carolina,0.00279,South Dakota,0.029095,Tennessee,0.102033,Texas,0.005978,Utah,0.000797,Vermont,0.023515,Virginia,0.013551,Washington,0.01674,West Virginia,0.019131,Wisconsin,0.00558,Nevada,0.003587,Montana,0.003587,Alaska,0.024312,Illinois,0.023515,Arizona,0.011558,Arkansas,0.07214,California,0.015544,Colorado,0.007971,Connecticut,0.006377,Delaware,0.055799,Florida,0.036668,Georgia,0.002391,Hawaii,0.009964,Idaho,0.0279,Indiana,0.031088,Missouri,0.010363,Iowa,0.01395,Kansas,0.029095,Kentucky,0.017138,Louisiana,0.007971,Maine,0.009566,Maryland,0.021124,Massachusetts,0.039857,Michigan,0.018733,Minnesota,0.00837,Mississippi,0.003587,Wyoming,,
