ad_creative_body,ad_delivery_start_time,funding_entity,spend/lower_bound,spend/upper_bound,impressions/lower_bound,impressions/upper_bound,region_distribution/0/percentage,region_distribution/0/region,region_distribution/1/percentage,region_distribution/1/region,region_distribution/2/percentage,region_distribution/2/region,region_distribution/3/percentage,region_distribution/3/region,region_distribution/4/percentage,region_distribution/4/region,region_distribution/5/percentage,region_distribution/5/region,region_distribution/6/percentage,region_distribution/6/region,region_distribution/7/percentage,region_distribution/7/region,region_distribution/8/percentage,region_distribution/8/region,region_distribution/9/percentage,region_distribution/9/region,region_distribution/10/percentage,region_distribution/10/region,region_distribution/11/percentage,region_distribution/11/region,region_distribution/12/percentage,region_distribution/12/region,region_distribution/13/percentage,region_distribution/13/region,region_distribution/14/percentage,region_distribution/14/region,region_distribution/15/percentage,region_distribution/15/region,region_distribution/16/percentage,region_distribution/16/region,region_distribution/17/percentage,region_distribution/17/region,region_distribution/18/percentage,region_distribution/18/region,region_distribution/19/percentage,region_distribution/19/region,region_distribution/20/percentage,region_distribution/20/region,region_distribution/21/percentage,region_distribution/21/region,region_distribution/22/percentage,region_distribution/22/region,region_distribution/23/percentage,region_distribution/23/region,region_distribution/24/percentage,region_distribution/24/region,region_distribution/25/percentage,region_distribution/25/region,region_distribution/26/percentage,region_distribution/26/region,region_distribution/27/percentage,region_distribution/27/region,region_distribution/28/percentage,region_distribution/28/region,region_distribution/29/percentage,region_distribution/29/region,region_distribution/30/percentage,region_distribution/30/region,region_distribution/31/percentage,region_distribution/31/region,region_distribution/32/percentage,region_distribution/32/region,region_distribution/33/percentage,region_distribution/33/region,region_distribution/34/percentage,region_distribution/34/region,region_distribution/35/percentage,region_distribution/35/region,region_distribution/36/percentage,region_distribution/36/region,region_distribution/37/percentage,region_distribution/37/region,region_distribution/38/percentage,region_distribution/38/region,region_distribution/39/percentage,region_distribution/39/region,region_distribution/40/percentage,region_distribution/40/region,region_distribution/41/percentage,region_distribution/41/region,region_distribution/42/percentage,region_distribution/42/region,region_distribution/43/percentage,region_distribution/43/region,region_distribution/44/percentage,region_distribution/44/region,region_distribution/45/percentage,region_distribution/45/region,region_distribution/46/percentage,region_distribution/46/region,region_distribution/47/percentage,region_distribution/47/region,region_distribution/48/percentage,region_distribution/48/region,region_distribution/49/percentage,region_distribution/49/region,region_distribution/50/percentage,region_distribution/50/region,region_distribution/51/percentage,region_distribution/51/region,region_distribution/52/percentage,region_distribution/52/region,region_distribution/53/percentage,region_distribution/53/region,region_distribution/54/percentage,region_distribution/54/region,region_distribution/55/percentage,region_distribution/55/region,region_distribution/56/percentage,region_distribution/56/region,region_distribution/57/percentage,region_distribution/57/region,region_distribution/58/percentage,region_distribution/58/region,region_distribution/59/percentage,region_distribution/59/region,region_distribution/60/percentage,region_distribution/60/region,region_distribution/61/percentage,region_distribution/61/region,region_distribution/62/percentage,region_distribution/62/region,region_distribution/63/percentage,region_distribution/63/region,region_distribution/64/percentage,region_distribution/64/region,region_distribution/65/percentage,region_distribution/65/region,region_distribution/66/percentage,region_distribution/66/region,region_distribution/67/percentage,region_distribution/67/region,region_distribution/68/percentage,region_distribution/68/region,region_distribution/69/percentage,region_distribution/69/region,region_distribution/70/percentage,region_distribution/70/region,region_distribution/71/percentage,region_distribution/71/region,region_distribution/72/percentage,region_distribution/72/region,region_distribution/73/percentage,region_distribution/73/region,region_distribution/74/percentage,region_distribution/74/region,region_distribution/75/percentage,region_distribution/75/region,region_distribution/76/percentage,region_distribution/76/region,region_distribution/77/percentage,region_distribution/77/region,region_distribution/78/percentage,region_distribution/78/region,region_distribution/79/percentage,region_distribution/79/region,region_distribution/80/percentage,region_distribution/80/region,region_distribution/81/percentage,region_distribution/81/region,region_distribution/82/percentage,region_distribution/82/region,region_distribution/83/percentage,region_distribution/83/region,region_distribution/84/percentage,region_distribution/84/region,region_distribution/85/percentage,region_distribution/85/region,region_distribution/86/percentage,region_distribution/86/region,region_distribution/87/percentage,region_distribution/87/region,region_distribution/88/percentage,region_distribution/88/region,region_distribution/89/percentage,region_distribution/89/region,region_distribution/90/percentage,region_distribution/90/region,region_distribution/91/percentage,region_distribution/91/region,region_distribution/92/percentage,region_distribution/92/region,region_distribution/93/percentage,region_distribution/93/region,region_distribution/94/percentage,region_distribution/94/region,region_distribution/95/percentage,region_distribution/95/region,region_distribution/96/percentage,region_distribution/96/region,region_distribution/97/percentage,region_distribution/97/region,region_distribution/98/percentage,region_distribution/98/region,region_distribution/99/percentage,region_distribution/99/region,region_distribution/100/percentage,region_distribution/100/region,region_distribution/101/percentage,region_distribution/101/region,region_distribution/102/percentage,region_distribution/102/region,region_distribution/103/percentage,region_distribution/103/region,region_distribution/104/percentage,region_distribution/104/region,region_distribution/105/percentage,region_distribution/105/region,region_distribution/106/percentage,region_distribution/106/region,region_distribution/107/percentage,region_distribution/107/region,region_distribution/108/percentage,region_distribution/108/region,region_distribution/109/percentage,region_distribution/109/region,region_distribution/110/percentage,region_distribution/110/region,region_distribution/111/percentage,region_distribution/111/region,region_distribution/112/percentage,region_distribution/112/region,region_distribution/113/percentage,region_distribution/113/region,region_distribution/114/percentage,region_distribution/114/region,region_distribution/115/percentage,region_distribution/115/region,region_distribution/116/percentage,region_distribution/116/region,region_distribution/117/percentage,region_distribution/117/region,region_distribution/118/percentage,region_distribution/118/region,region_distribution/119/percentage,region_distribution/119/region,region_distribution/120/percentage,region_distribution/120/region,region_distribution/121/percentage,region_distribution/121/region,region_distribution/122/percentage,region_distribution/122/region,region_distribution/123/percentage,region_distribution/123/region
"Elizabeth Warren's cooks ""Pow Wow Chow"" .... or is it dog chow?",2019-08-21T02:00:54+0000,Jeanette Largent,0,99,1000,4999,1,Oklahoma,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Every so often while I’m traveling around the country, I’ll have someone come up to me and say, “I’d love to grab a beer with you.” Well, here’s your chance.

Chip in whatever you can now to be automatically entered and, if you win, we’ll fly you and a friend out to grab a drink with me. Personally, I prefer Michelob Ultra — the club soda of beers — but tea or a soda or whatever you want to drink works too. Good luck!

No contrib. necessary to win. Void w/ prohibited. Ends 9/30/19. Approx. prz value $3000. Subj. to Off. Rules.",2019-08-21T01:14:33+0000,Warren for President,0,99,0,999,0.005924,Alabama,0.011848,New Jersey,0.009479,Iowa,0.004739,Kentucky,0.004739,Maine,0.009479,Maryland,0.048578,Massachusetts,0.018957,Michigan,0.07109,Minnesota,0.009479,Missouri,0.004739,Nevada,0.092417,New York,0.015403,Georgia,0.022512,North Carolina,0.00237,North Dakota,0.022512,Ohio,0.021327,Oregon,0.040284,Pennsylvania,0.005924,Rhode Island,0.009479,South Carolina,0.016588,Tennessee,0.037915,Texas,0.022512,Virginia,0.046209,Illinois,0.033175,Florida,0.017773,Arizona,0.004739,New Hampshire,0.007109,Arkansas,0.001185,Delaware,0.001185,Hawaii,0.00237,Idaho,0.007109,Indiana,0.003555,Kansas,0.004739,Louisiana,0.001185,Mississippi,0.003555,Montana,0.00237,Nebraska,0.00237,New Mexico,0.035545,"Washington, District of Columbia",0.005924,Oklahoma,0.00237,South Dakota,0.004739,Utah,0.007109,Vermont,0.003555,West Virginia,0.008294,Wisconsin,0.001185,Alaska,0.170616,California,0.022512,Colorado,0.011848,Connecticut,0.079384,Washington,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"MASSACHUSETTS LAW ENFORCEMENT RESPONDS TO WARREN'S DANGEROUS COP BASHING; PUTTING ITS POLICE OFFICERS IN DANGER.  WARREN CALLED POLICE OFFICERS RACIST MURDERERS FOR POLITICAL POINTS.

MASSACHUSETTS COALITION OF POLICE HAVE RUN FULL-PAGE NEWSPAPER ADS BLASTING WARREN’S ANTI-COP “PANDERING,” CALLING IT “APPALLING,” CHARGING IT’S GETTING “OFFICERS AND CITIZENS HURT AND KILLED.”

https://www.lawenforcementtoday.com/chief-to-liz-warren-come-see-what-being-a-cop-is-like/",2019-08-21T01:09:51+0000,Verde Village News,0,99,0,999,1,Arizona,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Every so often while I’m traveling around the country, I’ll have someone come up to me and say, “I’d love to grab a beer with you.” Well, here’s your chance.

Chip in whatever you can now to be automatically entered and, if you win, we’ll fly you and a friend out to grab a drink with me. Personally, I prefer Michelob Ultra — the club soda of beers — but tea or a soda or whatever you want to drink works too. Good luck!

No contrib. necessary to win. Void w/ prohibited. Ends 9/30/19. Approx. prz value $3000. Subj. to Off. Rules.",2019-08-21T00:43:05+0000,Warren for President,0,99,1000,4999,0.0043,Alabama,0.034937,Pennsylvania,0.003762,Nevada,0.006719,New Hampshire,0.013706,New Jersey,0.001612,New Mexico,0.106692,New York,0.019618,North Carolina,0.000806,North Dakota,0.023918,Ohio,0.004837,Oklahoma,0.022306,Oregon,0.003494,Rhode Island,0.00215,Montana,0.006719,South Carolina,0.001612,South Dakota,0.016931,Tennessee,0.029562,Texas,0.00645,Utah,0.003494,Vermont,0.019618,Virginia,0.092986,Washington,0.00215,West Virginia,0.013437,Wisconsin,0.004569,Nebraska,0.011019,Missouri,0.001075,Alaska,0.001881,Idaho,0.010481,Arizona,0.003225,Arkansas,0.165816,California,0.017737,Colorado,0.012631,Connecticut,0.00215,Delaware,0.041118,"Washington, District of Columbia",0.029024,Florida,0.018006,Georgia,0.001612,Hawaii,0.043537,Illinois,0.001344,Mississippi,0.009137,Indiana,0.008869,Iowa,0.002687,Kansas,0.0043,Kentucky,0.005375,Louisiana,0.004569,Maine,0.016393,Maryland,0.059661,Massachusetts,0.0172,Michigan,0.064499,Minnesota,0.000269,Wyoming,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Every so often while I’m traveling around the country, I’ll have someone come up to me and say, “I’d love to grab a beer with you.” Well, here’s your chance.

Chip in whatever you can now to be automatically entered and, if you win, we’ll fly you and a friend out to grab a drink with me. Personally, I prefer Michelob Ultra — the club soda of beers — but tea or a soda or whatever you want to drink works too. Good luck!

No contrib. necessary to win. Void w/ prohibited. Ends 9/30/19. Approx. prz value $3000. Subj. to Off. Rules.",2019-08-21T00:43:05+0000,Warren for President,0,99,1000,4999,0.00481,Alabama,0.007342,Oklahoma,0.001266,Montana,0.004051,Nebraska,0.00557,Nevada,0.007342,New Hampshire,0.018228,New Jersey,0.002278,New Mexico,0.091646,New York,0.022785,North Carolina,0.001013,North Dakota,0.023544,Ohio,0.018734,Oregon,0.064557,Minnesota,0.033671,Pennsylvania,0.003038,Rhode Island,0.008608,South Carolina,0.002278,South Dakota,0.016709,Tennessee,0.047848,Texas,0.01038,Utah,0.003038,Vermont,0.022278,Virginia,0.09443,Washington,0.010886,Missouri,0.018481,Michigan,0.000759,Delaware,0.031646,Florida,0.001013,Mississippi,0.002785,West Virginia,0.000759,Wyoming,0.001013,Alaska,0.013165,Arizona,0.005316,Arkansas,0.16481,California,0.018987,Colorado,0.009367,Connecticut,0.024304,"Washington, District of Columbia",0.018734,Georgia,0.046582,Massachusetts,0.002532,Hawaii,0.002025,Idaho,0.038987,Illinois,0.009873,Indiana,0.008861,Iowa,0.006582,Kansas,0.008354,Kentucky,0.003797,Louisiana,0.005063,Maine,0.015949,Maryland,0.013924,Wisconsin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Grassroots donors are the heart of this campaign, so we’ve decided to cover the walls of Warren HQ in Boston with the names of supporters who make this movement possible. Our new Grassroots Donor Wall will be a constant reminder of what — and who — our campaign is fighting for.

Chip in anything today to add your name to our Grassroots Donor Wall and help elect the best president that money can’t buy. 

If you’ve saved your payment information with ActBlue Express, your donation will be automatically processed:

Chip in $3: http://ewar.ren/w3zj
Chip in $10: http://ewar.ren/8178a
Chip in $25: http://ewar.ren/127c1
Chip in $50: http://ewar.ren/2bc7e",2019-08-21T00:40:28+0000,Warren for President,0,99,0,999,0.006276,Alabama,0.01046,Oklahoma,0.121339,Minnesota,0.002092,Mississippi,0.018828,Missouri,0.020921,New Jersey,0.08159,New York,0.016736,North Carolina,0.002092,North Dakota,0.025105,Ohio,0.023013,Oregon,0.031381,Massachusetts,0.027197,Pennsylvania,0.046025,Tennessee,0.066946,Texas,0.008368,Utah,0.006276,Virginia,0.037657,Washington,0.002092,West Virginia,0.016736,Wisconsin,0.031381,Michigan,0.023013,Maryland,0.002092,Kansas,0.10251,California,0.002092,Nevada,0.004184,New Hampshire,0.002092,Rhode Island,0.008368,South Carolina,0.002092,Louisiana,0.002092,Vermont,0.012552,Arizona,0.012552,Arkansas,0.008368,Colorado,0.004184,Maine,0.006276,Connecticut,0.006276,Delaware,0.023013,"Washington, District of Columbia",0.054393,Florida,0.043933,Georgia,0.002092,Hawaii,0.046025,Illinois,0.01046,Indiana,0.016736,Iowa,0.002092,Wyoming,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Grassroots donors are the heart of this campaign, so we’ve decided to cover the walls of Warren HQ in Boston with the names of supporters who make this movement possible. Our new Grassroots Donor Wall will be a constant reminder of what — and who — our campaign is fighting for.

Chip in anything today to add your name to our Grassroots Donor Wall and help elect the best president that money can’t buy.",2019-08-21T00:40:28+0000,Warren for President,0,99,1000,4999,0.001883,Alaska,0.025424,North Carolina,0.020716,Michigan,0.022599,Minnesota,0.008475,Missouri,0.002825,Montana,0.001883,Nebraska,0.003766,New Hampshire,0.022599,New Jersey,0.004708,New Mexico,0.126177,New York,0.024482,Ohio,0.025424,Maryland,0.00565,Oklahoma,0.026365,Oregon,0.041431,Pennsylvania,0.009416,Tennessee,0.049906,Texas,0.007533,Utah,0.007533,Vermont,0.025424,Virginia,0.02919,Washington,0.004708,West Virginia,0.071563,Massachusetts,0.003766,Maine,0.003766,Idaho,0.002825,Arkansas,0.001883,North Dakota,0.001883,Rhode Island,0.00565,South Carolina,0.002825,South Dakota,0.000942,Hawaii,0.000942,Mississippi,0.000942,Nevada,0.009416,Alabama,0.014124,Arizona,0.145009,California,0.003766,Louisiana,0.036723,Colorado,0.010358,Connecticut,0.025424,"Washington, District of Columbia",0.027307,Florida,0.025424,Georgia,0.061205,Illinois,0.009416,Indiana,0.006591,Iowa,0.008475,Kansas,0.010358,Kentucky,0.011299,Wisconsin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Grassroots donors are the heart of this campaign, so we’ve decided to cover the walls of Warren HQ in Boston with the names of supporters who make this movement possible. Our new Grassroots Donor Wall will be a constant reminder of what — and who — our campaign is fighting for.

Chip in anything today to add your name to our Grassroots Donor Wall and help elect the best president that money can’t buy.",2019-08-21T00:40:28+0000,Warren for President,0,99,10000,49999,0.000219,Unknown,0.002844,Alaska,0.006453,Rhode Island,0.010062,South Carolina,0.001203,South Dakota,0.01389,Tennessee,0.0105,Utah,0.004484,Vermont,0.023078,Virginia,0.002734,West Virginia,0.014437,Wisconsin,0.001312,Wyoming,0.141857,California,0.000547,North Dakota,0.021109,Colorado,0.01214,Connecticut,0.043859,Illinois,0.021437,Minnesota,0.015859,Missouri,0.100405,New York,0.029859,Ohio,0.008422,Oklahoma,0.028546,Oregon,0.041562,Texas,0.045609,Pennsylvania,0.027453,North Carolina,0.007766,Alabama,0.006672,Kansas,0.014984,Arizona,0.003719,Arkansas,0.003062,Delaware,0.009844,"Washington, District of Columbia",0.035984,Florida,0.02089,Georgia,0.002734,Hawaii,0.002406,Idaho,0.015859,Indiana,0.011156,Iowa,0.011047,Kentucky,0.005359,New Mexico,0.007656,Louisiana,0.007,Maine,0.017828,Maryland,0.08028,Massachusetts,0.025484,Michigan,0.002516,Mississippi,0.003391,Montana,0.004266,Nebraska,0.005578,Nevada,0.007656,New Hampshire,0.023953,New Jersey,0.033031,Washington,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Grassroots donors are the heart of this campaign, so we’ve decided to cover the walls of Warren HQ in Boston with the names of supporters who make this movement possible. Our new Grassroots Donor Wall will be a constant reminder of what — and who — our campaign is fighting for.

Chip in anything today to add your name to our Grassroots Donor Wall and help elect the best president that money can’t buy.",2019-08-21T00:40:28+0000,Warren for President,0,99,1000,4999,0.004902,Alabama,0.004902,Rhode Island,0.00817,Nevada,0.008715,New Hampshire,0.022331,New Jersey,0.005719,New Mexico,0.147059,New York,0.020969,North Carolina,0.020969,Ohio,0.005174,Oklahoma,0.026416,Oregon,0.037854,Pennsylvania,0.012255,South Carolina,0.002451,Montana,0.001362,South Dakota,0.009804,Tennessee,0.051743,Texas,0.004085,Utah,0.005719,Vermont,0.018791,Virginia,0.029684,Washington,0.001634,West Virginia,0.009532,Wisconsin,0.000545,Wyoming,0.002451,Nebraska,0.013344,Missouri,0.002451,Alaska,0.001634,Idaho,0.01171,Arizona,0.001906,Arkansas,0.146242,California,0.021514,Colorado,0.010893,Connecticut,0.002179,Delaware,0.026416,"Washington, District of Columbia",0.035131,Florida,0.019063,Georgia,0.002723,Hawaii,0.039216,Illinois,0.001906,Mississippi,0.010621,Indiana,0.007898,Iowa,0.003813,Kansas,0.005174,Kentucky,0.006264,Louisiana,0.007353,Maine,0.014161,Maryland,0.112473,Massachusetts,0.017429,Michigan,0.014706,Minnesota,0.000545,North Dakota,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"We’re flying one lucky winner and a guest to see Elizabeth at the third Democratic presidential primary debate in Houston. Want a chance to win? Chip in $3 or whatever you can to be automatically entered!

No contrib. necessary to win. Void w/ prohibited. Ends 8/31/19. Approx. prz value $2250. Subj. to Off. Rules.",2019-08-21T00:40:28+0000,Warren for President,0,99,0,999,0.005141,Arkansas,0.023136,New Jersey,0.002571,Maine,0.025707,Maryland,0.062982,Massachusetts,0.01928,Michigan,0.07455,Minnesota,0.01671,Missouri,0.005141,Nebraska,0.003856,Nevada,0.003856,New Hampshire,0.005141,New Mexico,0.008997,Kentucky,0.071979,New York,0.026992,North Carolina,0.017995,Ohio,0.006427,Oklahoma,0.01928,Oregon,0.041131,Pennsylvania,0.01928,South Carolina,0.008997,Tennessee,0.051414,Texas,0.014139,Virginia,0.005141,Louisiana,0.005141,Kansas,0.001285,Delaware,0.012853,Wisconsin,0.003856,Hawaii,0.006427,Indiana,0.020566,Iowa,0.001285,North Dakota,0.005141,Rhode Island,0.002571,South Dakota,0.003856,Utah,0.006427,Vermont,0.005141,West Virginia,0.002571,Wyoming,0.039846,Illinois,0.005141,Alabama,0.001285,Alaska,0.014139,Arizona,0.1491,California,0.012853,Colorado,0.017995,Connecticut,0.021851,"Washington, District of Columbia",0.03856,Florida,0.015424,Georgia,0.007712,Idaho,0.059126,Washington,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
