ad_creative_body,ad_delivery_start_time,funding_entity,spend/lower_bound,spend/upper_bound,impressions/lower_bound,impressions/upper_bound,region_distribution/0/percentage,region_distribution/0/region,region_distribution/1/percentage,region_distribution/1/region,region_distribution/2/percentage,region_distribution/2/region,region_distribution/3/percentage,region_distribution/3/region,region_distribution/4/percentage,region_distribution/4/region,region_distribution/5/percentage,region_distribution/5/region,region_distribution/6/percentage,region_distribution/6/region,region_distribution/7/percentage,region_distribution/7/region,region_distribution/8/percentage,region_distribution/8/region,region_distribution/9/percentage,region_distribution/9/region,region_distribution/10/percentage,region_distribution/10/region,region_distribution/11/percentage,region_distribution/11/region,region_distribution/12/percentage,region_distribution/12/region,region_distribution/13/percentage,region_distribution/13/region,region_distribution/14/percentage,region_distribution/14/region,region_distribution/15/percentage,region_distribution/15/region,region_distribution/16/percentage,region_distribution/16/region,region_distribution/17/percentage,region_distribution/17/region,region_distribution/18/percentage,region_distribution/18/region,region_distribution/19/percentage,region_distribution/19/region,region_distribution/20/percentage,region_distribution/20/region,region_distribution/21/percentage,region_distribution/21/region,region_distribution/22/percentage,region_distribution/22/region,region_distribution/23/percentage,region_distribution/23/region,region_distribution/24/percentage,region_distribution/24/region,region_distribution/25/percentage,region_distribution/25/region,region_distribution/26/percentage,region_distribution/26/region,region_distribution/27/percentage,region_distribution/27/region,region_distribution/28/percentage,region_distribution/28/region,region_distribution/29/percentage,region_distribution/29/region,region_distribution/30/percentage,region_distribution/30/region,region_distribution/31/percentage,region_distribution/31/region,region_distribution/32/percentage,region_distribution/32/region,region_distribution/33/percentage,region_distribution/33/region,region_distribution/34/percentage,region_distribution/34/region,region_distribution/35/percentage,region_distribution/35/region,region_distribution/36/percentage,region_distribution/36/region,region_distribution/37/percentage,region_distribution/37/region,region_distribution/38/percentage,region_distribution/38/region,region_distribution/39/percentage,region_distribution/39/region,region_distribution/40/percentage,region_distribution/40/region,region_distribution/41/percentage,region_distribution/41/region,region_distribution/42/percentage,region_distribution/42/region,region_distribution/43/percentage,region_distribution/43/region,region_distribution/44/percentage,region_distribution/44/region,region_distribution/45/percentage,region_distribution/45/region,region_distribution/46/percentage,region_distribution/46/region,region_distribution/47/percentage,region_distribution/47/region,region_distribution/48/percentage,region_distribution/48/region,region_distribution/49/percentage,region_distribution/49/region,region_distribution/50/percentage,region_distribution/50/region
"🇺🇸Trump 2020🇺🇸 , Autographed presidential mug
Let's make Liberals Cry Again!

Available Here : http://thetrumpshopping.com/coffe-mug

These are limited, so we only have 350 available.
If you cant add it to cart, we are sold out.",2019-08-21T21:42:28+0000,Presticlick Media,0,99,0,999,0.010811,Alabama,0.064865,Texas,0.086486,New York,0.027027,North Carolina,0.054054,Ohio,0.021622,Oklahoma,0.027027,Oregon,0.027027,Pennsylvania,0.027027,South Dakota,0.016216,Tennessee,0.027027,Utah,0.005405,New Hampshire,0.027027,Virginia,0.016216,Washington,0.010811,Delaware,0.010811,Kansas,0.005405,Maine,0.005405,Montana,0.010811,New Mexico,0.005405,West Virginia,0.032432,New Jersey,0.005405,Nevada,0.059459,Arizona,0.016216,Indiana,0.016216,Arkansas,0.064865,California,0.010811,Colorado,0.005405,Connecticut,0.048649,Florida,0.021622,Georgia,0.005405,Idaho,0.032432,Illinois,0.005405,Iowa,0.016216,Nebraska,0.005405,Kentucky,0.010811,Louisiana,0.021622,Maryland,0.010811,Massachusetts,0.037838,Michigan,0.016216,Minnesota,0.010811,Mississippi,0.048649,Missouri,0.010811,Wisconsin,,,,,,,,,,,,,,,,
"August recess is NOT a vacation. August is a crucial time for reps to go home and hear from their constituents. We must make one thing clear: It’s time to open a formal impeachment inquiry.

Trump’s crimes are serious: 
Ordering the White House counsel to lie
Dangling pardons to convince witnesses to lie
Helping his aides and family to hide evidence of communication with Russia

It’s far past time for lawmakers in Congress to do their jobs and hold Trump accountable, just like any other American. Join us for Impeachment August to demand an impeachment inquiry now.",2019-08-21T21:02:46+0000,Stand Up America,0,99,0,999,0.054054,California,0.027027,South Dakota,0.027027,Oklahoma,0.027027,Maryland,0.027027,Indiana,0.027027,Arkansas,0.027027,Alabama,0.054054,Washington,0.027027,Tennessee,0.081081,Pennsylvania,0.135135,Florida,0.054054,North Carolina,0.027027,New Jersey,0.027027,Minnesota,0.108108,Michigan,0.054054,Kentucky,0.108108,Kansas,0.054054,Illinois,0.054054,Texas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Our grassroots organizing is working—a majority of House Democrats now support opening a formal impeachment inquiry. Add your name to keep the momentum going.

Trump’s crimes are serious: 
- Ordering the White House counsel to lie
- Dangling pardons to convince witnesses to lie
- Helping his aides and family to hide evidence of communication with Russia

Any other American who obstructed justice as blatantly as Trump would be going to prison. Mueller did his job finding the evidence—and it’s far past time for lawmakers in Congress to do theirs to hold Trump accountable. Do your part by demanding a formal impeachment inquiry now.",2019-08-21T21:02:46+0000,Stand Up America,0,99,0,999,0.5,Minnesota,0.5,Missouri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"August recess is NOT a vacation. August is a crucial time for reps to go home and hear from their constituents. We must make one thing clear: It’s time to open a formal impeachment inquiry.

Trump’s crimes are serious: 
Ordering the White House counsel to lie
Dangling pardons to convince witnesses to lie
Helping his aides and family to hide evidence of communication with Russia

It’s far past time for lawmakers in Congress to do their jobs and hold Trump accountable, just like any other American. Join us for Impeachment August to demand an impeachment inquiry now.",2019-08-21T21:02:46+0000,Stand Up America,0,99,0,999,0.043478,Arizona,0.173913,California,0.043478,Florida,0.043478,Iowa,0.043478,Kentucky,0.086957,Michigan,0.043478,Minnesota,0.086957,Missouri,0.086957,Nebraska,0.173913,New York,0.043478,North Carolina,0.043478,Texas,0.043478,Vermont,0.043478,Washington,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"August recess is NOT a vacation. August is a crucial time for reps to go home and hear from their constituents. We must make one thing clear: It’s time to open a formal impeachment inquiry.

Trump’s crimes are serious: 
Ordering the White House counsel to lie
Dangling pardons to convince witnesses to lie
Helping his aides and family to hide evidence of communication with Russia

It’s far past time for lawmakers in Congress to do their jobs and hold Trump accountable, just like any other American. Join us for Impeachment August to demand an impeachment inquiry now.",2019-08-21T21:02:46+0000,Stand Up America,0,99,0,999,0.222222,California,0.111111,Maryland,0.111111,Michigan,0.111111,Louisiana,0.111111,Minnesota,0.111111,New Hampshire,0.111111,New York,0.111111,Utah,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Our grassroots organizing is working—a majority of House Democrats now support opening a formal impeachment inquiry. Add your name to keep the momentum going.

Trump’s crimes are serious: 
- Ordering the White House counsel to lie
- Dangling pardons to convince witnesses to lie
- Helping his aides and family to hide evidence of communication with Russia

Any other American who obstructed justice as blatantly as Trump would be going to prison. Mueller did his job finding the evidence—and it’s far past time for lawmakers in Congress to do theirs to hold Trump accountable. Do your part by demanding a formal impeachment inquiry now.",2019-08-21T21:02:46+0000,Stand Up America,0,99,0,999,1,Iowa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Our grassroots organizing is working—a majority of House Democrats now support opening a formal impeachment inquiry. Add your name to keep the momentum going.

Trump’s crimes are serious: 
- Ordering the White House counsel to lie
- Dangling pardons to convince witnesses to lie
- Helping his aides and family to hide evidence of communication with Russia

Any other American who obstructed justice as blatantly as Trump would be going to prison. Mueller did his job finding the evidence—and it’s far past time for lawmakers in Congress to do theirs to hold Trump accountable. Do your part by demanding a formal impeachment inquiry now.",2019-08-21T21:02:46+0000,Stand Up America,0,99,0,999,0.25,Florida,0.25,Missouri,0.5,Ohio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"August recess is NOT a vacation. August is a crucial time for reps to go home and hear from their constituents. We must make one thing clear: It’s time to open a formal impeachment inquiry.

Trump’s crimes are serious: 
Ordering the White House counsel to lie
Dangling pardons to convince witnesses to lie
Helping his aides and family to hide evidence of communication with Russia

It’s far past time for lawmakers in Congress to do their jobs and hold Trump accountable, just like any other American. Join us for Impeachment August to demand an impeachment inquiry now.",2019-08-21T21:02:46+0000,Stand Up America,0,99,0,999,0.037037,Arizona,0.111111,California,0.111111,Illinois,0.037037,Iowa,0.037037,Minnesota,0.074074,Missouri,0.074074,Oklahoma,0.074074,Oregon,0.074074,Pennsylvania,0.037037,South Carolina,0.074074,Tennessee,0.074074,Texas,0.074074,Washington,0.037037,Wisconsin,0.037037,Kansas,0.037037,Maine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Our grassroots organizing is working—a majority of House Democrats now support opening a formal impeachment inquiry. Add your name to keep the momentum going.

Trump’s crimes are serious: 
- Ordering the White House counsel to lie
- Dangling pardons to convince witnesses to lie
- Helping his aides and family to hide evidence of communication with Russia

Any other American who obstructed justice as blatantly as Trump would be going to prison. Mueller did his job finding the evidence—and it’s far past time for lawmakers in Congress to do theirs to hold Trump accountable. Do your part by demanding a formal impeachment inquiry now.",2019-08-21T21:02:46+0000,Stand Up America,0,99,0,999,0.5,New York,0.5,Mississippi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Our grassroots organizing is working—a majority of House Democrats now support opening a formal impeachment inquiry. Add your name to keep the momentum going.

Trump’s crimes are serious: 
- Ordering the White House counsel to lie
- Dangling pardons to convince witnesses to lie
- Helping his aides and family to hide evidence of communication with Russia

Any other American who obstructed justice as blatantly as Trump would be going to prison. Mueller did his job finding the evidence—and it’s far past time for lawmakers in Congress to do theirs to hold Trump accountable. Do your part by demanding a formal impeachment inquiry now.",2019-08-21T21:02:46+0000,Stand Up America,0,99,0,999,0.333333,Connecticut,0.666667,Ohio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Our grassroots organizing is working—a majority of House Democrats now support opening a formal impeachment inquiry. Add your name to keep the momentum going.

Trump’s crimes are serious: 
- Ordering the White House counsel to lie
- Dangling pardons to convince witnesses to lie
- Helping his aides and family to hide evidence of communication with Russia

Any other American who obstructed justice as blatantly as Trump would be going to prison. Mueller did his job finding the evidence—and it’s far past time for lawmakers in Congress to do theirs to hold Trump accountable. Do your part by demanding a formal impeachment inquiry now.",2019-08-21T21:02:46+0000,Stand Up America,0,99,0,999,0.111111,Arizona,0.111111,Illinois,0.111111,Massachusetts,0.111111,Michigan,0.111111,Missouri,0.111111,Ohio,0.222222,Oregon,0.111111,Pennsylvania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"August recess is NOT a vacation. August is a crucial time for reps to go home and hear from their constituents. We must make one thing clear: It’s time to open a formal impeachment inquiry.

Trump’s crimes are serious: 
Ordering the White House counsel to lie
Dangling pardons to convince witnesses to lie
Helping his aides and family to hide evidence of communication with Russia

It’s far past time for lawmakers in Congress to do their jobs and hold Trump accountable, just like any other American. Join us for Impeachment August to demand an impeachment inquiry now.",2019-08-21T21:02:46+0000,Stand Up America,0,99,0,999,0.055556,Arizona,0.055556,Georgia,0.055556,Louisiana,0.055556,Oregon,0.111111,Virginia,0.111111,California,0.055556,Michigan,0.055556,New Mexico,0.055556,New York,0.166667,North Carolina,0.055556,Ohio,0.055556,Pennsylvania,0.055556,Utah,0.055556,Wisconsin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
